version 1, schema taxes_effects_jct_tables
Tax_Level_ID(string)	Effect_IDRef(string)	Magnitude(float)
"lower_extortionate"	"happy_active_lower_tax"	-16
"lower_extortionate"	"pop_growth_tax_modifier"	-0.45
"lower_extortionate"	"pop_growth_tax_modifier_multiplier"	-1.2
"lower_extortionate"	"pop_growth_visible_tax_effect_extortionate"	0
"lower_high"	"happy_active_lower_tax"	-10
"lower_high"	"pop_growth_tax_modifier"	-0.35
"lower_high"	"pop_growth_tax_modifier_multiplier"	-0.8
"lower_high"	"pop_growth_visible_tax_effect_high"	0
"lower_low"	"happy_active_lower_tax"	-2
"lower_low"	"pop_growth_tax_modifier"	-0.15
"lower_low"	"pop_growth_tax_modifier_multiplier"	-0.2
"lower_low"	"pop_growth_visible_tax_effect_low"	0
"lower_minimal"	"happy_active_lower_tax"	-1
"lower_minimal"	"pop_growth_tax_modifier"	-0.05
"lower_minimal"	"pop_growth_tax_modifier_multiplier"	-0.1
"lower_minimal"	"pop_growth_visible_tax_effect_minimal"	0
"lower_normal"	"happy_active_lower_tax"	-4
"lower_normal"	"pop_growth_tax_modifier"	-0.25
"lower_normal"	"pop_growth_tax_modifier_multiplier"	-0.4
"lower_normal"	"pop_growth_visible_tax_effect_normal"	0
"upper_extortionate"	"happy_active_upper_tax"	-16
"upper_extortionate"	"tw_growth_taxes_fixed"	-32
"upper_extortionate"	"tw_growth_taxes_modifier"	-1.2
"upper_high"	"happy_active_upper_tax"	-10
"upper_high"	"tw_growth_taxes_fixed"	-16
"upper_high"	"tw_growth_taxes_modifier"	-0.8
"upper_low"	"happy_active_upper_tax"	-2
"upper_low"	"tw_growth_taxes_fixed"	-4
"upper_low"	"tw_growth_taxes_modifier"	-0.2
"upper_minimal"	"happy_active_upper_tax"	-1
"upper_minimal"	"tw_growth_taxes_fixed"	-2
"upper_minimal"	"tw_growth_taxes_modifier"	-0.1
"upper_normal"	"happy_active_upper_tax"	-4
"upper_normal"	"tw_growth_taxes_fixed"	-8
"upper_normal"	"tw_growth_taxes_modifier"	-0.4
