version 1, schema effect_bonus_value_building_chain_junctions_tables
Effect_IDRef(string)	effect_bonus(string)	Building_x0020_Chain(string)
"building_cost_mod_all"	"mod_cost"	"pNavy"
"building_cost_mod_all"	"mod_cost"	"pTrade"
"building_cost_mod_all"	"mod_cost"	"rFarm"
"building_cost_mod_all"	"mod_cost"	"rGold"
"building_cost_mod_all"	"mod_cost"	"rIron"
"building_cost_mod_all"	"mod_cost"	"rTimber"
"building_cost_mod_all"	"mod_cost"	"rWine"
"building_cost_mod_all"	"mod_cost"	"sAdmin"
"building_cost_mod_all"	"mod_cost"	"sArmy"
"building_cost_mod_all"	"mod_cost"	"sCannon"
"building_cost_mod_all"	"mod_cost"	"sCulture"
"building_cost_mod_all"	"mod_cost"	"sFortifications"
"building_cost_mod_all"	"mod_cost"	"sRoads"
"building_cost_mod_all"	"mod_cost"	"tCommerce"
"building_cost_mod_all"	"mod_cost"	"tEducation"
"building_cost_mod_all"	"mod_cost"	"tFactory"
"building_cost_mod_all"	"mod_cost"	"tGuns"
"building_cost_mod_all"	"mod_cost"	"tSecret"
"building_cost_mod_all"	"mod_cost"	"tSupply"
"building_cost_mod_all_global"	"mod_cost"	"pNavy"
"building_cost_mod_all_global"	"mod_cost"	"pTrade"
"building_cost_mod_all_global"	"mod_cost"	"rFarm"
"building_cost_mod_all_global"	"mod_cost"	"rGold"
"building_cost_mod_all_global"	"mod_cost"	"rHorse"
"building_cost_mod_all_global"	"mod_cost"	"rIron"
"building_cost_mod_all_global"	"mod_cost"	"rTimber"
"building_cost_mod_all_global"	"mod_cost"	"rWine"
"building_cost_mod_all_global"	"mod_cost"	"sAdmin"
"building_cost_mod_all_global"	"mod_cost"	"sArmy"
"building_cost_mod_all_global"	"mod_cost"	"sCannon"
"building_cost_mod_all_global"	"mod_cost"	"sCulture"
"building_cost_mod_all_global"	"mod_cost"	"sFortifications"
"building_cost_mod_all_global"	"mod_cost"	"sRoads"
"building_cost_mod_all_global"	"mod_cost"	"tCommerce"
"building_cost_mod_all_global"	"mod_cost"	"tEducation"
"building_cost_mod_all_global"	"mod_cost"	"tFactory"
"building_cost_mod_all_global"	"mod_cost"	"tGuns"
"building_cost_mod_all_global"	"mod_cost"	"tSecret"
"building_cost_mod_all_global"	"mod_cost"	"tSupply"
"building_cost_mod_farms"	"mod_cost"	"rFarm"
"building_cost_mod_farms"	"mod_cost"	"rWine"
"building_cost_mod_happiness"	"mod_cost"	"sCulture"
"building_cost_mod_happiness"	"mod_cost"	"tSecret"
"building_cost_mod_industry"	"mod_cost"	"tFactory"
"building_cost_mod_industry_metal"	"mod_cost"	"tFactory"
"building_cost_mod_mines"	"mod_cost"	"rGold"
"building_cost_mod_mines"	"mod_cost"	"rIron"
"gdp_mod_farms"	"mod_gdp"	"rFarm"
"gdp_mod_farms"	"mod_gdp"	"rWine"
"gdp_mod_farms_wheat"	"mod_gdp"	"rFarm"
"gdp_mod_industry_all"	"mod_gdp"	"tFactory"
"gdp_mod_industry_metals"	"mod_gdp"	"tFactory"
"gdp_mod_mines"	"mod_gdp"	"rGold"
"gdp_mod_mines"	"mod_gdp"	"rIron"
"gdp_mod_ports"	"mod_gdp"	"pTrade"
"tw_growth_mod_metals"	"mod_tw_growth"	"tFactory"
"tw_growth_mod_port_trade"	"mod_tw_growth"	"pTrade"
"building_cost_mod_all_global"	"mod_cost"	"pSupplySpain"
"building_cost_mod_all_global"	"mod_cost"	"sArmySpain"
"building_cost_mod_all_global"	"mod_cost"	"tEducationSpain"
"building_cost_mod_all_global"	"mod_cost"	"tReligionSpain"
"building_cost_mod_all_global"	"mod_cost"	"tSecretSpain"
"building_cost_mod_all"	"mod_cost"	"pSupplySpain"
"building_cost_mod_all"	"mod_cost"	"sArmySpain"
"building_cost_mod_all"	"mod_cost"	"tEducationSpain"
"building_cost_mod_all"	"mod_cost"	"tReligionSpain"
"building_cost_mod_all"	"mod_cost"	"tSecretSpain"
"tw_growth_mod_port_trade"	"mod_tw_growth"	"pSupplySpain"
"building_cost_mod_all"	"mod_cost"	"pNavySpain"
"building_cost_mod_all_global"	"mod_cost"	"pNavySpain"
"building_cost_mod_all"	"mod_cost"	"tSupplySpain"
"building_cost_mod_all_global"	"mod_cost"	"tSupplySpain"
"building_cost_mod_all"	"mod_cost"	"tGunsSpain"
"building_cost_mod_all_global"	"mod_cost"	"tGunsSpain"
"building_cost_mod_all"	"mod_cost"	"tFactorySpain"
"building_cost_mod_all_global"	"mod_cost"	"tFactorySpain"
"building_cost_mod_industry"	"mod_cost"	"tFactorySpain"
"building_cost_mod_industry_metal"	"mod_cost"	"tFactorySpain"
"gdp_mod_industry_all"	"mod_gdp"	"tFactorySpain"
"gdp_mod_industry_metals"	"mod_gdp"	"tFactorySpain"
"tw_growth_mod_metals"	"mod_tw_growth"	"tFactorySpain"
"building_cost_mod_all"	"mod_cost"	"tCommerceSpain"
"building_cost_mod_all_global"	"mod_cost"	"tCommerceSpain"
"building_cost_mod_all"	"mod_cost"	"sAdminSpain"
"building_cost_mod_all_global"	"mod_cost"	"sAdminSpain"
"building_cost_mod_all"	"mod_cost"	"rTimberSpain"
"building_cost_mod_all_global"	"mod_cost"	"rTimberSpain"
"building_cost_mod_all"	"mod_cost"	"rGoldSpain"
"building_cost_mod_all_global"	"mod_cost"	"rGoldSpain"
"building_cost_mod_mines"	"mod_cost"	"rGoldSpain"
"gdp_mod_mines"	"mod_gdp"	"rGoldSpain"
"building_cost_mod_all"	"mod_cost"	"rIronSpain"
"building_cost_mod_all_global"	"mod_cost"	"rIronSpain"
"building_cost_mod_mines"	"mod_cost"	"rIronSpain"
"gdp_mod_mines"	"mod_gdp"	"rIronSpain"
