version 1, schema gun_types_tables
Gun_ID(string)	Battle_x0020_Entity(string)	GunID(string)	Animation_table(string)	unknown3(string)	Model_Gun_x0020_Destroyed(string)	Animation_Gun_x0020_Destruction(string)	Animation_Gun(string)
"camel_gun"	"artillery_light"	"cannon"	"engine_cannon"	"euro_gun"	"Field_Cannon_Model_24lb_destructed"	"Field_Cannon_24lb_destruction"	"Land_Cannon"
"cannon_12_pounder"	"artillery_medium"	"Field_Cannon_12lb"	"engine_cannon"	"euro_gun"	"field_cannon_destroyed_model_9lb"	"Field_Cannon_12lb_destruction"	"Land_Cannon"
"cannon_18_pounder"	"artillery_medium"	"Field_Cannon_18lb"	"engine_cannon"	"euro_gun"	"field_cannon_destroyed_model_18lb"	"Field_Cannon_18lb_destruction"	"Land_Cannon"
"cannon_24_pounder"	"artillery_medium"	"Field_Cannon_24lb"	"engine_cannon"	"euro_gun"	"field_cannon_destroyed_model_18lb"	"Field_Cannon_24lb_destruction"	"Land_Cannon"
"cannon_24_pounder_early"	"artillery_fixed"	"ancient_field_cannon_24lb"	"engine_cannon"	"euro_gun"	"ancient_field_cannon_24lb_model_destructed_model"	"ancient_field_cannon_24lb_destruction"	"Land_Cannon"
"cannon_3_pounder"	"artillery_light"	"Field_Cannon_3lb"	"engine_cannon"	"euro_gun"	"field_cannon_destroyed_model_9lb"	"Field_Cannon_3lb_destruction"	"Land_Cannon"
"cannon_6_pounder"	"artillery_light"	"Field_Cannon_9lb"	"engine_cannon"	"euro_gun"	"field_cannon_destroyed_model_9lb"	"Field_Cannon_3lb_destruction"	"Land_Cannon"
"cannon_9_pounder"	"artillery_medium"	"Field_Cannon_9lb"	"engine_cannon"	"euro_gun"	"field_cannon_destroyed_model_9lb"	"Field_Cannon_9lb_destruction"	"Land_Cannon"
"cannon_9_pounder_early"	"artillery_fixed"	"ancient_field_cannon_9lb"	"engine_cannon"	"euro_gun"	"ancient_field_cannon_9lb_model_destructed_model"	"ancient_field_cannon_9lb_destruction"	"Land_Cannon"
"episodic_24_pounder"	"artillery_medium"	"Field_Cannon_24lb"	"engine_cannon"	"euro_gun"	"field_cannon_destroyed_model_18lb"	"Field_Cannon_24lb_destruction"	"Land_Cannon"
"episodic_demi_cannon"	"artillery_fixed"	"ancient_field_cannon_24lb"	"engine_cannon"	"euro_gun"	"ancient_field_cannon_24lb_model_destructed_model"	"ancient_field_cannon_24lb_destruction"	"Land_Cannon"
"fort_12_pounder"	"artillery_fixed"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Building_Cannon"
"fort_18_pounder"	"artillery_fixed"	"Naval_Cannon_18lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Building_Cannon"
"fort_24_pounder"	"artillery_fixed"	"Naval_Cannon_24lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Building_Cannon"
"fort_32_pounder"	"artillery_fixed"	"Naval_Cannon_32lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Building_Cannon"
"fort_carronade_64_pounder"	"artillery_fixed"	"euro_carronade"	"engine_naval_cannon"	"euro_gun"	"64lb_gun_model_destructed_model"	"field_cannon_64lb_destruction"	"Building_Cannon"
"howitzer_12_pounder"	"artillery_medium"	"Howitzer_howitzer_12lb"	"engine_cannon"	"euro_gun"	"howitzer_destroyed_model_12lb"	"howitzer_12lb_destruction"	"Howitzer"
"howitzer_24_pounder"	"artillery_medium"	"Howitzer_howitzer_24lb"	"engine_cannon"	"euro_gun"	"howitzer_destroyed_model_24lb"	"howitzer_24lb_destruction"	"Howitzer"
"howitzer_32_pounder"	"artillery_medium"	"Howitzer_howitzer_24lb"	"engine_cannon"	"euro_gun"	"howitzer_destroyed_model_24lb"	"howitzer_24lb_destruction"	"Howitzer"
"mortar_4"	"artillery_fixed"	"Mortar_mortar_4inch"	"engine_mortar"	"euro_gun"	"mortar_destroyed_model_4inch"	"mortar_4inch_destruction"	"Mortar"
"mortar_8"	"artillery_fixed"	"Mortar_mortar_8inch"	"engine_mortar"	"euro_gun"	"mortar_destroyed_model_8inch"	"mortar_8inch_destruction"	"Mortar"
"naval_12_pounder"	"naval_cannon"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
"naval_12_pounder_lr"	"naval_cannon"	"Naval_Cannon_12lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
"naval_18_pounder"	"naval_cannon"	"Naval_Cannon_18lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
"naval_18_pounder_lr"	"naval_cannon"	"Naval_Cannon_18lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
"naval_24_pounder"	"naval_cannon"	"Naval_Cannon_24lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
"naval_32_pounder"	"naval_cannon"	"Naval_Cannon_32lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
"naval_42_pounder"	"naval_cannon"	"Naval_Cannon_32lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
"naval_6_pounder"	"naval_cannon"	"Naval_Cannon_9lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
"naval_6_pounder_lr"	"naval_cannon"	"Naval_Cannon_9lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
"naval_9_pounder"	"naval_cannon"	"Naval_Cannon_9lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
"naval_9_pounder_lr"	"naval_cannon"	"Naval_Cannon_9lb"	"engine_naval_cannon"	"euro_gun"	"Naval_Cannon_destructed"	"Naval_Cannon_Destruction"	"Naval_Deck_Cannon"
