version 2, schema dilemmas_tables, guid 1400f62e-ccab-4c6a-acc2-526615181d1a
unknown1(boolean)	unknown2(string)	unknown3(string)	unknown4(string)	unknown5(string)	unknown6(string)	unknown7(string)	unknown8(string)	unknown9(string)	unknown10(string)	unknown11(boolean)
true	"bos_intro_3_dilemma_research_field"	"Research is underway and we have been approached by numerous foreigners claiming to be experts in their field. We can exploit this to our advantage; should we seek to focus on civil or military development?"	"Despite tensions, conflict has yet to escalate; there may never be a better time to develop our infrastructure. We will seek the counsel of experts in civil technology."	"This conflict has yet to escalate, but all-out war is inevitable. When that day comes we must have the advantage. We will seek the counsel of experts in military technology."	"Setting Our Priorities"	"bos_message_modernisation_positive_active.tga"	"bos_modernisation.TGA"	"Civil"	"Military"	true
true	"d_ambitious_traders"	"Merchants operating at our ports have proposed increased trade between our clan and foreign nations. They have requested permission to invest in overseas trade opportunities."	"Increased trade with prosperous nations will in turn boost our clan's economic fortunes. The merchants will be given the proper concessions."	"Before looking to trade opportunities in far-away lands, we must concentrate on refining its practice within Japan."	"Ambitious Traders"	"message_dilemmas_active.tga"	"Dilemma_Merchants.tga"	"Foreign Priority"	"Domestic Priority"	false
true	"d_auxiliary_supplies"	"Merchants serving our clan in neighbouring provinces have discovered an opportunity to procure a quantity of military equipment and supplies. Investment in this could prove beneficial to our war efforts."	"These additional supplies will allow us to effectively equip a considerable number of men. We will invest in this opportunity immediately."	"We cannot afford to make such an investment at this time. We must rely on our existing resources to equip the troops."	"Auxiliary Supplies"	"message_dilemmas_active.tga"	"Dilemma_Clan.tga"	"Invest in Supplies"	"Rely On Our Own"	false
true	"d_better_agent_metsuke"	"The Shogunate's desire for order has resulted in their offer to bestow special authority upon our metsuke, as long as we are willing to offer tribute."	"The shogun's authority will enable our metsuke to dispense justice more effectively. We accept his offer."	"We need not invest further in the support of our metsuke for the time being. We must decline the shogun's offer."	"The Shogun's Authority"	"message_dilemmas_active.tga"	"Dilemma_Agents.tga"	"Accept Offer"	"Decline Offer"	false
true	"d_better_agent_missionary"	"Impressed with our efforts to support Christianity across Japan, the Church has offered to grant us powers on behalf of the Pope himself, in return for tribute.  "	"The Pope's divine authority will allow the word of God to be spread more effectively. We accept the Church's offer."	"We have no need to further invest in the support of our missionaries for the time being. We decline the Church's offer."	"Divine Authority"	"message_dilemmas_active.tga"	"Dilemma_Agents.tga"	"Accept Offer"	"Decline Offer"	false
true	"d_better_agent_monk"	"An emissary has been dispatched to us by the Ikko-Ikki monshu. In recognition of our devotion to Buddhist tradition and in return for some small compensation, the league is offering to support our monks in their work."	"With the fervent support of the Ikko-Ikki, our monks will be better able to disseminate the Buddha's teachings amongst the people. We accept the league's offer."	"We have no need to further invest in the support of our monks for the time being. We decline the Ikko-Ikki's offer."	"Fervent Buddhists"	"message_dilemmas_active.tga"	"Dilemma_Agents.tga"	"Accept Offer"	"Decline Offer"	false
true	"d_better_agent_ninja"	"My lord, a representative of the Hattori has approached us with a proposition. In return for a small tribute, they will be willing to share some of their expert knowledge of ninjutsu with us."	"The Hattori are indeed masters of ninjutsu; their knowledge of the art will help us to improve our own subterfuge capabilities. We accept their offer."	"We need not invest further in the support of our ninja for the time being. We must decline the Hattori's offer."	"Masters of Subterfuge"	"message_dilemmas_active.tga"	"Dilemma_Agents.tga"	"Accept Offer"	"Decline Offer"	false
true	"d_bos_emperor_foreign_medic"	"William Willis, a British physician residing in Japan, seeks temporary employment and is offering his services as medical officer."	"We need all the help we can get in this conflict. Engage him, may his skills help keep our men alive."	"We have no need for his services."	"William Willis"	"bos_message_diplomacy_positive_active.tga"	"bos_westerner.TGA"	"Employ"	"Decline"	false
false	"d_bos_emperor_realm_divide"	"Conflict has escalated, and we have grown strong serving the Emperor. A decision must now be made: how best to unify the people of Japan once and for all?"	"The Emperor must lead his people to greatness. In his name, we will crush all who oppose us!"	"Enough of this! Never again will we submit to these so-called rulers. We must take the future into our own hands."	"Realm Divide"	"bos_message_allegiance_imperial_positive_active.tga"	"bos_emperor.tga"	"Fight for the Emperor"	"Assume Personal Control"	false
true	"d_bos_emperor_ronin"	"A band of samurai, loyal to the Emperor and eager to serve, are seeking employment."	"They will have their chance to serve the Emperor, employ them at once."	"We currently have no need for their services, they will have to seek their fortune elsewhere."	"Ronin"	"bos_message_army_positive_active.tga"	"bos_army_victory.tga"	"Employ Them"	"Turn Them Away"	false
true	"d_bos_gaijin_trouble"	"Foreign trade necessitates foreign contact. Westerners and their ways have caused numerous 'incidents' at one of our trade ports and the people are concerned. What would you have us do?"	"The happiness of our subects is paramount. We must better police the gaijin here; any attempts to resist will be dealt with severely."	"We cannot allow the concerns of a few locals to affect our good relations with the western powers. Take no action."	"Gaijin Trouble"	"bos_message_diplomacy_negative_active.tga"	"bos_westerner.TGA"	"Take Action"	"Ignore the Issue"	false
true	"d_bos_guns_of_war"	"Now, more than ever, we rely on guns to achieve victory on the battlefield. Both firearms and artillery have a major role to play in warfare, and we should exploit them to suit our military ends."	"Artillery allows us to strike our enemies from afar, leaving them vulnerable once we have closed in."	"By concentrating on firearms training, we can ensure that we have the upper hand in battle."	"The Guns of War"	"bos_message_conquest_positive_active.tga"	"bos_army.tga"	"Artillery Focus"	"Firearms Focus"	false
true	"d_bos_icarus_affair"	"Two crewmen from HMS Icarus, a British vessel moored at one of our trading ports, have been murdered by local anti-foreigner activists. The British are demanding we pay damages."	"We cannot afford to damage trade relations with the West for the sake of a few murderers. We will pay damages and see that the culprits are punished."	"We cannot be held responsible for the consequences of foreign indiscretion, regardless of the severity."	"The Icarus Affair"	"bos_message_diplomacy_negative_active.tga"	"bos_westerner.TGA"	"Compensate"	"Do Nothing"	false
true	"d_bos_koyosha_modern"	"You will remember mention of the Koyosha, my lord. Angered at our attempts to modernise at the expense of the samurai class, these militant traditionalists have taken to indiscriminately murdering clan and government officials."	"Outrage! Do they not see how the people benefit from modernisation? These criminals must be hunted down! "	"They are right to be angry. We have lost sight of traditional ways and values through excessive modernisation. We must temper our rate of modernisation."	"Koyosha"	"bos_message_character_negative_active.tga"	"bos_generic.TGA"	"Take Action"	"Appease"	false
true	"d_bos_koyosha_western"	"You will remember mention of the Koyosha, my lord. Angered at our dealings with the West, these militant isolationists have taken to indiscriminately murdering foreign traders throughout our ports."	"Outrage! Do they not see how the people benefit from exposure to other cultures? These criminals must be brought to justice! "	"They are right to be angry. Our constant dealings with the West has put our cultural identity in jeopardy. We must temper foreign relations."	"Koyosha"	"bos_message_character_negative_active.tga"	"bos_generic.TGA"	"Take Action"	"Appease"	false
true	"d_bos_military_focus"	"Strength in numbers and troop variety will ensure that we can rise to any challenge. Our navy can provide invaluable support to our armies, landing troops behind enemy lines and bombarding from afar. We should decide where to focus our military might."	"We should work towards improving our armies."	"We should work towards improving our navies."	"Military Focus"	"bos_message_conflict_positive_active.tga"	"bos_generic.TGA"	"Army Focus"	"Naval Focus"	false
true	"d_bos_nanban_slavers"	"A Chinese man has appealed to us for aid. Having escaped from a nanban ship currently berthed in one of our harbours, he claims he and his companions were kidnapped for slavery and have been kept in appalling conditions."	"This is an unfortunate situation, but we cannot be seen to interfere with the affairs of foreigners."	"Slavery is barbaric! We cannot stand idly by whilst such inhumanity persists on our shores."	"Nanban Slavers"	"bos_message_diplomacy_negative_active.tga"	"bos_generic.TGA"	"Do Nothing"	"Intervene"	false
