version 1, schema warscape_equipment_items_tables
Item_ID(string)	Category_ID(string)
"east_bag"	"east_infantry_equipment"
"east_bugle"	"east_bugle"
"east_cavalrysabre"	"east_cavalry_sabre"
"east_drum"	"east_drum_kit"
"east_flask"	"east_infantry_equipment"
"east_ldrumstick"	"east_drum_kit"
"east_musket"	"east_musket"
"east_powderhorn"	"east_infantry_equipment"
"east_rdrumstick"	"east_drum_kit"
"east_rifle"	"east_rifle"
"east_sword"	"east_sword"
"east_talwar"	"east_sword2"
"euro_airrifle"	"rifle_air"
"euro_boardingaxe"	"euro_boarding_axe"
"euro_boardingaxe"	"euro_boardingaxe"
"euro_bugle"	"euro_bugle"
"euro_carbine"	"euro_carbine"
"euro_cavalrysabre"	"euro_cavalry_sabre"
"euro_cutlass"	"euro_cutlass"
"euro_drum"	"euro_drum_kit"
"euro_flagpole"	"euro_flagpole"
"euro_flask"	"british_infantry_equipment"
"euro_flask"	"generic_cavalry_equipment"
"euro_flask"	"generic_infantry_equipment"
"euro_flute"	"euro_flute"
"euro_hanger"	"euro_hanger"
"euro_ldrumstick"	"euro_drum_kit"
"euro_musket"	"euro_musket"
"euro_rapier"	"euro_rapier"
"euro_rdrumstick"	"euro_drum_kit"
"euro_rifle"	"euro_rifle"
"euro_seamusket"	"euro_sea_musket"
"euro_stake"	"euro_wooden_stake"
"euro_straightsabre"	"euro_straightsabre"
"euro_telescope"	"euro_telescope"
"gen_cannon_stoker"	"cannon_stoker"
"gen_cannonball"	"cannon_ball"
"gen_club"	"club"
"gen_handgrenade"	"grenade"
"gen_lance"	"lance"
"gen_musket_ramrod"	"musket_ramrod"
"gen_pistol"	"pistol"
"gen_rocket"	"rocket"
"gen_socket_bayonet"	"socket_bayonet"
"nap_ammopouch"	"british_infantry_equipment"
"nap_ammopouch"	"french_infantry_equipment"
"nap_ammopouch"	"generic_cavalry_equipment"
"nap_ammopouch"	"generic_infantry_equipment"
"nap_ammopouch"	"prussian_infantry_equipment"
"nap_ammopouch"	"russian_infantry_equipment"
"nap_backpack_british"	"british_infantry_equipment"
"nap_backpack_french"	"french_infantry_equipment"
"nap_backpack_generic"	"generic_infantry_equipment"
"nap_backpack_prussian"	"prussian_infantry_equipment"
"nap_backpack_russian"	"russian_infantry_equipment"
"nap_lance"	"nap_lance"
"nap_shortrifle"	"short_rifle"
