version 2, schema battle_script_strings_tables
Battle_Script_String_ID(string)	string(string)	unknown3(string)
"CreativeAssembly.BT_Rich_advance"	"This is a good opportunity to advance your army. Select a line infantry unit."	"Berthier"
"CreativeAssembly.BT_Rich_British_Forces"	"In this tutorial you will take control of Napoléon's French forces."	"Berthier"
"CreativeAssembly.BT_Rich_Broken_Shattered_Morale"	"While enemy troops with broken morale can return to fight once they recover their resolve, these British troops have been shattered. Let them flee for their lives."	"Berthier"
"CreativeAssembly.BT_Rich_camera_raising"	"Whilst you are shelling the enemy, practice raising and lowering the camera by rolling the middle mouse button. Alternatively, you can use the Z or X keys."	"Berthier"
"CreativeAssembly.BT_Rich_enemy_unit_routing"	"You have successfully routed an enemy unit. If you rout all enemy units from the battlefield you will be victorious."	"Berthier"
"CreativeAssembly.BT_Rich_Farmhouse_Attack"	"The British have taken cover in the fort. Select your cannons and right-click on the building to shell the enemy."	"Berthier"
"CreativeAssembly.BT_Rich_Farmhouse_Attack_2"	"Select an infantry unit and right-click on the building to instruct your men to assault and flush out the garrisoned enemy."	"Berthier"
"CreativeAssembly.BT_Rich_fire_at_will"	"Now left-click on the fire at will button on the review panel at the bottom of the screen."	"Berthier"
"CreativeAssembly.BT_Rich_fire_at_will2"	"This unit will now automatically fire at enemy units within range of their muskets. Left-clicking this button again will cancel the order. Units are set to fire at will by default."	"Berthier"
"CreativeAssembly.BT_Rich_first_wave_routed"	"Well done. You have successfully routed the first wave of enemy units."	"Berthier"
"CreativeAssembly.BT_Rich_Fort"	"Fort walls can be scaled by your infantry units. Mousing over a fort wall with your infantry selected will change your cursor to a ladder, and right-clicking with your mouse will then begin your assault. Once on top of the walls, try holding the gate house. This will allow you to move in and out of the fort freely through the gate. Alternatively, try using your cannon to create a breach by targeting a section of the wall and concentrating all your fire at that single point."	"Berthier"
"CreativeAssembly.BT_Rich_general_abilities"	"Your general also has a set of special abilities, which includes rally (the ability to boost the morale of your units within the generals radius for a short period of time) and inspire (the ability to increase a specific units morale, melee and accuracy abilities for a brief period of time), both of these abilities are clearly indicated on the troops currently being affected by them."	"Berthier"
"CreativeAssembly.BT_Rich_General_Final_Push"	"Napoléon has joined your ranks for the final push."	"Berthier"
"CreativeAssembly.BT_Rich_General_Help"	"Use Napoléon to help see off what remains of the British forces."	"Berthier"
"CreativeAssembly.BT_Rich_General_In_Waiting"	"Napoléon will join the battle in due course, for now he will watch your progress."	"Berthier"
"CreativeAssembly.BT_Rich_General_Protect"	"Use Napoléon wisely and keep him protected. His presence in battle will strengthen the morale of nearby friendly units."	"Berthier"
"CreativeAssembly.BT_Rich_intro"	"Welcome to the Siege of Toulon. Here you will learn the basics of commanding an army on the battlefield. You have been given control of Napoléon's French army. Camped in and around this fort are your British enemies. Your task is to rout the British army from Toulon."	"Berthier"
"CreativeAssembly.BT_Rich_keep_charge"	"Your infantry will now charge into melee. This is a very effective way of routing enemy troops that are already low on morale."	"Berthier"
"CreativeAssembly.BT_Rich_keep_cover"	"A second wave of enemies are approaching. Keep your units behind this cover to give them an advantage over the enemy."	"Berthier"
"CreativeAssembly.BT_Rich_keep_melee"	"You have seriously reduced British numbers. Select one of your infantry units and click on the melee attack button."	"Berthier"
"CreativeAssembly.BT_Rich_kill_other_unit"	"Mouse over the remaining enemy unit and right-click to attack."	"Berthier"
"CreativeAssembly.BT_Rich_line_infantry"	"Please select a line infantry unit"	"Berthier"
