version 1, schema ministerial_positions_to_effects_tables
Ministerial_position(string)	Efectiveness_ID(int)	ministerial_Effect_ID(string)	Value1(int)	unknown5(int)
"army"	0	"recruitment_cost_mod_land_all"	12	1
"army"	0	"research_rate_mod_army_tech"	-10	2
"army"	0	"upkeep_cost_mod_land_all"	10	3
"army"	1	"recruitment_cost_mod_land_all"	6	1
"army"	1	"research_rate_mod_army_tech"	-5	2
"army"	1	"upkeep_cost_mod_land_all"	5	3
"army"	2	"recruitment_cost_mod_land_all"	0	1
"army"	2	"research_rate_mod_army_tech"	0	2
"army"	2	"upkeep_cost_mod_land_all"	0	3
"army"	3	"recruitment_cost_mod_land_all"	-2	1
"army"	3	"research_rate_mod_army_tech"	2	2
"army"	3	"upkeep_cost_mod_land_all"	-2	3
"army"	4	"recruitment_cost_mod_land_all"	-4	1
"army"	4	"research_rate_mod_army_tech"	4	2
"army"	4	"upkeep_cost_mod_land_all"	-4	3
"army"	5	"recruitment_cost_mod_land_all"	-6	1
"army"	5	"research_rate_mod_army_tech"	6	2
"army"	5	"upkeep_cost_mod_land_all"	-5	3
"army"	6	"recruitment_cost_mod_land_all"	-8	1
"army"	6	"research_rate_mod_army_tech"	8	2
"army"	6	"upkeep_cost_mod_land_all"	-6	3
"army"	7	"recruitment_cost_mod_land_all"	-10	1
"army"	7	"research_rate_mod_army_tech"	10	2
"army"	7	"upkeep_cost_mod_land_all"	-7	3
"army"	8	"recruitment_cost_mod_land_all"	-12	1
"army"	8	"research_rate_mod_army_tech"	12	2
"army"	8	"upkeep_cost_mod_land_all"	-8	3
"army"	9	"recruitment_cost_mod_land_all"	-14	1
"army"	9	"research_rate_mod_army_tech"	14	2
"army"	9	"upkeep_cost_mod_land_all"	-9	3
"faction_leader"	0	"diplomacy_bonus_faction_leader"	-10	3
"faction_leader"	0	"prestige_faction_leader"	-2	1
"faction_leader"	1	"diplomacy_bonus_faction_leader"	-5	2
"faction_leader"	1	"prestige_faction_leader"	-1	1
"faction_leader"	2	"diplomacy_bonus_faction_leader"	0	2
"faction_leader"	2	"prestige_faction_leader"	0	1
"faction_leader"	3	"diplomacy_bonus_faction_leader"	2	2
"faction_leader"	3	"prestige_faction_leader"	1	1
"faction_leader"	4	"diplomacy_bonus_faction_leader"	4	2
"faction_leader"	4	"prestige_faction_leader"	1	1
"faction_leader"	5	"diplomacy_bonus_faction_leader"	6	2
"faction_leader"	5	"prestige_faction_leader"	2	1
"faction_leader"	6	"diplomacy_bonus_faction_leader"	8	2
"faction_leader"	6	"prestige_faction_leader"	2	1
"faction_leader"	7	"diplomacy_bonus_faction_leader"	10	2
"faction_leader"	7	"prestige_faction_leader"	3	1
"faction_leader"	8	"diplomacy_bonus_faction_leader"	12	2
"faction_leader"	8	"prestige_faction_leader"	3	1
"faction_leader"	9	"diplomacy_bonus_faction_leader"	14	2
"faction_leader"	9	"prestige_faction_leader"	4	1
"finance"	0	"tax_bonus_minister"	-5	1
"finance"	0	"trade_route_all_mod_growth_rate"	-20	2
"finance"	0	"tw_growth_ministers_home_theatre"	-12	3
"finance"	1	"tax_bonus_minister"	-2	1
"finance"	1	"trade_route_all_mod_growth_rate"	-8	2
"finance"	1	"tw_growth_ministers_home_theatre"	-5	3
"finance"	2	"tax_bonus_minister"	0	1
"finance"	2	"trade_route_all_mod_growth_rate"	0	2
"finance"	2	"tw_growth_ministers_home_theatre"	0	3
"finance"	3	"tax_bonus_minister"	1	1
"finance"	3	"trade_route_all_mod_growth_rate"	2	2
"finance"	3	"tw_growth_ministers_home_theatre"	2	3
"finance"	4	"tax_bonus_minister"	2	1
"finance"	4	"trade_route_all_mod_growth_rate"	4	2
"finance"	4	"tw_growth_ministers_home_theatre"	4	3
"finance"	5	"tax_bonus_minister"	3	1
"finance"	5	"trade_route_all_mod_growth_rate"	6	2
"finance"	5	"tw_growth_ministers_home_theatre"	6	3
"finance"	6	"tax_bonus_minister"	4	1
"finance"	6	"trade_route_all_mod_growth_rate"	8	2
"finance"	6	"tw_growth_ministers_home_theatre"	8	3
"finance"	7	"tax_bonus_minister"	5	1
"finance"	7	"trade_route_all_mod_growth_rate"	10	2
"finance"	7	"tw_growth_ministers_home_theatre"	10	3
"finance"	8	"tax_bonus_minister"	6	1
"finance"	8	"trade_route_all_mod_growth_rate"	12	2
"finance"	8	"tw_growth_ministers_home_theatre"	12	3
"finance"	9	"tax_bonus_minister"	7	1
"finance"	9	"trade_route_all_mod_growth_rate"	14	2
"finance"	9	"tw_growth_ministers_home_theatre"	14	3
"governor_america"	0	"repression_character"	0	2
"governor_america"	0	"tax_bonus_governor"	-5	1
"governor_america"	0	"upkeep_cost_mod_land_all"	8	3
"governor_america"	1	"repression_character"	0	2
"governor_america"	1	"tax_bonus_governor"	-2	1
"governor_america"	1	"upkeep_cost_mod_land_all"	3	3
"governor_america"	2	"repression_character"	0	2
"governor_america"	2	"tax_bonus_governor"	0	1
