version 1, schema loading_screens_tables, guid da026c72-65e8-47e0-a722-5db313f602c6
Screen(string)	Type(string)	Image(string)	Info(string)
"battle_load_land"	"battle_land"	"UI/loading_screen_pictures/default/default_landbattle.dds"	"LOAD_SCREEN_6"
"battle_load_land_boshin"	"battle_land"	"UI/loading_screen_pictures/boshin/default_landbattle.dds"	"LOAD_SCREEN_6"
"battle_load_naval"	"battle_naval"	"UI/loading_screen_pictures/default/default_seabattle.dds"	"LOAD_SCREEN_3"
"battle_load_naval_boshin"	"battle_naval"	"UI/loading_screen_pictures/boshin/default_seabattle.dds"	"LOAD_SCREEN_3"
"campaign_load"	"campaign"	"UI/loading_screen_pictures/default/campaign_loading_screen1.dds"	"LOAD_SCREEN_1"
"campaign_load1"	"campaign"	"UI/loading_screen_pictures/default/campaign_loading_screen2.dds"	"LOAD_SCREEN_1"
"campaign_load2"	"campaign"	"UI/loading_screen_pictures/default/campaign_loading_screen3.dds"	"LOAD_SCREEN_1"
"campaign_load3"	"campaign"	"UI/loading_screen_pictures/default/campaign_loading_screen4.dds"	"LOAD_SCREEN_1"
"campaign_load_boshin1"	"campaign"	"UI/loading_screen_pictures/boshin/campaign_loading_screen1.dds"	"LOAD_SCREEN_1"
"campaign_load_boshin2"	"campaign"	"UI/loading_screen_pictures/boshin/campaign_loading_screen2.dds"	"LOAD_SCREEN_1"
"campaign_load_boshin3"	"campaign"	"UI/loading_screen_pictures/boshin/campaign_loading_screen3.dds"	"LOAD_SCREEN_1"
"campaign_load_boshin4"	"campaign"	"UI/loading_screen_pictures/boshin/campaign_loading_screen4.dds"	"LOAD_SCREEN_1"
"default"	"none"	"CommonTextures/default_black.dds"	"default_load_screen"
"legal_load_screen"	"front_end"	"UI/FrontEnd UI/LoadingScreen/legal.tga"	"legal_load_screen"
