version 1, schema battle_terrain_set_groupings_tables
Terrain_Set_IDRef(string)	Climate(string)
"American_South"	"Arid"
"Arid_Half_Green"	"Arid"
"Beach_Pebbles"	"Seascape"
"Beach_Sand_Dark"	"Seascape"
"Beach_Sand_Smooth"	"Seascape"
"Bushy"	"Temperate"
"Central"	"Temperate"
"Central_Green"	"Temperate"
"Desert_Dune"	"Dry"
"Grass"	"Temperate"
"Humid_Forest"	"Temperate"
"Jungle"	"Temperate"
"Lowlands"	"Temperate"
"Mediteraen_Rural"	"Arid"
"Moorland_Rocky"	"Cold"
"Prairie"	"Temperate"
"Red_Desert"	"Dry"
"Rocky_Desert"	"Dry"
"Savannah"	"Arid"
"Snow_Patches"	"Cold"
"Snow_Plains"	"Cold"
"Tundra_Frozen"	"Cold"
"Wet_Swamps"	"Temperate"
"India_Central"	"Arid"
"India_Arid"	"Arid"
