version 1, schema experience_triggers_tables, guid 0af5f416-eb06-4a6d-b77c-3ca5f1ad8715
unknown1(float)	unknown2(string)
2.802596928649634e-45	"C_2nd_General_Defeat_Experience_2_Trigger"
4.203895392974451e-45	"C_2nd_General_Defeat_Experience_AI_2_Trigger"
4.203895392974451e-45	"C_2nd_General_Defeat_Experience_AI_Trigger"
1.401298464324817e-45	"C_2nd_General_Defeat_Experience_Trigger"
7.006492321624085e-45	"C_2nd_General_Victory_Experience_2_Trigger"
1.401298464324817e-44	"C_2nd_General_Victory_Experience_AI_2_Trigger"
9.80908925027372e-45	"C_2nd_General_Victory_Experience_AI_Trigger"
4.203895392974451e-45	"C_2nd_General_Victory_Experience_Trigger"
2.1019476964872256e-44	"C_Agent_Assassination_Experience_Trigger"
4.203895392974451e-45	"C_Agent_Assassination_Failure_Experience_Trigger"
2.1019476964872256e-44	"C_Agent_Convert_Experience_Trigger"
4.203895392974451e-45	"C_Agent_Convert_Failure_Experience_Trigger"
2.1019476964872256e-44	"C_Agent_Demoralise_Experience_Trigger"
4.203895392974451e-45	"C_Agent_Demoralise_Failure_Experience_Trigger"
4.203895392974451e-45	"C_Agent_Friendly_Action_Experience_Trigger"
2.1019476964872256e-44	"C_Agent_Incite_Revolt_Experience_Trigger"
4.203895392974451e-45	"C_Agent_Incite_Revolt_Failure_Experience_Trigger"
2.1019476964872256e-44	"C_Agent_Seduction_Experience_Trigger"
4.203895392974451e-45	"C_Agent_Seduction_Failure_Experience_Trigger"
2.1019476964872256e-44	"C_Geisha_Distract_Garrison_Experience_Trigger"
4.203895392974451e-45	"C_Geisha_Distract_Garrison_Failure_Experience_Trigger"
1.401298464324817e-45	"C_General_Bombardment_Experience_AI_Trigger"
1.401298464324817e-45	"C_General_Bombardment_Experience_Trigger"
4.203895392974451e-45	"C_General_Defeat_Experience_2_Trigger"
7.006492321624085e-45	"C_General_Defeat_Experience_AI_2_Trigger"
7.006492321624085e-45	"C_General_Defeat_Experience_AI_Trigger"
7.006492321624085e-45	"C_General_Defeat_Experience_Trigger"
2.1019476964872256e-44	"C_General_Victory_Experience_2_Trigger"
2.802596928649634e-44	"C_General_Victory_Experience_AI_2_Trigger"
2.1019476964872256e-44	"C_General_Victory_Experience_AI_Trigger"
1.401298464324817e-44	"C_General_Victory_Experience_Trigger"
2.1019476964872256e-44	"C_Metsuke_Army_Bribe_Experience_Trigger"
4.203895392974451e-45	"C_Metsuke_Army_Bribe_Failure_Experience_Trigger"
2.1019476964872256e-44	"C_Metsuke_Hunt_Down_Experience_Trigger"
4.203895392974451e-45	"C_Metsuke_Hunt_Down_Failure_Experience_Trigger"
2.1019476964872256e-44	"C_Ninja_Army_Sabotage_Experience_Trigger"
4.203895392974451e-45	"C_Ninja_Army_Sabotage_Failure_Experience_Trigger"
2.1019476964872256e-44	"C_Ninja_Sabotage_Experience_Trigger"
4.203895392974451e-45	"C_Ninja_Sabotage_Failure_Experience_Trigger"
