version 1, schema building_factionwide_effects_junctions_tables
Building_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"bawdy_house"	"agent_cap_assassin"	1
"bawdy_house"	"agent_cap_rake"	1
"coaching_inn"	"agent_cap_assassin"	1
"coaching_inn"	"agent_cap_rake"	1
"college"	"agent_cap_eastern_scholar"	1
"college"	"agent_cap_gentleman"	1
"enlightened_university"	"agent_cap_eastern_scholar"	1
"enlightened_university"	"agent_cap_gentleman"	1
"pleasure_gardens"	"agent_cap_assassin"	1
"pleasure_gardens"	"agent_cap_rake"	1
"prest_prussia_berlin_academy"	"agent_cap_eastern_scholar"	1
"prest_prussia_berlin_academy"	"agent_cap_gentleman"	1
"prest_prussia_berlin_academy"	"research_rate_mod"	3
"prest_spain_academia"	"agent_cap_eastern_scholar"	1
"prest_spain_academia"	"agent_cap_gentleman"	1
"prest_spain_academia"	"research_rate_mod"	3
"rel_catholic_0"	"agent_cap_missionary"	1
"rel_catholic_1"	"agent_cap_missionary"	1
"rel_catholic_2"	"agent_cap_missionary"	1
"rel_hindu_0"	"agent_cap_missionary"	1
"rel_hindu_1"	"agent_cap_missionary"	1
"rel_hindu_2"	"agent_cap_missionary"	1
"rel_islam_0"	"agent_cap_missionary"	1
"rel_islam_1"	"agent_cap_missionary"	1
"rel_islam_2"	"agent_cap_missionary"	1
"rel_orthodox_0"	"agent_cap_missionary"	1
"rel_orthodox_1"	"agent_cap_missionary"	1
"rel_orthodox_2"	"agent_cap_missionary"	1
"rel_protestant_0"	"agent_cap_missionary"	1
"rel_protestant_1"	"agent_cap_missionary"	1
"rel_protestant_2"	"agent_cap_missionary"	1
"royal_academy"	"agent_cap_eastern_scholar"	1
"royal_academy"	"agent_cap_gentleman"	1
"royal_academy"	"research_rate_mod"	3
"royal_observatory"	"agent_cap_eastern_scholar"	1
"royal_observatory"	"agent_cap_gentleman"	1
"royal_observatory"	"research_rate_mod"	2
"school"	"agent_cap_eastern_scholar"	1
"school"	"agent_cap_gentleman"	1
"theatre"	"agent_cap_assassin"	1
"theatre"	"agent_cap_rake"	1
"tribal_meeting_hall"	"agent_cap_assassin"	1
"tribal_meeting_hall"	"agent_cap_rake"	1
"tribal_village_longhouse"	"agent_cap_assassin"	1
"tribal_village_longhouse"	"agent_cap_rake"	1
"university"	"agent_cap_eastern_scholar"	1
"university"	"agent_cap_gentleman"	1
"tribal_playable_drill_grounds"	"agent_cap_scout"	1
"tribal_playable_gunsmith"	"agent_cap_scout"	1
"tribal_playable_horse_breeder"	"agent_cap_scout"	1
"tribal_playable_hunting_grounds"	"agent_cap_scout"	1
"tribal_playable_practice_fields"	"agent_cap_scout"	1
"tribal_playable_warrior_lodge"	"agent_cap_scout"	1
"tribal_playable_ancestral_ground"	"agent_cap_shaman"	1
"tribal_playable_burial_ground"	"agent_cap_shaman"	1
"tribal_playable_holy_ground"	"agent_cap_shaman"	1
"tribal_playable_shamanic_gateway"	"agent_cap_shaman"	1
"tribal_playable_spiritual_circle"	"agent_cap_shaman"	1
