version 1, schema campaign_ai_manager_behaviour_junctions_tables
Manager_IDRef(string)	Behavior(string)	Magnitude(float)
"EMPTY"	"DIPLOMACY_MANAGER"	0
"EMPTY"	"WAR_AND_PEACE"	1000
"nap_egy_full"	"CULL_EXCESS_FORCES"	250
"nap_egy_full"	"DIPLOMACY_MANAGER"	0
"nap_egy_full"	"EXCESS_RECRUITMENT_BEHAVIOUR"	500
"nap_egy_full"	"EXPANSION_BEHAVIOUR"	3000
"nap_egy_full"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"nap_egy_full"	"HELP_ALLY_AT_WAR"	500
"nap_egy_full"	"MERGE_UNITS"	5000
"nap_egy_full"	"MILITARY_RANK_BEHAVIOUR"	500
"nap_egy_full"	"MINIMUM_SAVING"	200
"nap_egy_full"	"NAVY_ATTACK_BEHAVIOUR"	2000
"nap_egy_full"	"NAVY_DISTRIBUTION"	1250
"nap_egy_full"	"NAVY_RECRUITMENT"	1250
"nap_egy_full"	"NAVY_REPAIR"	900
"nap_egy_full"	"NAVY_STRENGTH_MANAGER"	1750
"nap_egy_full"	"PORT_BLOCKADE_BEHAVIOUR"	1000
"nap_egy_full"	"RAID_BEHAVIOUR"	1000
"nap_egy_full"	"RECALL_BEHAVIOUR"	500
"nap_egy_full"	"RECAPTURE_BEHAVIOUR"	1000
"nap_egy_full"	"REGION_COAST_DEFENCE"	500
"nap_egy_full"	"REGION_DEFENCE"	2000
"nap_egy_full"	"REGION_GROUP_DEFENCE"	1500
"nap_egy_full"	"REGIONAL_DEVELOPMENT"	500
"nap_egy_full"	"RESEARCH_TECHNOLOGY"	500
"nap_egy_full"	"TAXATION"	500
"nap_egy_full"	"TRADE_BEHAVIOUR"	500
"nap_egy_full"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	250
"nap_egy_full"	"WAR_AND_PEACE"	1000
"nap_eur_britain"	"CULL_EXCESS_FORCES"	250
"nap_eur_britain"	"DIPLOMACY_MANAGER"	0
"nap_eur_britain"	"EXCESS_RECRUITMENT_BEHAVIOUR"	500
"nap_eur_britain"	"EXPANSION_BEHAVIOUR"	3000
"nap_eur_britain"	"FORT_MAINTAINANCE_BEHAVIOUR"	500
"nap_eur_britain"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"nap_eur_britain"	"HELP_ALLY_AT_WAR"	500
"nap_eur_britain"	"MERGE_UNITS"	5000
"nap_eur_britain"	"MILITARY_RANK_BEHAVIOUR"	500
"nap_eur_britain"	"MINIMUM_SAVING"	200
"nap_eur_britain"	"NAVY_ATTACK_BEHAVIOUR"	2000
"nap_eur_britain"	"NAVY_DISTRIBUTION"	2500
"nap_eur_britain"	"NAVY_RECRUITMENT"	2500
"nap_eur_britain"	"NAVY_REPAIR"	900
"nap_eur_britain"	"NAVY_STRENGTH_MANAGER"	1750
"nap_eur_britain"	"PORT_BLOCKADE_BEHAVIOUR"	2000
"nap_eur_britain"	"RAID_BEHAVIOUR"	1000
"nap_eur_britain"	"RECALL_BEHAVIOUR"	500
"nap_eur_britain"	"RECAPTURE_BEHAVIOUR"	1000
"nap_eur_britain"	"REGION_COAST_DEFENCE"	500
"nap_eur_britain"	"REGION_DEFENCE"	2000
"nap_eur_britain"	"REGION_GROUP_DEFENCE"	1500
"nap_eur_britain"	"REGIONAL_DEVELOPMENT"	500
"nap_eur_britain"	"RESEARCH_TECHNOLOGY"	500
"nap_eur_britain"	"TAXATION"	500
"nap_eur_britain"	"TRADE_AREA_BEHAVIOUR"	3000
"nap_eur_britain"	"TRADE_BEHAVIOUR"	500
"nap_eur_britain"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	750
"nap_eur_britain"	"WAR_AND_PEACE"	1000
"nap_eur_france"	"CULL_EXCESS_FORCES"	250
"nap_eur_france"	"DIPLOMACY_MANAGER"	0
"nap_eur_france"	"EXCESS_RECRUITMENT_BEHAVIOUR"	500
"nap_eur_france"	"EXPANSION_BEHAVIOUR"	4000
"nap_eur_france"	"FORT_MAINTAINANCE_BEHAVIOUR"	500
"nap_eur_france"	"GLOBAL_CONSTRUCTION_BEHAVIOUR"	500
"nap_eur_france"	"HELP_ALLY_AT_WAR"	500
"nap_eur_france"	"MERGE_UNITS"	5000
"nap_eur_france"	"MILITARY_RANK_BEHAVIOUR"	500
"nap_eur_france"	"MINIMUM_SAVING"	200
"nap_eur_france"	"NAVY_ATTACK_BEHAVIOUR"	2000
"nap_eur_france"	"NAVY_DISTRIBUTION"	1250
"nap_eur_france"	"NAVY_RECRUITMENT"	1250
"nap_eur_france"	"NAVY_REPAIR"	900
"nap_eur_france"	"NAVY_STRENGTH_MANAGER"	1750
"nap_eur_france"	"PORT_BLOCKADE_BEHAVIOUR"	1000
"nap_eur_france"	"RAID_BEHAVIOUR"	1000
"nap_eur_france"	"RECALL_BEHAVIOUR"	500
"nap_eur_france"	"RECAPTURE_BEHAVIOUR"	1000
"nap_eur_france"	"REGION_COAST_DEFENCE"	500
"nap_eur_france"	"REGION_DEFENCE"	2000
"nap_eur_france"	"REGION_GROUP_DEFENCE"	1500
"nap_eur_france"	"REGIONAL_DEVELOPMENT"	500
"nap_eur_france"	"RESEARCH_TECHNOLOGY"	500
"nap_eur_france"	"TAXATION"	500
"nap_eur_france"	"TRADE_AREA_BEHAVIOUR"	1500
"nap_eur_france"	"TRADE_BEHAVIOUR"	500
"nap_eur_france"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	750
"nap_eur_france"	"WAR_AND_PEACE"	1000
"nap_eur_full"	"CULL_EXCESS_FORCES"	250
"nap_eur_full"	"DIPLOMACY_MANAGER"	0
