version 1, schema ancillary_to_attribute_effects_tables
Ancillary_IDRef(string)	Attribute_IDRef(string)	Value(int)
"Anc_Artist_Playwright"	"management"	-1
"Anc_Classical_Scholar"	"research"	1
"Anc_Dilletante"	"management"	1
"Anc_Duellist"	"duelling_pistols"	1
"Anc_Duellist"	"duelling_swords"	1
"Anc_Family_Cousin_1"	"command_land"	-1
"Anc_Family_Retainer"	"management"	1
"Anc_Family_Son_In_Law"	"management"	-1
"Anc_Gunsmith"	"duelling_pistols"	1
"Anc_Highlander"	"duelling_pistols"	1
"Anc_Highlander"	"duelling_swords"	1
"Anc_Magic_Cucumber"	"command_sea"	-1
"Anc_Mistress_Corrupt"	"management"	-1
"Anc_Mistress_Indiscreet"	"management"	-2
"Anc_Mistress_Minion"	"command_land"	-1
"Anc_Mistress_Officers_Wife"	"command_land"	1
"Anc_Mistress_Strumpet"	"command_land"	-2
"Anc_Mistress_Waif"	"command_sea"	-2
"Anc_Mohock"	"subterfuge"	1
"Anc_Mother_Abbess"	"subterfuge"	-1
"Anc_Nobleman_Louche"	"subterfuge"	-1
"Anc_Priest_Defrocked"	"subterfuge"	-1
"Anc_Priest_Disgraced"	"subterfuge"	-1
"Anc_Rakehell"	"subterfuge"	-1
"Anc_Turkish_Bey"	"management"	1
"Anc_Turkish_Jani_Com"	"command_land"	1
"Anc_Turkish_Pasha"	"management"	1
"Anc_Turnip"	"command_land"	-1
"Anc_Voivode_1"	"management"	1
"Anc_Voivode_2"	"management"	1
"Anc_Wife_Intelligent"	"management"	1
"Anc_Wife_Unfaithful"	"management"	1
"Ancillary_Air_Loom_Operator"	"subterfuge"	1
"Ancillary_Amazing_Wine_Cellar"	"management"	-1
"Ancillary_Amusing_Cad"	"management"	-1
"Ancillary_Army_ADC"	"command_land"	1
"Ancillary_Army_Aide_Nephew"	"command_land"	-1
"Ancillary_Army_Galloper"	"command_land"	1
"Ancillary_Army_Military_Artist"	"command_land"	1
"Ancillary_Army_Military_Surveyor"	"command_land"	1
"Ancillary_Duelling_Hidalgo_Fop"	"duelling_pistols"	-1
"Ancillary_Duelling_Hidalgo_Fop"	"duelling_swords"	3
"Ancillary_Duelling_Minx"	"duelling_pistols"	-1
"Ancillary_Duelling_Minx"	"duelling_swords"	1
"Ancillary_Duelling_Pistols"	"duelling_pistols"	2
"Ancillary_Duelling_Pistols_Manton"	"duelling_pistols"	2
"Ancillary_Government_Controller"	"management"	1
"Ancillary_Government_Secretary_Efficient"	"management"	1
"Ancillary_Government_Secretary_Gobby"	"management"	-1
"Ancillary_Mistress_Common_Floozy"	"management"	-1
"Ancillary_Mistress_Noble"	"management"	1
"Ancillary_Navy_Merc_Sea_Captain"	"command_sea"	2
"Ancillary_Rake_Professional_Second"	"duelling_swords"	2
"Ancillary_Research_Librarian"	"research"	2
"Ancillary_Research_Taxonomist"	"research"	-1
"Ancillary_Wife_Ambitious"	"management"	1
"Ancillary_Wife_Unpleasant"	"management"	-1
"Government_Spying_Locksmith"	"subterfuge"	1
