version 1, schema quotes_tables, guid 1b10e05f-5f3e-4917-a2ca-da90bd49a3ef
Text(string)	Author(string)	Quote_ID(string)
"Having been born into the house of a warrior, one's intentions should be to grasp the long and the short swords and to die."	"kato_kiyomasa"	"1002"
"The arts of peace and the arts of war are like two wheels of a cart which, lacking one, will have difficulty in standing."	"kuroda_nagamasa"	"1012"
"Do not seek to follow in the footsteps of the wise. Seek what they sought. "	"matsuo_basho"	"1017"
"Every day is a journey, and the journey itself is home. "	"matsuo_basho"	"1027"
"Cutting down the enemy is the way of strategy, and there is no need for many refinements of it."	"miyamoto_musashi"	"1032"
"When you have attained the way of strategy there will be nothing that you cannot understand. You will see the way in everything."	"miyamoto_musashi"	"1034"
"The way of the warrior is resolute acceptance of death."	"miyamoto_musashi"	"1043"
"As if with the nut and flower, the nut has become less than the flower...both those teaching and those learning are concerned with colouring and showing off their technique, trying to hasten the bloom of the flower."	"miyamoto_musashi"	"1044"
"The way of the farmer. Using agricultural instruments, he sees springs through to autumns with an eye on the changes of the season."	"miyamoto_musashi"	"1048"
"Second is the way of the merchant. The wine maker obtains his ingredients and puts them to use to make his living. The way of the merchant is always to live by taking profit."	"miyamoto_musashi"	"1057"
"Thirdly, the gentlemen warrior, carrying the weaponry of his way. The way of the warrior is to master the virtue of his weapons. If a gentlemen dislikes strategy he will not appreciate the benefit of weaponry, so must he not have a little taste for this?"	"miyamoto_musashi"	"1058"
"Fourthly, the way of the artisan. The way of the carpenter is to become proficient in the use of his tools, first to lay his plans with true measure and then perform his work according to plan. Thus he passes through life."	"miyamoto_musashi"	"1060"
"If you want to learn the craft of war, ponder over this book. The teacher is as a needle, the disciple is as thread. You must practice constantly."	"miyamoto_musashi"	"1066"
"The spirit of defeating a man is the same for ten million men. The strategist makes small things into big things, like building a great Buddha from a one foot model."	"miyamoto_musashi"	"1074"
"When you appreciate the power of nature, knowing the rhythm of any situation, you will be able to hit the enemy naturally and strike naturally."	"miyamoto_musashi"	"1083"
"This is truth: When you sacrifice your life, you must make fullest use of your weaponry. It is false not to do so, and to die with a weapon as yet undrawn."	"miyamoto_musashi"	"1088"
"It is not difficult to wield a sword in one hand; the Way to learn this is to train with two long swords, one in each hand. It will seem difficult at first, but everything is difficult at first."	"miyamoto_musashi"	"1094"
"The best use of the companion sword is in a confined space, or when you are engaged closely with an opponent. The long sword can be used effectively in all situations."	"miyamoto_musashi"	"1102"
"The halberd is inferior to the spear on the battlefield. With the spear you can take the initiative, the halberd is defensive."	"miyamoto_musashi"	"1105"
"The bow is tactically strong at the commencement of battle, especially battles on a moor, as it is possible to shoot quickly among the spearmen."	"miyamoto_musashi"	"1110"
"From inside fortifications, the gun has no equal among weapons. It is the supreme weapon on the field before the ranks clash, but once swords are crossed the gun becomes useless."	"miyamoto_musashi"	"1114"
"You should not have a favourite weapon. To become over-familiar with one weapon is as much a fault as not knowing it sufficiently well."	"miyamoto_musashi"	"1123"
"Also by training you will be able to freely control your own body, conquer men with your body, and with sufficient training you will be able to beat ten men with your spirit. When you have reached this point, will it not mean that you are invincible?"	"miyamoto_musashi"	"1132"
"If there is a Way involving the spirit of not being defeated, to help oneself and gain honour, it is the Way of Strategy."	"miyamoto_musashi"	"1139"
"Do not let your spirit be influenced by your body, or your body be influenced by your spirit. Be neither insufficiently spirited or over spirited. An elevated spirit is weak and a low spirit is weak. Do not let the enemy see your spirit."	"miyamoto_musashi"	"1149"
