version 1, schema building_upgrades_junction_tables
Building_IDRef(string)	Upgrade(string)
"admiralty"	"naval_board"
"army_barracks"	"drill_school"
"army_board"	"army_staff_college"
"army_encampment"	"army_barracks"
"army_staff_college"	"prest_france_arc_de_triomphe"
"army_staff_college"	"prest_maratha_ajinkyatara"
"army_staff_college"	"prest_poland_akademia"
"army_staff_college"	"prest_prussia_brandenburg_gate"
"basic_roads"	"improved_roads"
"bawdy_house"	"theatre"
"cannon_foundry"	"ordnance_factory"
"coaching_inn"	"bawdy_house"
"college"	"university"
"commercial_basin"	"trading_company"
"commercial_port"	"commercial_basin"
"conservatorium"	"opera_house"
"corn_clearances"	"corn_great_estates"
"corn_great_estates"	"corn_great_royal_palace"
"corn_peasant_farms"	"corn_tenanted_farms"
"corn_tenanted_farms"	"corn_clearances"
"craft_workshops_metal"	"iron_workshops"
"craft_workshops_pottery"	"pottery_workshops"
"craft_workshops_textiles"	"weavers_cottages"
"dockyard"	"drydock"
"drill_school"	"military_academy"
"drydock"	"naval_hospital"
"drydock"	"steam_drydock"
"fishing_fleet"	"major_fishery"
"fur_market"	"fur_exchange"
"fur_merchant"	"fur_market"
"gold_mine"	"steam-pumped_gold_mine"
"governors_mansion"	"governors_palace"
"governors_palace"	"royal_palace"
"governors_residence"	"governors_mansion"
"grand_opera_house"	"great_museum"
"great_arsenal"	"gunnery_school"
"great_museum"	"prest_austria_albertina"
"great_museum"	"prest_britain_british_museum"
"great_museum"	"prest_ottomans_nur-u_osmaniye_mosque"
"great_museum"	"prest_poland_lazienki_park"
"great_museum"	"prest_russia_kunstkamara"
"great_museum"	"prest_sweden_konglig_museum"
"great_museum"	"prest_unitedprovinces_teylers_museum"
"great_museum"	"prest_usa_smithsonian"
"gunnery_school"	"ordnance_board"
"imperial_palace"	"prest_austria_hofburg"
"imperial_palace"	"prest_britain_somerset_house"
"imperial_palace"	"prest_france_palais_bourbon"
"imperial_palace"	"prest_maratha_shaniwarwada"
"imperial_palace"	"prest_russia_winter_palace"
"imperial_palace"	"prest_spain_palacio_real_de_madrid"
"imperial_palace"	"prest_sweden_slott"
"imperial_palace"	"prest_usa_independence_hall"
"improved_roads"	"tarmac_roads"
"iron_mine"	"steam-pumped_iron_mine"
"iron_workshops"	"ironmasters_works"
"ironmasters_works"	"steam_engine_factory"
"kilns"	"ceramics_factory"
"large_coffee_plantation"	"coffee_warehouse"
"large_cotton_plantation"	"cotton_warehouse"
"large_spices_plantation"	"spices_warehouse"
"large_sugar_plantation"	"sugar_warehouse"
"large_tea_plantation"	"tea_warehouse"
"large_tobacco_plantation"	"tobacco_warehouse"
"local_fishery"	"fishing_fleet"
"magistrate"	"governors_residence"
"military_academy"	"army_board"
"minor_governors_barracks"	"minor_royal_palace"
"minor_governors_encampment"	"minor_governors_barracks"
"minor_governors_mansion"	"minor_governors_palace"
"minor_governors_palace"	"minor_royal_palace"
"minor_governors_residence"	"minor_governors_encampment"
"minor_governors_residence"	"minor_governors_mansion"
"minor_magistrate"	"minor_governors_residence"
"naval_board"	"naval_college"
"naval_college"	"prest_ottomans_naval_engineering_school"
