version 2, schema cdir_unit_balances_tables
unknown1(string)	unknown2(int)	unknown3(int)	unknown4(string)	unknown5(float)	unknown6(float)	unknown7(float)
"default"	1	4	"artillery"	0.5	0.5	0
"default"	1	4	"cavalry"	0.5	0.5	0
"default"	1	4	"infantry"	0.5	0.5	0
"default"	1	20	"default_navy"	0.5	0.5	0
"default"	5	10	"artillery"	0.25	0.05	1.401298464324817e-45
"default"	5	10	"cavalry"	0.2	0.05	0
"default"	5	10	"infantry"	0.55	0.1	0
"default"	11	20	"artillery"	0.25	0.05	2.802596928649634e-45
"default"	11	20	"cavalry"	0.2	0.05	0
"default"	11	20	"infantry"	0.55	0.1	0
