version 1, schema effect_bonus_value_unit_ability_junctions_tables
Effect_IDRef(string)	String2(string)	Unit_x0020_Ability(string)
"enable_artillery_accuracy_boost"	"enable"	"artillery_accuracy_boost"
"enable_artillery_barrage"	"enable"	"artillery_rof_boost"
"enable_diamond_formation"	"enable"	"diamond_formation"
"enable_fire_and_advance"	"enable"	"fire_and_advance"
"enable_fire_by_rank"	"enable"	"rank_fire"
"enable_improved_fougasse"	"enable"	"fougasse_improved"
"enable_improved_platoon_firing"	"enable"	"improved_platoon_fire_grouped"
"enable_inspire_unit"	"enable"	"inspire_unit"
"enable_light_infantry_drill"	"enable"	"light_infantry_behaviour"
"enable_platoon_firing"	"enable"	"platoon_fire_grouped"
"enable_plug_bayonet"	"enable"	"plug_bayonets"
"enable_ring_bayonet"	"enable"	"ring_bayonets"
"enable_socket_bayonet"	"enable"	"socket_bayonets"
"enable_square_formation"	"enable"	"square_formation"
"enable_volley_fire"	"enable"	"mass_fire"
"enable_wedge_formation"	"enable"	"wedge_formation"
