version 1, schema warscape_equipment_themes_tables
Warscape_Equipment_Theme_ID(string)	Primary_Weapon(optstring)	Secondary_Weapon(optstring)	Shield(optstring)	Equipment(optstring)	Instrument(optstring)
"britain_bugler"	"euro_straightsabre"	nil	nil	"british_infantry_equipment"	"euro_bugle"
"britain_drummer"	"euro_straightsabre"	nil	nil	"british_infantry_equipment"	"euro_drum_kit"
"britain_musket"	"euro_musket"	nil	nil	"british_infantry_equipment"	nil
"britain_short_rifle"	"short_rifle"	nil	nil	"british_infantry_equipment"	nil
"britain_sword"	"euro_hanger"	nil	nil	"british_infantry_equipment"	nil
"cinematic"	nil	nil	nil	nil	nil
"euro_standard_bearer"	"euro_hanger"	nil	nil	nil	"euro_flagpole"
"france_bugler"	"euro_straightsabre"	nil	nil	"french_infantry_equipment"	"euro_bugle"
"france_drummer"	"euro_straightsabre"	nil	nil	"french_infantry_equipment"	"euro_drum_kit"
"france_musket"	"euro_musket"	nil	nil	"french_infantry_equipment"	nil
"france_sword"	"euro_hanger"	nil	nil	"french_infantry_equipment"	nil
"generic_air_rifle"	"rifle_air"	nil	nil	"generic_infantry_equipment"	nil
"generic_bugler"	"euro_straightsabre"	nil	nil	"generic_infantry_equipment"	"euro_bugle"
"generic_camel_bugler"	nil	"euro_cavalry_sabre"	nil	nil	"euro_bugle"
"generic_camel_officer"	"pistol"	"euro_straightsabre"	nil	nil	nil
"generic_cavalry_bugle_sword"	"euro_straightsabre"	nil	nil	nil	"euro_bugle"
"generic_cavalry_bugler_sabre"	"euro_cavalry_sabre"	nil	nil	nil	"euro_bugle"
"generic_cavalry_carbine_sabre"	"euro_carbine"	"euro_cavalry_sabre"	nil	"generic_cavalry_equipment"	nil
"generic_cavalry_carbine_sword"	"euro_carbine"	"euro_straightsabre"	nil	"generic_cavalry_equipment"	nil
"generic_cavalry_lance"	"nap_lance"	nil	nil	nil	nil
"generic_cavalry_sabre"	"euro_cavalry_sabre"	nil	nil	nil	nil
"generic_cavalry_sword"	"euro_straightsabre"	nil	nil	nil	nil
"generic_drummer"	"euro_straightsabre"	nil	nil	"generic_infantry_equipment"	"euro_drum_kit"
"generic_flutist"	"euro_straightsabre"	nil	nil	nil	"euro_flute"
"generic_generals_staff"	"euro_straightsabre"	nil	nil	nil	nil
"generic_gun"	"euro_hanger"	nil	nil	nil	nil
"generic_light_infantry_officer"	"euro_cavalry_sabre"	"pistol"	nil	nil	nil
"generic_musket"	"euro_musket"	nil	nil	"generic_infantry_equipment"	nil
"generic_naval_gunner"	"club"	nil	nil	nil	nil
"generic_naval_marine"	"euro_sea_musket"	"euro_hanger"	nil	nil	nil
"generic_naval_seaman"	"euro_cutlass"	nil	nil	nil	nil
"generic_officer"	"euro_straightsabre"	"pistol"	nil	nil	nil
"generic_rifle"	"euro_rifle"	nil	nil	"generic_infantry_equipment"	nil
"generic_short_rifle"	"short_rifle"	nil	nil	"generic_infantry_equipment"	nil
"generic_standard"	"euro_straightsabre"	nil	nil	nil	"euro_flagpole"
"generic_sword"	"euro_hanger"	nil	nil	"generic_infantry_equipment"	nil
"ottoman_bugler"	"east_sword"	nil	nil	"east_infantry_equipment"	"east_bugle"
"ottoman_camel_bugler"	nil	"east_sword"	nil	nil	"east_bugle"
"ottoman_camel_officer"	"pistol"	"east_sword"	nil	nil	nil
"ottoman_camel_sabre"	nil	"east_cavalry_sabre"	nil	nil	nil
"ottoman_cavalry_bugler"	"east_sword"	nil	nil	nil	"east_bugle"
"ottoman_cavalry_carbine_sabre"	"euro_carbine"	"east_cavalry_sabre"	nil	nil	nil
"ottoman_cavalry_lance"	"nap_lance"	nil	nil	nil	nil
"ottoman_cavalry_sabre"	"east_cavalry_sabre"	nil	nil	nil	nil
"ottoman_drummer"	"east_sword"	nil	nil	nil	"east_drum_kit"
"ottoman_flutist"	"east_sword"	nil	nil	nil	"euro_flute"
"ottoman_musket"	"east_musket"	nil	nil	"east_infantry_equipment"	nil
"ottoman_musket_sword"	"east_musket"	"east_sword"	nil	"east_infantry_equipment"	nil
"ottoman_officer"	"east_sword"	"pistol"	nil	nil	nil
"ottoman_rifle"	"east_rifle"	nil	nil	"east_infantry_equipment"	nil
"ottoman_standard"	"east_sword"	nil	nil	nil	"euro_flagpole"
"ottoman_sword"	"east_sword"	nil	nil	"east_infantry_equipment"	nil
"prussia_bugler"	"euro_straightsabre"	nil	nil	"prussian_infantry_equipment"	"euro_bugle"
"prussia_drummer"	"euro_straightsabre"	nil	nil	"prussian_infantry_equipment"	"euro_drum_kit"
"prussia_musket"	"euro_musket"	nil	nil	"prussian_infantry_equipment"	nil
"prussia_short_rifle"	"short_rifle"	nil	nil	"prussian_infantry_equipment"	nil
"prussia_sword"	"euro_hanger"	nil	nil	"prussian_infantry_equipment"	nil
"russia_bugler"	"euro_straightsabre"	nil	nil	"russian_infantry_equipment"	"euro_bugle"
"russia_drummer"	"euro_straightsabre"	nil	nil	"russian_infantry_equipment"	"euro_drum_kit"
"russia_musket"	"euro_musket"	nil	nil	"russian_infantry_equipment"	nil
"russia_sword"	"euro_hanger"	nil	nil	"russian_infantry_equipment"	nil
