version 1, schema technology_required_technology_junctions_tables
Tech_IDRef(string)	Requirement(string)
"enlightenment_abolition_of_slavery"	"enlightenment_citizenship"
"enlightenment_classical_economics"	"enlightenment_free_trade_doctrine"
"enlightenment_division_of_labour"	"enlightenment_physiocracy"
"enlightenment_free_trade_doctrine"	"enlightenment_wealth_of_nations"
"enlightenment_government_by_consent"	"enlightenment_social_contract"
"enlightenment_joint_stock_companies"	"enlightenment_division_of_labour"
"enlightenment_national_debt"	"enlightenment_separation_of_powers"
"enlightenment_rights_of_man"	"enlightenment_separation_of_powers"
"enlightenment_separation_of_powers"	"enlightenment_government_by_consent"
"enlightenment_wealth_of_nations"	"enlightenment_joint_stock_companies"
"industry_agriculture_natives_culture_dreamwalking"	"industry_agriculture_natives_culture_spirit_medicine"
"industry_agriculture_natives_culture_spirit_medicine"	"industry_agriculture_natives_culture_riding_the_winds"
"industry_agriculture_natives_culture_spirit_of_the_forest"	"industry_agriculture_natives_culture_call_of_the_wild"
"industry_agriculture_selective_breeding"	"industry_agriculture_improved_animal_husbandry"
"industry_agriculture_steam-pumped_land_drainage"	"industry_agriculture_advanced_irrigation"
"industry_agriculture_steam-pumped_land_drainage"	"industry_metal_basic_steam_pump"
"industry_metal_coke_blast_furnace"	"industry_metal_basic_steam_pump"
"industry_metal_machine_tools"	"enlightenment_wealth_of_nations"
"industry_metal_machine_tools"	"industry_metal_measuring_tools"
"industry_metal_natives_military_cannon_casting"	"industry_metal_natives_military_powder_making"
"industry_metal_natives_military_sharp_shooting"	"industry_textile_natives_government_hunting_techniques"
"industry_metal_steam_engine"	"industry_metal_machine_tools"
"industry_textile_mass_production"	"enlightenment_classical_economics"
"industry_textile_natives_government_hunting_techniques"	"industry_agriculture_natives_culture_call_of_the_wild"
"industry_textile_natives_government_improved_farming"	"industry_metal_natives_military_ironworking"
"industry_textile_natives_government_money_economy"	"industry_metal_natives_military_improved_ironworking"
"industry_textile_natives_government_money_economy"	"industry_textile_natives_government_written_language"
"industry_textile_power_loom"	"industry_textile_punch-card_loom"
"industry_textile_punch-card_loom"	"industry_textile_flying_shuttle"
"industry_textile_spinning_mule"	"enlightenment_division_of_labour"
"industry_textile_spinning_mule"	"industry_textile_spinning_jenny"
"military_army_cadenced_marching"	"military_army_square_formation"
"military_army_diamond_formation"	"military_army_wedge_formation"
"military_army_military_syllabus"	"military_army_ring_bayonet"
"military_army_percussion_cap"	"military_ordnance_percussion_shells"
"military_army_platoon_firing"	"military_army_light_infantry_doctrine"
"military_army_reoganised_procurement"	"military_army_new_model_bayonet_drill"
"military_army_ring_bayonet"	"military_army_plug_bayonet"
"military_army_screw_breach"	"military_army_machined_rifling"
"military_army_shortened_carbines"	"military_army_diamond_formation"
"military_army_wedge_formation"	"military_army_carbines"
"military_navy_carronades"	"military_navy_improved_grape_shot"
"military_navy_copper_bottoms"	"military_navy_seasoning"
"military_navy_improved_coppering"	"military_navy_copper_bottoms"
"military_navy_improved_grape_shot"	"military_ordnance_canister_shot"
"military_navy_longitude_watch"	"military_navy_sextant"
"military_navy_preserved_foods"	"military_navy_lime_juice_and_sauerkraut"
"military_navy_reformed_naval_administration"	"military_navy_naval_architecture_advances"
"military_navy_rifled_cannons"	"military_army_machined_rifling"
"military_navy_rifled_cannons"	"military_navy_carronades"
"military_navy_sheet_lead_cartridges"	"military_navy_rifled_cannons"
"military_navy_top_gallants"	"military_navy_improved_coppering"
"military_ordnance_explosive_rockets"	"military_ordnance_carcass_shot"
"military_ordnance_explosive_shells"	"military_ordnance_improved_grenades"
"military_ordnance_percussion_shells"	"military_ordnance_shrapnel_shot"
"military_ordnance_quicklime_shells"	"military_ordnance_carcass_shot"
"military_ordnance_shrapnel_shot"	"military_ordnance_carcass_shot"
