version 1, schema cdir_unit_balance_template_junctions_tables, guid b3be85b4-0888-4911-8c16-7c2911d2f2d0
faction(string)	template(string)	value(int)
"boshin"	"boshin_default"	-500
"boshin"	"boshin_default_late"	-400
"boshin"	"boshin_early"	100
"boshin"	"boshin_fleet"	100
"boshin"	"boshin_late"	500
"boshin"	"boshin_line_art_only"	-300
"boshin"	"boshin_line_missile_art_only"	-300
"boshin"	"boshin_line_missile_only"	-300
"boshin"	"boshin_line_mod_cav_art_only"	-300
"boshin"	"boshin_line_mod_cav_only"	-300
"boshin"	"boshin_line_only"	-300
"boshin"	"boshin_line_trad_cav_art_only"	-300
"boshin"	"boshin_line_trad_cav_only"	-300
"boshin"	"boshin_melee_art_only"	-300
"boshin"	"boshin_melee_line_art_only"	-300
"boshin"	"boshin_melee_line_missile_art_only"	-300
"boshin"	"boshin_melee_line_missile_mod_cav_art_only"	-300
"boshin"	"boshin_melee_line_missile_mod_cav_only"	-100
"boshin"	"boshin_melee_line_missile_only"	-300
"boshin"	"boshin_melee_line_missile_trad_cav_art_only"	-300
"boshin"	"boshin_melee_line_missile_trad_cav_only"	-100
"boshin"	"boshin_melee_line_mod_cav_art_only"	-300
"boshin"	"boshin_melee_line_mod_cav_only"	-200
"boshin"	"boshin_melee_line_only"	-300
"boshin"	"boshin_melee_line_trad_cav_art_only"	-300
"boshin"	"boshin_melee_line_trad_cav_only"	-200
"boshin"	"boshin_melee_missile_art_only"	-300
"boshin"	"boshin_melee_missile_only"	-300
"boshin"	"boshin_melee_mod_cav_art_only"	-300
"boshin"	"boshin_melee_mod_cav_only"	-300
"boshin"	"boshin_melee_only"	-350
"boshin"	"boshin_melee_trad_cav_art_only"	-300
"boshin"	"boshin_melee_trad_cav_only"	-300
"boshin"	"boshin_middle"	300
"chosokabe"	"cannon_ship_only"	-200
"chosokabe"	"cavalry_heavy"	100
"chosokabe"	"cavalry_heavy_late"	200
"chosokabe"	"default"	-500
"chosokabe"	"default_naval"	-500
"chosokabe"	"heavy_ship_heavy"	100
"chosokabe"	"light_and_medium_only"	-150
"chosokabe"	"light_ship_heavy"	100
"chosokabe"	"light_ship_only"	-300
"chosokabe"	"medium_ship_heavy"	100
"chosokabe"	"melee_and_cavalry_only"	-150
"chosokabe"	"melee_and_missile_only"	-150
"chosokabe"	"melee_heavy"	100
"chosokabe"	"melee_heavy_late"	200
"chosokabe"	"melee_infantry_only"	-300
"chosokabe"	"ranged_heavy"	250
"chosokabe"	"ranged_heavy_late"	350
"chosokabe"	"ship_standard"	100
"chosokabe"	"ship_standard_late"	200
"chosokabe"	"standard"	100
"chosokabe"	"standard_late"	200
"date"	"cannon_ship_only"	-200
"date"	"cavalry_heavy"	100
"date"	"cavalry_heavy_late"	200
"date"	"default"	-500
"date"	"default_naval"	-500
"date"	"heavy_ship_heavy"	100
"date"	"light_and_medium_only"	-150
"date"	"light_ship_heavy"	100
"date"	"light_ship_only"	-300
"date"	"medium_ship_heavy"	100
"date"	"melee_and_cavalry_only"	-150
"date"	"melee_and_missile_only"	-150
"date"	"melee_heavy"	250
"date"	"melee_heavy_late"	350
"date"	"melee_infantry_only"	-300
"date"	"ranged_heavy"	100
"date"	"ranged_heavy_late"	200
"date"	"ship_standard"	100
"date"	"ship_standard_late"	200
"date"	"standard"	100
"date"	"standard_late"	200
"default"	"cannon_ship_only"	-200
"default"	"cavalry_heavy"	100
"default"	"cavalry_heavy_late"	200
"default"	"default"	-500
"default"	"default_naval"	-500
"default"	"heavy_ship_heavy"	100
"default"	"light_and_medium_only"	-150
"default"	"light_ship_heavy"	100
"default"	"light_ship_only"	-300
"default"	"medium_ship_heavy"	100
"default"	"melee_and_cavalry_only"	-150
"default"	"melee_and_missile_only"	-150
"default"	"melee_heavy"	100
"default"	"melee_heavy_late"	200
"default"	"melee_infantry_only"	-300
"default"	"ranged_heavy"	100
"default"	"ranged_heavy_late"	200
"default"	"ship_standard"	100
"default"	"ship_standard_late"	200
"default"	"standard"	100
"default"	"standard_late"	200
"multiplayer"	"boshin_early_mp"	-1000
"multiplayer"	"boshin_fleet_mp"	100
"multiplayer"	"boshin_late_mp"	1000
"multiplayer"	"boshin_middle_mp"	100
"multiplayer"	"cavalry_heavy_late_mp"	200
"multiplayer"	"cavalry_heavy_mp"	100
"multiplayer"	"heavy_ship_heavy_mp"	100
"multiplayer"	"light_ship_heavy_mp"	100
"multiplayer"	"medium_ship_heavy_mp"	100
"multiplayer"	"melee_heavy_late_mp"	200
"multiplayer"	"melee_heavy_mp"	100
"multiplayer"	"ranged_heavy_late_mp"	200
"multiplayer"	"ranged_heavy_mp"	100
"multiplayer"	"ship_standard_late_mp"	200
"multiplayer"	"ship_standard_mp"	100
"multiplayer"	"standard_late_mp"	200
"multiplayer"	"standard_mp"	100
"oda"	"cannon_ship_only"	-200
"oda"	"cavalry_heavy"	100
"oda"	"cavalry_heavy_late"	200
"oda"	"default"	-500
"oda"	"default_naval"	-500
"oda"	"heavy_ship_heavy"	100
"oda"	"light_and_medium_only"	-150
"oda"	"light_ship_heavy"	100
"oda"	"light_ship_only"	-300
"oda"	"medium_ship_heavy"	100
"oda"	"melee_and_cavalry_only"	-150
"oda"	"melee_and_missile_only"	-150
"oda"	"melee_heavy"	100
"oda"	"melee_heavy_late"	200
"oda"	"melee_infantry_only"	-300
"oda"	"ranged_heavy"	100
"oda"	"ranged_heavy_late"	200
"oda"	"ship_standard"	100
"oda"	"ship_standard_late"	200
"oda"	"standard"	200
"oda"	"standard_late"	300
"shimazu"	"cannon_ship_only"	-200
"shimazu"	"cavalry_heavy"	100
"shimazu"	"cavalry_heavy_late"	200
"shimazu"	"default"	-500
"shimazu"	"default_naval"	-500
"shimazu"	"heavy_ship_heavy"	100
"shimazu"	"light_and_medium_only"	-150
"shimazu"	"light_ship_heavy"	100
"shimazu"	"light_ship_only"	-300
"shimazu"	"medium_ship_heavy"	100
"shimazu"	"melee_and_cavalry_only"	-150
"shimazu"	"melee_and_missile_only"	-150
"shimazu"	"melee_heavy"	250
"shimazu"	"melee_heavy_late"	350
"shimazu"	"melee_infantry_only"	-300
"shimazu"	"ranged_heavy"	100
"shimazu"	"ranged_heavy_late"	200
"shimazu"	"ship_standard"	100
"shimazu"	"ship_standard_late"	200
"shimazu"	"standard"	100
"shimazu"	"standard_late"	200
