version 1, schema slots_gdp_values_tables, guid 28596f83-c86d-49ff-a28d-9bed1cb3b2be
unknown1(string)	unknown2(int)	unknown3(float)	unknown4(float)
"GEM_region_specialty_silk"	0	0	1
"GEM_region_specialty_silk"	1	0	1
"GEM_region_specialty_silk"	2	0	1
"GEM_region_specialty_silk"	3	0	1
"GEM_region_specialty_silk"	4	0	1
"GEM_region_specialty_silk"	5	0	1
"SHO_region_specialty_armourmaking"	0	0	1
"SHO_region_specialty_armourmaking"	1	0	1
"SHO_region_specialty_armourmaking"	2	0	1
"SHO_region_specialty_armourmaking"	3	0	1
"SHO_region_specialty_armourmaking"	4	0	1
"SHO_region_specialty_armourmaking"	5	0	1
"SHO_region_specialty_artisans"	0	0	1
"SHO_region_specialty_artisans"	1	0	1
"SHO_region_specialty_artisans"	2	0	1
"SHO_region_specialty_artisans"	3	0	1
"SHO_region_specialty_artisans"	4	0	1
"SHO_region_specialty_artisans"	5	0	1
"SHO_region_specialty_farm"	0	0	1
"SHO_region_specialty_farm"	1	0	1.2
"SHO_region_specialty_farm"	2	0	1.4
"SHO_region_specialty_farm"	3	0	1.6
"SHO_region_specialty_farm"	4	0	1.8
"SHO_region_specialty_farm"	5	0	2
"SHO_region_specialty_gold_mining"	0	0	1
"SHO_region_specialty_gold_mining"	1	0	1
"SHO_region_specialty_gold_mining"	2	0	1
"SHO_region_specialty_gold_mining"	3	0	1
"SHO_region_specialty_gold_mining"	4	0	1
"SHO_region_specialty_gold_mining"	5	0	1
"SHO_region_specialty_holy_site"	0	0	1
"SHO_region_specialty_holy_site"	1	0	1
"SHO_region_specialty_holy_site"	2	0	1
"SHO_region_specialty_holy_site"	3	0	1
"SHO_region_specialty_holy_site"	4	0	1
"SHO_region_specialty_holy_site"	5	0	1
"SHO_region_specialty_horses"	0	0	1
"SHO_region_specialty_horses"	1	0	1
"SHO_region_specialty_horses"	2	0	1
"SHO_region_specialty_horses"	3	0	1
"SHO_region_specialty_horses"	4	0	1
"SHO_region_specialty_horses"	5	0	1
"SHO_region_specialty_iron_mining"	0	0	1
"SHO_region_specialty_iron_mining"	1	0	1
"SHO_region_specialty_iron_mining"	2	0	1
"SHO_region_specialty_iron_mining"	3	0	1
"SHO_region_specialty_iron_mining"	4	0	1
"SHO_region_specialty_iron_mining"	5	0	1
"SHO_region_specialty_naval_tradition"	0	0	1
"SHO_region_specialty_naval_tradition"	1	0	1
"SHO_region_specialty_naval_tradition"	2	0	1
"SHO_region_specialty_naval_tradition"	3	0	1
"SHO_region_specialty_naval_tradition"	4	0	1
"SHO_region_specialty_naval_tradition"	5	0	1
"SHO_region_specialty_ninja"	0	0	1
"SHO_region_specialty_ninja"	1	0	1
"SHO_region_specialty_ninja"	2	0	1
"SHO_region_specialty_ninja"	3	0	1
"SHO_region_specialty_ninja"	4	0	1
"SHO_region_specialty_ninja"	5	0	1
"SHO_region_specialty_philosophical_tradition"	0	0	1
"SHO_region_specialty_philosophical_tradition"	1	0	1
"SHO_region_specialty_philosophical_tradition"	2	0	1
"SHO_region_specialty_philosophical_tradition"	3	0	1
"SHO_region_specialty_philosophical_tradition"	4	0	1
"SHO_region_specialty_philosophical_tradition"	5	0	1
"SHO_region_specialty_prime_forest"	0	0	1
"SHO_region_specialty_prime_forest"	1	0	1
"SHO_region_specialty_prime_forest"	2	0	1
"SHO_region_specialty_prime_forest"	3	0	1
"SHO_region_specialty_prime_forest"	4	0	1
"SHO_region_specialty_prime_forest"	5	0	1
"SHO_region_specialty_smithing"	0	0	1
"SHO_region_specialty_smithing"	1	0	1
"SHO_region_specialty_smithing"	2	0	1
"SHO_region_specialty_smithing"	3	0	1
"SHO_region_specialty_smithing"	4	0	1
"SHO_region_specialty_smithing"	5	0	1
"SHO_region_specialty_stone"	0	0	1
"SHO_region_specialty_stone"	1	0	1
"SHO_region_specialty_stone"	2	0	1
"SHO_region_specialty_stone"	3	0	1
"SHO_region_specialty_stone"	4	0	1
"SHO_region_specialty_stone"	5	0	1
"bos_region_specialtea"	0	0	1
"bos_region_specialtea"	1	0	1
"bos_region_specialtea"	2	0	1
"bos_region_specialtea"	3	0	1
"bos_region_specialtea"	4	0	1
"bos_region_specialtea"	5	0	1
"bos_region_specialty_clay"	0	0	1
"bos_region_specialty_clay"	1	0	1
"bos_region_specialty_clay"	2	0	1
"bos_region_specialty_clay"	3	0	1
"bos_region_specialty_clay"	4	0	1
"bos_region_specialty_clay"	5	0	1
"bos_region_specialty_coal_mining"	0	0	1
"bos_region_specialty_coal_mining"	1	0	1
"bos_region_specialty_coal_mining"	2	0	1
"bos_region_specialty_coal_mining"	3	0	1
"bos_region_specialty_coal_mining"	4	0	1
"bos_region_specialty_coal_mining"	5	0	1
"bos_region_specialty_copper_mining"	0	0	1
"bos_region_specialty_copper_mining"	1	0	1
"bos_region_specialty_copper_mining"	2	0	1
"bos_region_specialty_copper_mining"	3	0	1
"bos_region_specialty_copper_mining"	4	0	1
