version 1, schema units_to_exclusive_faction_permissions_tables
Unit_IDRef(string)	Faction_IDRef(string)	Availability(boolean)
"1st_rate_admiral"	"crimean_khanate"	true
"3rd_rate_admiral"	"crimean_khanate"	true
"5th_rate_admiral"	"crimean_khanate"	true
"armed_citizenry_matchlocks_middle_east"	"crimean_khanate"	true
"armed_citizenry_middle_east"	"crimean_khanate"	true
"armed_peasantry_semenys"	"chechenya_dagestan"	true
"armed_peasantry_semenys"	"crimean_khanate"	true
"bomb_ketch"	"crimean_khanate"	true
"dhow"	"crimean_khanate"	true
"east_heavy_cavalry_mirza"	"crimean_khanate"	true
"east_lancers_oglans"	"chechenya_dagestan"	true
"east_lancers_oglans"	"crimean_khanate"	true
"east_lancers_oglans"	"georgia"	true
"east_light_cavalry_nogai"	"crimean_khanate"	true
"east_missile_cavalry_mirza"	"crimean_khanate"	true
"light_galley/galliot/fusta"	"crimean_khanate"	true
"medium_galley"	"crimean_khanate"	true
"musellims"	"chechenya_dagestan"	true
"musellims"	"crimean_khanate"	true
"native_american_archers_auxiliary"	"crimean_khanate"	true
"native_american_mounted_musketeers_auxiliary"	"crimean_khanate"	true
"native_american_musketeers_auxiliary"	"crimean_khanate"	true
"native_american_tribesmen_auxiliary"	"crimean_khanate"	true
"native_american_warriors_auxiliary"	"crimean_khanate"	true
"ottoman_generals_bodyguard"	"crimean_khanate"	true
"sp_ed_dahomey_amazon"	"crimean_khanate"	true
"sp_ed_ghoorkas"	"crimean_khanate"	true
"xebec"	"crimean_khanate"	true
"east_ethnic_musketmen_tufekci"	"crimean_khanate"	true
"euro_generals_bodyguard"	"georgia"	true
"ottoman_generals_bodyguard"	"georgia"	false
"steppe_cavalry_tatars_crimean"	"crimean_khanate"	true
"east_ethnic_hillmen_musketeers_caucasian"	"chechenya_dagestan"	true
"east_ethnic_hillmen_musketeers_caucasian"	"georgia"	true
"east_ethnic_swordsmen_caucasian"	"chechenya_dagestan"	true
"east_ethnic_swordsmen_khevsur"	"georgia"	true
"east_irregular_cavalry_circassian"	"chechenya_dagestan"	true
"east_irregular_cavalry_circassian"	"georgia"	true
"musellims"	"georgia"	false
"glekhebi"	"georgia"	true
"east_light_cavalry_jigits"	"chechenya_dagestan"	true
"east_light_cavalry_jigits"	"crimean_khanate"	false
"east_light_cavalry_jigits"	"georgia"	true
"eue_armenian_archers"	"georgia"	true
"eue_circassian_armoured_cavalry"	"chechenya_dagestan"	true
"eue_circassian_armoured_cavalry"	"crimean_khanate"	false
"eue_circassian_armoured_cavalry"	"georgia"	true
"east_ethnic_warriors_dervishes"	"chechenya_dagestan"	true
"east_pikemen_sadrosho"	"georgia"	true
