version 1, schema unit_to_unit_abilities_junctions_tables, guid f0583eb3-5ebc-4d4c-8c23-918b9141a56f
Unit_IDRef(string)	Unit_Ability_IDRef(string)
"Boshin_Art_Armstrong_Guns_MP"	"shrapnel_shot"
"Boshin_Art_Armstrong_Guns"	"shrapnel_shot"
"Boshin_Art_Parrot_Guns_MP"	"shrapnel_shot"
"Boshin_Art_Parrot_Guns"	"shrapnel_shot"
"Boshin_Cav_Missile_Bow_Ki"	"cantabrian_circle"
"Boshin_Cav_Missile_Imperial_Guard_Cavalry"	"wedge_formation"
"Boshin_Cav_Missile_Samurai_Hero_MP"	"second_wind"
"Boshin_Cav_Missile_Samurai_Hero"	"cantabrian_circle"
"Boshin_Cav_Missile_Samurai_Hero"	"second_wind"
"Boshin_Cav_Spear_Shogunate_Guard_Cavalry"	"wedge_formation"
"Boshin_Cav_Spear_Yari_Ki"	"wedge_formation"
"Boshin_Cav_Sword_Republican_Guard_Cavalry"	"wedge_formation"
"Boshin_Cav_Sword_Sabre_Cavalry"	"wedge_formation"
"Boshin_Corvette_Kaiten_Copper_Plated"	"faster_reload_naval"
"Boshin_Corvette_Kaiten_Copper_Plated"	"overcharge_engine"
"Boshin_Corvette_Kaiten_Iron_Plated"	"faster_reload_naval"
"Boshin_Corvette_Kaiten_Iron_Plated"	"overcharge_engine"
"Boshin_Corvette_Kaiten_MP"	"faster_reload_naval"
"Boshin_Corvette_Kaiten_MP"	"overcharge_engine"
"Boshin_Corvette_Kaiten"	"faster_reload_naval"
"Boshin_Corvette_Kaiten"	"overcharge_engine"
"Boshin_Corvette_Kanko_Maru_Copper_Plated"	"faster_reload_naval"
"Boshin_Corvette_Kanko_Maru_Copper_Plated"	"overcharge_engine"
"Boshin_Corvette_Kanko_Maru_Iron_Plated"	"faster_reload_naval"
"Boshin_Corvette_Kanko_Maru_Iron_Plated"	"overcharge_engine"
"Boshin_Corvette_Kanko_Maru_MP"	"faster_reload_naval"
"Boshin_Corvette_Kanko_Maru_MP"	"overcharge_engine"
"Boshin_Corvette_Kanko_Maru"	"faster_reload_naval"
"Boshin_Corvette_Kanko_Maru"	"overcharge_engine"
"Boshin_Corvette_Kanrin_Maru_Copper_Plated"	"faster_reload_naval"
"Boshin_Corvette_Kanrin_Maru_Copper_Plated"	"overcharge_engine"
"Boshin_Corvette_Kanrin_Maru_Iron_Plated"	"faster_reload_naval"
"Boshin_Corvette_Kanrin_Maru_Iron_Plated"	"overcharge_engine"
"Boshin_Corvette_Kanrin_Maru_MP"	"faster_reload_naval"
"Boshin_Corvette_Kanrin_Maru_MP"	"overcharge_engine"
"Boshin_Corvette_Kanrin_Maru"	"faster_reload_naval"
"Boshin_Corvette_Kanrin_Maru"	"overcharge_engine"
"Boshin_Corvette_Kasuga_Copper_Plated"	"faster_reload_naval"
"Boshin_Corvette_Kasuga_Copper_Plated"	"overcharge_engine"
"Boshin_Corvette_Kasuga_Iron_Plated"	"faster_reload_naval"
"Boshin_Corvette_Kasuga_Iron_Plated"	"overcharge_engine"
"Boshin_Corvette_Kasuga_MP"	"faster_reload_naval"
"Boshin_Corvette_Kasuga_MP"	"overcharge_engine"
"Boshin_Corvette_Kasuga"	"faster_reload_naval"
"Boshin_Corvette_Kasuga"	"overcharge_engine"
"Boshin_Frigate_Kaiyo_Maru_Copper_Plated"	"faster_reload_naval"
"Boshin_Frigate_Kaiyo_Maru_Copper_Plated"	"overcharge_engine"
"Boshin_Frigate_Kaiyo_Maru_Iron_Plated"	"faster_reload_naval"
"Boshin_Frigate_Kaiyo_Maru_Iron_Plated"	"overcharge_engine"
"Boshin_Frigate_Kaiyo_Maru_MP"	"faster_reload_naval"
"Boshin_Frigate_Kaiyo_Maru_MP"	"overcharge_engine"
"Boshin_Frigate_Kaiyo_Maru"	"faster_reload_naval"
"Boshin_Frigate_Kaiyo_Maru"	"overcharge_engine"
"Boshin_Gen_Generals_Bodyguard_MP"	"rally"
"Boshin_Gen_Generals_Bodyguard_MP"	"rally_position"
"Boshin_Gen_Generals_Bodyguard"	"ganbatte"
"Boshin_Gen_Generals_Bodyguard"	"inspire_unit"
"Boshin_Gen_Generals_Bodyguard"	"rally"
"Boshin_Gen_Generals_Bodyguard"	"rally_position"
"Boshin_Gen_Generals_Hatamoto_MP"	"rally"
"Boshin_Gen_Generals_Hatamoto_MP"	"rally_position"
"Boshin_Gen_Generals_Hatamoto"	"inspire_unit"
"Boshin_Gen_Generals_Hatamoto"	"rally"
"Boshin_Gen_Generals_Hatamoto"	"rally_position"
"Boshin_Gen_Generals_Hatamoto"	"we_stand_and_fight"
"Boshin_Gen_Ironclad_Kotetsu_MP"	"faster_reload_naval"
"Boshin_Gen_Ironclad_Kotetsu_MP"	"overcharge_engine"
"Boshin_Gen_Ironclad_Kotetsu_MP"	"ram_naval"
"Boshin_Gen_Saigo_Takamori"	"inspire_unit"
"Boshin_Gen_Saigo_Takamori"	"rally"
"Boshin_Gen_Saigo_Takamori"	"rally_position"
"Boshin_Gun_Boat_Chiyodagata_MP"	"faster_reload_naval"
"Boshin_Gun_Boat_Chiyodagata_MP"	"overcharge_engine"
"Boshin_Gun_Boat_Chiyodagata"	"faster_reload_naval"
"Boshin_Gun_Boat_Chiyodagata"	"overcharge_engine"
"Boshin_Inf_Elite_Imperial_Guard_Infantry"	"kneel_fire_ability"
"Boshin_Inf_Elite_Imperial_Guard_Infantry"	"suppression_fire"
"Boshin_Inf_Elite_Infanterie_de_marine"	"kneel_fire_ability"
"Boshin_Inf_Elite_Infanterie_de_marine"	"suppression_fire"
"Boshin_Inf_Elite_Kihetai"	"kneel_fire_ability"
"Boshin_Inf_Elite_Kihetai"	"suppression_fire"
"Boshin_Inf_Elite_Republican_Guard_Infantry"	"kneel_fire_ability"
"Boshin_Inf_Elite_Republican_Guard_Infantry"	"suppression_fire"
"Boshin_Inf_Elite_Royal_Marines"	"kneel_fire_ability"
"Boshin_Inf_Elite_Royal_Marines"	"suppression_fire"
"Boshin_Inf_Elite_Shogunate_Guard_Infantry"	"kneel_fire_ability"
"Boshin_Inf_Elite_Shogunate_Guard_Infantry"	"suppression_fire"
"Boshin_Inf_Elite_United_States_Marines"	"kneel_fire_ability"
"Boshin_Inf_Elite_United_States_Marines"	"suppression_fire"
"Boshin_Inf_Garrison_Infantry"	"kneel_fire_ability"
"Boshin_Inf_Garrison_Infantry"	"suppression_fire"
"Boshin_Inf_Light_Sharpshooters"	"suppression_fire"
"Boshin_Inf_Light_Tosa_Riflemen"	"suppression_fire"
"Boshin_Inf_Light_Yugekitai"	"suppression_fire"
"Boshin_Inf_Line_Azure_Dragon_Force"	"kneel_fire_ability"
"Boshin_Inf_Line_Azure_Dragon_Force"	"suppression_fire"
"Boshin_Inf_Line_Black_Bear_Infantry"	"kneel_fire_ability"
"Boshin_Inf_Line_Black_Bear_Infantry"	"suppression_fire"
"Boshin_Inf_Line_Black_Tortoise_Force"	"kneel_fire_ability"
"Boshin_Inf_Line_Black_Tortoise_Force"	"suppression_fire"
"Boshin_Inf_Line_Imperial_Infantry"	"kneel_fire_ability"
"Boshin_Inf_Line_Imperial_Infantry"	"suppression_fire"
"Boshin_Inf_Line_Infantry"	"kneel_fire_ability"
"Boshin_Inf_Line_Infantry"	"suppression_fire"
"Boshin_Inf_Line_Red_Bear_Infantry"	"kneel_fire_ability"
"Boshin_Inf_Line_Red_Bear_Infantry"	"suppression_fire"
"Boshin_Inf_Line_Republican_Infantry"	"kneel_fire_ability"
"Boshin_Inf_Line_Republican_Infantry"	"suppression_fire"
"Boshin_Inf_Line_Shinsengumi"	"banzai"
"Boshin_Inf_Line_Shogunate_Infantry"	"kneel_fire_ability"
"Boshin_Inf_Line_Shogunate_Infantry"	"suppression_fire"
"Boshin_Inf_Line_Vermilion_Bird_Force"	"kneel_fire_ability"
"Boshin_Inf_Line_Vermilion_Bird_Force"	"suppression_fire"
"Boshin_Inf_Line_White_Bear_Infantry"	"kneel_fire_ability"
"Boshin_Inf_Line_White_Bear_Infantry"	"suppression_fire"
"Boshin_Inf_Missile_Bow_Kachi_MP"	"flaming_arrows_ability"
