version 1, schema mp_force_gen_upgrade_probabilities_tables, guid 9fc6dbe4-0da1-4e3d-ba00-7b8cf5e0ade4
unknown1(float)	unknown2(float)	unknown3(string)	unknown4(string)	unknown5(string)
0	1	"artillery"	""	""
0	1	"cavalry"	""	""
0	1	"dragoons"	""	""
0	1	"elephants"	""	""
0	1	"infantry"	""	""
0	1	"infantry_melee"	""	""
0	1	"infantry_ranged"	""	""
0	1	"mp_artillery"	""	""
0	1	"mp_bow"	""	""
0	1	"mp_cavalry"	""	""
0	1	"mp_gun"	""	""
0	1	"mp_infantry"	""	""
0	1	"mp_naval_frigate"	""	""
0	1	"mp_naval_heavy"	""	""
0	1	"mp_naval_light"	""	""
0	1	"mp_naval_line_of_battle"	""	""
0	1	"mp_naval_medium"	""	""
0	1	"mp_naval_small_ship"	""	""
0	1	"mp_spear"	""	""
0	1	"mp_stealth"	""	""
0	1	"mp_sword"	""	""
0	1	"mp_temple"	""	""
0	1	"naval_auxiliary"	""	""
0	1	"naval_frigate"	""	""
0	1	"naval_galley"	""	""
0	1	"naval_heavy"	""	""
0	1	"naval_invasion_fleet"	""	""
0	1	"naval_light"	""	""
0	1	"naval_line_of_battle"	""	""
0	1	"naval_medium"	""	""
0	1	"naval_merchant"	""	""
0	1	"naval_specialist"	""	""
