version 1, schema gun_type_to_projectiles_tables
Gun_IDRef(string)	Projectile_IDRef(string)	Muzzle_Flash(string)
"camel_gun"	"camel_gun_shot"	"puckle_muzzle_flash"
"cannon_12_pounder"	"cannon_12_pounder_cannister"	"cannon_12_pounder_muzzle_flash"
"cannon_12_pounder"	"cannon_12_pounder_shot"	"cannon_12_pounder_muzzle_flash"
"cannon_12_pounder"	"cannon_12_pounder_shrapnel"	"cannon_12_pounder_muzzle_flash"
"cannon_18_pounder"	"cannon_18_pounder_cannister"	"cannon_18_pounder_muzzle_flash"
"cannon_18_pounder"	"cannon_18_pounder_shot"	"cannon_18_pounder_muzzle_flash"
"cannon_18_pounder"	"cannon_18_pounder_shrapnel"	"cannon_18_pounder_muzzle_flash"
"cannon_24_pounder"	"cannon_24_pounder_cannister"	"cannon_24_pounder_muzzle_flash"
"cannon_24_pounder"	"cannon_24_pounder_shot"	"cannon_24_pounder_muzzle_flash"
"cannon_24_pounder"	"cannon_24_pounder_shrapnel"	"cannon_24_pounder_muzzle_flash"
"cannon_24_pounder_early"	"cannon_24_pounder_cannister"	"cannon_24_pounder_muzzle_flash"
"cannon_24_pounder_early"	"cannon_24_pounder_early_shot"	"cannon_24_pounder_muzzle_flash"
"cannon_3_pounder"	"cannon_3_pounder_cannister"	"cannon_3_pounder_muzzle_flash"
"cannon_3_pounder"	"cannon_3_pounder_shot"	"cannon_3_pounder_muzzle_flash"
"cannon_3_pounder"	"cannon_3_pounder_shrapnel"	"cannon_3_pounder_muzzle_flash"
"cannon_6_pounder"	"cannon_6_pounder_cannister"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder"	"cannon_6_pounder_shot"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder"	"cannon_6_pounder_shrapnel"	"cannon_6_pounder_muzzle_flash"
"cannon_9_pounder"	"cannon_9_pounder_cannister"	"cannon_9_pounder_muzzle_flash"
"cannon_9_pounder"	"cannon_9_pounder_shot"	"cannon_9_pounder_muzzle_flash"
"cannon_9_pounder_early"	"cannon_9_pounder_early_shot"	"cannon_9_pounder_muzzle_flash"
"episodic_24_pounder"	"episodic_24_pounder"	"cannon_24_pounder_muzzle_flash"
"episodic_demi_cannon"	"tutorial_cannister"	"cannon_24_pounder_muzzle_flash"
"episodic_demi_cannon"	"tutorial_shot"	"cannon_24_pounder_muzzle_flash"
"fort_12_pounder"	"fort_12_pounder_canister"	"fort_12_pounder_muzzle_flash"
"fort_12_pounder"	"fort_12_pounder_shot"	"fort_12_pounder_muzzle_flash"
"fort_12_pounder"	"fort_12_pounder_shrapnel"	"fort_12_pounder_muzzle_flash"
"fort_18_pounder"	"fort_18_pounder_canister"	"fort_18_pounder_muzzle_flash"
"fort_18_pounder"	"fort_18_pounder_shot"	"fort_18_pounder_muzzle_flash"
"fort_18_pounder"	"fort_18_pounder_shrapnel"	"fort_18_pounder_muzzle_flash"
"fort_24_pounder"	"fort_24_pounder_canister"	"fort_24_pounder_muzzle_flash"
"fort_24_pounder"	"fort_24_pounder_shot"	"fort_24_pounder_muzzle_flash"
"fort_24_pounder"	"fort_24_pounder_shrapnel"	"fort_24_pounder_muzzle_flash"
"fort_32_pounder"	"fort_32_pounder_canister"	"fort_32_pounder_muzzle_flash"
"fort_32_pounder"	"fort_32_pounder_shot"	"fort_32_pounder_muzzle_flash"
"fort_32_pounder"	"fort_32_pounder_shrapnel"	"fort_32_pounder_muzzle_flash"
"fort_carronade_64_pounder"	"fort_carronade_64_pounder_canister"	"fort_carronade_64_pounder_muzzle_flash"
"fort_carronade_64_pounder"	"fort_carronade_64_pounder_shot"	"fort_carronade_64_pounder_muzzle_flash"
"fort_carronade_64_pounder"	"fort_carronade_64_pounder_shrapnel"	"fort_carronade_64_pounder_muzzle_flash"
"howitzer_12_pounder"	"howitzer_12_pounder_carcass"	"howitzer_12_pounder_muzzle_flash"
"howitzer_12_pounder"	"howitzer_12_pounder_quicklime"	"howitzer_12_pounder_muzzle_flash"
"howitzer_12_pounder"	"howitzer_12_pounder_shell"	"howitzer_12_pounder_muzzle_flash"
"howitzer_12_pounder"	"howitzer_12_pounder_shell_percussive"	"howitzer_12_pounder_muzzle_flash"
"howitzer_12_pounder"	"howitzer_12_pounder_shot"	"howitzer_12_pounder_muzzle_flash"
"howitzer_24_pounder"	"howitzer_24_pounder_carcass"	"howitzer_24_pounder_muzzle_flash"
"howitzer_24_pounder"	"howitzer_24_pounder_quicklime"	"howitzer_24_pounder_muzzle_flash"
"howitzer_24_pounder"	"howitzer_24_pounder_shell"	"howitzer_24_pounder_muzzle_flash"
"howitzer_24_pounder"	"howitzer_24_pounder_shell_percussive"	"howitzer_24_pounder_muzzle_flash"
"howitzer_24_pounder"	"howitzer_24_pounder_shot"	"howitzer_24_pounder_muzzle_flash"
"howitzer_32_pounder"	"howitzer_32_pounder_carcass"	"howitzer_32_pounder_muzzle_flash"
"howitzer_32_pounder"	"howitzer_32_pounder_quicklime"	"howitzer_32_pounder_muzzle_flash"
"howitzer_32_pounder"	"howitzer_32_pounder_shell"	"howitzer_32_pounder_muzzle_flash"
"howitzer_32_pounder"	"howitzer_32_pounder_shell_percussive"	"howitzer_32_pounder_muzzle_flash"
"howitzer_32_pounder"	"howitzer_32_pounder_shot"	"howitzer_32_pounder_muzzle_flash"
"mortar_4"	"mortar_4_carcass"	"mortar_4_muzzle_flash"
"mortar_4"	"mortar_4_quicklime"	"mortar_4_muzzle_flash"
"mortar_4"	"mortar_4_shell"	"mortar_4_muzzle_flash"
"mortar_4"	"mortar_4_shell_percussive"	"mortar_4_muzzle_flash"
"mortar_4"	"mortar_4_shot"	"mortar_4_muzzle_flash"
"mortar_8"	"mortar_8_carcass"	"mortar_8_muzzle_flash"
"mortar_8"	"mortar_8_quicklime"	"mortar_8_muzzle_flash"
"mortar_8"	"mortar_8_shell"	"mortar_8_muzzle_flash"
"mortar_8"	"mortar_8_shell_percussive"	"mortar_8_muzzle_flash"
"mortar_8"	"mortar_8_shot"	"mortar_8_muzzle_flash"
"naval_12_pounder"	"naval_12_pounder_chain"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder"	"naval_12_pounder_grape"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder"	"naval_12_pounder_improved_grape"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder"	"naval_12_pounder_shot"	"naval_12_pounder_muzzle_flash"
