version 1, schema advice_levels_tables
Key(string)	Thread_Name(string)	advice_thread_level(int)	points_needed(int)	game_area(string)	category(string)	sub_category(string)	max_repeat_count(int)	repeat_interval(int)	pause_battle(boolean)	priority_level(int)	high_verbosity_only(boolean)	locatable(boolean)	parameter(string)	on_display_script(optstring)	suppressible(boolean)	unknown15(boolean)	unknown16(boolean)	audio_clip(string)
"-2144518529"	"5237_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2142616193"	"3020_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2140377823"	"3120_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2140064507"	"1194_Campaign_Advice_UI_Help_Diplomacy_Thread"	1	1	"Campaign"	"UI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-2134517828"	"0063_Battle_Advice_Enrage_The_Enemy_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"
"-2130399566"	"4057_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-2129806598"	"5000_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2128750829"	"5120_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2126980281"	"3196_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2120804883"	"1033_Campaign_Advice_UI_Review_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	true	false	"none"	""	false	false	false	"n"
"-2120431405"	"5217_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2117596656"	"0167_Battle_Advice_Sloop_Characteristics_Thread"	1	1	"Naval Battle"	"Units"	"Naval"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-2114504532"	"3029_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2101003372"	"4070_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-2095797098"	"1067_Campaign_Advice_Character_Selected_Thread"	1	1	"Campaign"	"Characters"	"Agents"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-2095611480"	"4036_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-2079758977"	"0087_Battle_Advice_Elephants_Amok_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"
"-2074217292"	"0040_Battle_Advice_Defence_Against_Cavalry_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	1	true	false	"none"	""	false	false	false	"n"
"-2064609509"	"4084_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-2061792637"	"4065_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-2047938396"	"5222_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2039862233"	"1040_Campaign_Advice_UI_Postbattle_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-2033018457"	"1060_Campaign_Advice_Slot_Selected_Thread"	1	1	"Campaign"	"Slots"	"Vineyards"	1	0	false	1	true	false	"none"	""	false	false	false	"n"
"-2029014381"	"3163_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2023390722"	"0109_Battle_Advice_Defences_Stakes_Thread"	1	1	"Battle"	"Units"	"Land"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-2018793501"	"0174_Battle_Advice_Razee_Characteristics_Thread"	1	1	"Naval Battle"	"Units"	"Naval"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-2017583094"	"1019_Campaign_Advice_UI_Technology_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-2017184177"	"5124_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2014914668"	"0026_Battle_Advice_Avoid_Flanking_Thread"	2	2	"Battle"	"Units"	"Tactics"	1	0	false	2	true	false	"none"	""	false	false	false	"n"
"-2007422063"	"0730_ep_3_victory_conditions"	1	1	"Campaign"	"Episodic"	"1"	1	1	false	0	false	false	"none"	""	false	false	false	"n"
"-2004663178"	"0025_Battle_Advice_Find_Weak_Spots_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"
"-2004098759"	"3096_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2003184560"	"5074_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-2002946048"	"0044_Battle_Advice_Camels_Against_Cavalry_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	1	true	false	"none"	""	false	false	false	"n"
"-1999396619"	"1079c_Campaign_Advice_Right_Click_Details_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1997236953"	"0709_ep_1_construct_fishery_2"	1	1	"Campaign"	"Episodic"	"1"	5	3	false	0	false	false	"none"	""	false	false	false	"n"
"-1995657968"	"1027_Campaign_Advice_UI_Lists_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	true	false	"none"	""	false	false	false	"n"
"-1993266800"	"5160_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1992383240"	"1070_Campaign_Advice_Character_Selected_Thread"	2	3	"Campaign"	"Characters"	"Agents"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-1989346256"	"5129_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1985907868"	"3168_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1969897884"	"0036_Battle_Advice_Cavalry_Against_Points_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	1	true	false	"none"	""	false	false	false	"n"
"-1969504513"	"4007_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1962069695"	"5211_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1961998855"	"0052_Battle_Advice_Driving_Off_Skirmishers_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	2	true	false	"none"	""	false	false	false	"n"
"-1961571108"	"1095_Campaign_Advice_Trade_Agreement_Thread"	1	1	"Campaign"	"Features"	"Trade"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1959562032"	"1071_Campaign_Advice_Character_Selected_Thread"	5	16	"Campaign"	"Characters"	"Agents"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-1953973669"	"3056_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1951772539"	"3185_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1948085763"	"0156_Battle_Advice_Ship_Aground_Thread"	1	1	"Naval Battle"	"Units"	"Naval"	1	0	false	1	true	true	"battle_ship"	""	false	false	false	"n"
"-1946638054"	"3063_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1944874567"	"0192_Battle_Advice_Naval_Group_Button_Thread"	1	1	"Naval Battle"	"UI"	"Buttons"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1944425564"	"3005_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1944162018"	"0208_Battle_Advice_Walls_Breached_Thread"	1	1	"Battle"	"Siege"	"Defence"	1	0	false	1	true	false	"none"	""	false	false	false	"n"
"-1929067109"	"5209_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1923096311"	"1019a_Campaign_Advice_UI_Technology_Panel_Thread"	2	4	"Campaign"	"UI"	"Panels"	1	0	false	2	true	false	"none"	""	false	false	false	"n"
"-1922422772"	"0048_Battle_Advice_Good_Artillery_Target_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	true	false	"none"	""	false	false	false	"n"
"-1919018811"	"0740_ep_2_docks_needed"	1	1	"Campaign"	"Episodic"	"2"	1	1	false	0	false	true	"port"	""	false	false	false	"n"
"-1912535864"	"3017_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1909521793"	"5053_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1906180227"	"0031_Battle_Advice_Defending_With_Cavalry_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	3	false	false	"none"	""	false	false	false	"n"
"-1904237373"	"4003_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1901858416"	"1014e_Campaign_Advice_UI_Diplomacy_Panel_Thread"	1	1	"Campaign"	"UI"	"Buttons"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1900368136"	"4020_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1899489232"	"0018_Battle_Advice_Fight_To_The_Death_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	2	true	false	"none"	""	false	false	false	"n"
"-1892323933"	"0119_Battle_Advice_Unlimbering_Thread"	1	1	"Battle"	"Units"	"Land"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1890476358"	"0097_Battle_Advice_Crossing_Attack_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	1	true	false	"none"	""	false	false	false	"n"
"-1889870617"	"5197_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1886952522"	"1002_Campaign_Advice_France_Initial_Turns_Thread"	1	1	"Campaign"	"Factions"	"Initial"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1880657710"	"3039_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1879621716"	"3123_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1875830202"	"0013_Battle_Advice_Missile_Superiority_Thread"	1	1	"Battle"	"Units"	"Tactics"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-1875537007"	"3225_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1871866990"	"1081_Campaign_Advice_Right_Click_Details_Thread"	4	8	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1870445084"	"4055_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1867697595"	"3206_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1854445220"	"5078_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1852972434"	"5028_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1848628710"	"5095_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1848444026"	"0815_bat_tut_fire_at_will3"	1	1	"Battle"	"Tutorial"	"1"	1	1	false	1	false	false	"none"	""	false	false	false	"n"
"-1845849109"	"3134_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1838000585"	"5061_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1833879664"	"3071_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1831201196"	"5238_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1827006635"	"0196_Battle_Advice_Naval_Fire_At_Will_Thread"	1	1	"Naval Battle"	"UI"	"Buttons"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-1818210944"	"0128_Battle_Advice_Spherical_Case_Shot_Thread"	1	1	"Battle"	"Units"	"Ammo"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-1810712630"	"5135_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1808504559"	"1058_Campaign_Advice_Slot_Selected_Thread"	1	1	"Campaign"	"Slots"	"Farms"	1	0	false	1	true	false	"none"	""	false	false	false	"n"
"-1808331232"	"1005_Campaign_Advice_Russia_Initial_Turns_Thread"	1	1	"Campaign"	"Factions"	"Initial"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1805634160"	"5194_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1805368716"	"0215_Battle_Advice_Camera_Controls_Thread"	1	1	"Battle"	"UI"	"Camera"	1	0	false	1	true	false	"none"	""	false	false	false	"n"
"-1794309329"	"5189_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1790533301"	"4058_Campaign_Advice_AI_Research_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1785102587"	"1030d_Campaign_Advice_UI_Government_Panel_Thread"	1	1	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1781079850"	"5020_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1776968026"	"5155_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1775307979"	"1071_Campaign_Advice_Character_Selected_Thread"	2	4	"Campaign"	"Characters"	"Agents"	1	0	false	2	false	false	"none"	""	false	false	false	"n"
"-1766231494"	"1008_Campaign_Advice_Dutch_Initial_Turns_Thread"	1	1	"Campaign"	"Factions"	"Initial"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1759382389"	"3192_Campaign_Advice_AI_Build_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1759058079"	"1198_Campaign_Advice_UI_Help_Postbattle_Thread"	1	1	"Campaign"	"UI"	"Help"	0	0	false	0	false	false	"none"	""	false	false	false	"n"
"-1758243898"	"1019_Campaign_Advice_UI_Technology_Panel_Thread"	2	4	"Campaign"	"UI"	"Panels"	1	0	false	1	false	false	"none"	""	false	false	false	"n"
"-1755835367"	"0100_Battle_Advice_Radar_Map_Thread"	1	1	"Battle"	"UI"	"HUD"	1	0	false	1	true	false	"none"	""	false	false	false	"n"
"-1751621401"	"5163_Campaign_Advice_AI_Train_Question_Thread"	1	1	"Campaign"	"AI"	"Help"	0	0	false	0	false	true	"region_slot"	""	false	false	false	"n"
"-1749073444"	"0710_ep_recruit_unit_1"	1	1	"Campaign"	"Episodic"	"1"	5	3	false	0	false	false	"none"	""	false	false	false	"n"
