ID,event,x pos,x pos (2),y pos,z pos,min_dist,max_dist
1,unnamed_event_46,209.7,209.7,1.5,198.95,0.75,3.17
2,unnamed_event_46,258,258,1.5,204.71,0.74,2.96
3,unnamed_event_46,119.17,119.17,1.5,206.89,0.91,3.64
4,unnamed_event_46,186.89,186.89,1.5,210.06,1.15,3.6
5,unnamed_event_46,137.55,137.55,1.5,205.62,1.11,4.21
6,unnamed_event_46,69.64,69.64,1.5,220.03,0.92,3.91
7,unnamed_event_46,237.96,237.96,1.5,164.24,0.62,3.06
8,unnamed_event_46,151.9,151.9,1.5,208.57,0.91,3.68
9,unnamed_event_46,406.62,406.62,1.5,206.93,-1,5
10,unnamed_event_46,392.3,392.3,1.5,192.3,-1,5
11,unnamed_event_46,422.1,422.1,1.5,216.68,-1,5
12,unnamed_event_46,168.92,168.92,1.5,211.05,1.22,3.9
13,unnamed_event_46,100.16,100.16,1.5,218.43,0.92,3.81
14,unnamed_event_46,388.51,388.51,1.5,205.55,-1,5
15,unnamed_event_46,476.63,476.63,1.5,239.59,-1,5
16,unnamed_event_46,148.82,148.82,1.5,228.12,-1,5
17,unnamed_event_46,393.98,393.98,1.5,273.46,-1,5
18,unnamed_event_46,382.78,382.78,1.5,194.56,-1,5
19,unnamed_event_46,-5.36,-5.36,1.5,243.52,-1,5
20,unnamed_event_46,458.57,458.57,1.5,235.75,-1,5
21,unnamed_event_46,157.71,157.71,1.5,230.73,-1,5
22,unnamed_event_46,5.88,5.88,1.5,246.32,-1,5
23,unnamed_event_46,199.95,199.95,1.5,207.47,0.96,3.83
24,unnamed_event_46,446.26,446.26,1.5,242.61,-1,5
25,unnamed_event_42,-659.73,-659.73,1.5,112.5,-1,5
26,unnamed_event_42,-670.41,-670.41,1.5,121.36,-1,5
27,unnamed_event_42,816.53,816.53,1.5,-18.69,-1,5
28,unnamed_event_42,75.21,75.21,1.5,17.97,1.42,5.56
29,unnamed_event_42,-600.99,-600.99,1.5,106.64,-1,5
30,unnamed_event_42,88.12,88.12,1.5,-31.86,-1,5
31,unnamed_event_42,-573.15,-573.15,1.5,57.89,-1,5
32,unnamed_event_42,-603.97,-603.97,1.5,84.43,-1,5
33,unnamed_event_42,-590.51,-590.51,1.5,63.89,-1,5
34,unnamed_event_42,-428.48,-428.48,1.5,39.86,-1,5
35,unnamed_event_42,333.98,333.98,1.5,-128.04,-1,5
36,unnamed_event_42,-537.31,-537.31,1.5,12.01,-1,5
37,unnamed_event_42,-554.26,-554.26,1.5,6.69,-1,5
38,unnamed_event_42,5.36,5.36,1.5,41.39,-1,5
39,unnamed_event_42,282.52,282.52,1.5,-107.19,1.11,4.52
40,unnamed_event_42,-351.86,-351.86,1.5,-187.16,-1,5
41,unnamed_event_42,-374.56,-374.56,1.5,20.99,-1,5
42,unnamed_event_42,-637.59,-637.59,1.5,127.54,-1,5
43,unnamed_event_42,67.96,67.96,1.5,-6.06,1.12,5.57
44,unnamed_event_42,-726.83,-726.83,1.5,130.61,-1,5
45,unnamed_event_42,341.55,341.55,1.5,-105.91,1.28,5.27
46,unnamed_event_42,266.02,266.02,1.5,-127.72,-1,5
47,unnamed_event_42,278.04,278.04,1.5,-67.03,0.91,3.23
48,unnamed_event_42,-398.59,-398.59,1.5,25.71,-1,5
49,unnamed_event_42,855.16,855.16,1.5,-65.65,-1,5
50,unnamed_event_42,-493.75,-493.75,1.5,63.72,-1,5
51,unnamed_event_42,-629.56,-629.56,1.5,96.83,-1,5
52,unnamed_event_42,804.99,804.99,1.5,-56.63,-1,5
53,unnamed_event_42,267.31,267.31,1.5,-90.34,-1,5
54,unnamed_event_42,-318.4,-318.4,1.5,-158.91,0.86,5.5
55,unnamed_event_42,358.45,358.45,1.5,-95.66,-1,5
