name,category,volume,min_pitch,max_pitch,min_dist,max_dist,falloff,low_pass_freq_cutoff,priority,looped,playback,group,probability,is_2d,streamed,fade_in,fade_out,start_delay,random_trigger_delay,rand_volume,priority_reduction_by_distance,loop_start_block,loop_end_block,mute_when_game_speed_changed,game_mode_stay_in_memory,PROBABILITY_REDUCTION_PER_NUM_SAME_SOUND_EVENTS_FROM_SAME_SOUND_GROUP_PLAYING,speaker_output,APPLY_LAUNCH_DELAY_RELATIVE_TO_DISTANCE_FROM_LISTENER,PROBABILITY_REDUCTION_PER_ANY_SOUND_EVENTS_FROM_SAME_SOUND_GROUP_PLAYING,FADE_TYPE,RESERVED_3,RESERVED_4,RESERVED_5,RESERVED_6,MAX_NUMBER_OF_SOUNDS_PLAYING_AT_ONCE,DELAY_BEFORE_SOUND_CAN_PLAY_AGAIN,wavefile_1,wavefile_2,wavefile_3,wavefile_4,wavefile_5,wavefile_6,wavefile_7,wavefile_8,wavefile_9,wavefile_10,wavefile_11,wavefile_12,wavefile_13,wavefile_14,wavefile_15,wavefile_16,wavefile_17,wavefile_18,wavefile_19,wavefile_20,wavefile_21,wavefile_22,wavefile_23,wavefile_24,wavefile_25,wavefile_26,wavefile_27,wavefile_28,wavefile_29,wavefile_30,wavefile_31,wavefile_32,wavefile_33,wavefile_34,wavefile_35,wavefile_36,wavefile_37,wavefile_38,wavefile_39,wavefile_40,wavefile_41,wavefile_42,wavefile_43,wavefile_44,wavefile_45,wavefile_46,wavefile_47,wavefile_48
unnamed_event_0,environment_ambience,0.010000,-2.000000,2.000000,1.000000,600.000000,1.000000,1.000000,0.010000,1.000000,random,sfx,1.000000,1.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,1.000000,none,-1.000000,default,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,placeholder\silent placeholder/empty.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unnamed_event_1,campaign_ambience,0.050000,-3.000000,3.000000,0.010000,1.000000,10.000000,1.000000,50.000000,1.000000,random,sfx,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,1.000000,campaign,-1.000000,default,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,sfx\elements\water\emp_cus_water_mediumwaves_01_v1.00_gme.wav,sfx\elements\water\emp_cus_water_lightwaves_01_v1.00_gme.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unnamed_event_2,campaign_ambience,0.320000,-2.000000,2.000000,2.500000,600.000000,1.000000,1.000000,98.000000,1.000000,random,sfx,1.000000,1.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,1.000000,none,-1.000000,default,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,sfx\elements\water\emp_hyb_water_oceanwavescalm_01v1.00_gme.wav,sfx\elements\water\emp_hyb_water_oceanwavescalm_02v1.00_gme.wav,sfx\elements\water\emp_hyb_water_oceanwavescalm_03v1.00_gme.wav,sfx\elements\water\emp_hyb_water_oceanwavescalm_04v1.00_gme.wav,sfx\elements\water\emp_hyb_water_oceanwavescalm_05v1.00_gme.wav,sfx\elements\water\emp_hyb_water_oceanwavescalm_06v1.00_gme.wav,sfx\elements\water\emp_hyb_water_oceanwavescalm_07v1.00_gme.wav,sfx\elements\water\emp_hyb_water_oceanwavescalm_08v1.00_gme.wav,sfx\elements\water\emp_hyb_water_oceanwavescalm_09v1.00_gme.wav,sfx\elements\water\emp_hyb_water_oceanwavescalm_10v1.00_gme.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unnamed_event_3,environment_ambience,0.030000,-2.000000,2.000000,1.500000,1500.000000,1.000000,1.000000,99.000000,1.000000,random,sfx,1.000000,1.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,1.000000,none,-1.000000,default,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,sfx\ambiences\emp_lib_ambience_europeansummercountryside_01_v1.00_gme.wav,sfx\ambiences\emp_lib_ambience_europeansummercountryside_02_v1.00_gme.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unnamed_event_4,environment_ambience,0.060000,-2.000000,2.000000,1.500000,1500.000000,1.000000,1.000000,99.000000,1.000000,random,sfx,1.000000,1.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,1.000000,none,-1.000000,default,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,placeholder\silent placeholder/empty.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unnamed_event_5,environment_ambience,0.060000,-2.000000,2.000000,1.500000,1500.000000,1.000000,1.000000,99.000000,1.000000,random,sfx,1.000000,1.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,1.000000,none,-1.000000,default,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,sfx\ambiences\emp_lib_ambience_europeansummercountryside_01_v1.00_gme.wav,sfx\ambiences\emp_lib_ambience_europeansummercountryside_02_v1.00_gme.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unnamed_event_6,environment_ambience,0.090000,-2.000000,2.000000,1.500000,1500.000000,1.000000,1.000000,99.000000,1.000000,random,sfx,1.000000,1.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,1.000000,none,-1.000000,default,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,sfx\ambiences\emp_lib_ambience_northafricancountryside_01_v1.00_gme.wav,sfx\ambiences\emp_lib_ambience_northafricancountryside_02_v1.00_gme.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unnamed_event_7,environment_ambience,0.220000,-2.000000,2.000000,1.500000,1500.000000,1.000000,1.000000,99.000000,1.000000,random,sfx,1.000000,1.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,1.000000,none,-1.000000,default,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,sfx\ambiences\emp_lib_ambience_middleeasterncountryside_02_v1.00_gme.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unnamed_event_8,environment_ambience,0.060000,-2.000000,2.000000,1.500000,1500.000000,1.000000,1.000000,99.000000,1.000000,random,sfx,1.000000,1.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,1.000000,none,-1.000000,default,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,sfx\ambiences\emp_lib_ambience_americancountryside_01_v1.00_gme.wav,sfx\ambiences\emp_lib_ambience_americancountryside_02_v1.00_gme.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unnamed_event_9,environment_ambience,0.090000,-2.000000,2.000000,1.500000,1500.000000,1.000000,1.000000,99.000000,1.000000,random,sfx,1.000000,1.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.800000,0.000000,0.000000,1.000000,none,-1.000000,default,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,sfx\ambiences\emp_lib_ambience_tropical_01_v1.00_gme.wav,sfx\ambiences\emp_lib_ambience_tropical_02_v1.00_gme.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
