version 1, schema famous_battle_pools_tables
battle_id(string)	unknown2(float)	unknown3(float)	unknown4(int)	uknown(string)
"1"	-19	396	12	"Battle Of Edinburgh"
"2"	1	370	13	"Battle of Sussex"
"3"	-10	280	20	"Spanish Battle"
"1001"	-115	-56	6	"Battle of Mondovi"
"1002"	-101	-59	6	"Battle of Montenotte"
"1003"	10	-1	6	"Battle of Rivoli"
"1004"	-26	-20	6	"Battle of Arcole"
"1005"	23	14	6	"Battle of Rovereto"
"1006"	53	12	6	"Battle of Bassano"
"1007"	-50	-18	6	"Battle of Lodi"
"1008"	-5	-15	6	"Battle of Castiglione"
"1009"	-33	-23	6	"Battle of Fombio"
"1010"	95	13	6	"Battle of the Tagliamento"
"2001"	83	49	8	"Battle of Mount Tabor"
"2002"	-149	-21	8	"Battle of Abukir"
"2003"	54	18	10	"Battle of Jaffa"
"2004"	68	65	10	"Battle of Acre"
"2005"	-107	-93	6	"Battle of the Pyramids"
"2006"	-93	-75	5	"Battle of Heliopolis"
"2007"	9	-27	10	"Battle of El Arish"
"2008"	-134	-24	8	"Battle of Alexandria"
"3001"	-189	19	6	"Battle of Waterloo"
"3002"	231	90	6	"Battle of Borodino"
"3003"	115	35	6	"Battle of Friedland"
"3004"	-198	15	6	"Battle of Ligny"
"3005"	-164	34	6	"Battle of Austerlitz"
"3006"	-53	-7	6	"Battle of Wagram"
"3007"	-57	36	6	"Battle of Dresden"
"3008"	-84	34	6	"Battle of Lützen"
"3009"	-75	35	6	"Battle of Leipzig"
"3010"	176	81	6	"Battle of Smolensk"
"3011"	-82	27	6	"Battle of Jena"
"3012"	-94	-46	6	"Battle of Marengo"
"3013"	-94	-52	6	"Battle of Novi"
"3014"	-315	-103	6	"Battle of Salamanca"
"3015"	24	69	6	"Battle of Eylau"
"3016"	-78	3	6	"Battle of Eckmühl"
"3017"	-88	-2	6	"Battle of Landshut"
"3018"	118	67	6	"Battle of Berezina"
"3019"	-20	-15	6	"Battle of Aspern-Essling"
"3020"	-91	0	6	"Battle of Abensberg"
"3021"	-158	-17	6	"Battle of Vauchamps"
"3022"	-105	-1	6	"Battle of Ulm"
"4001"	0	0	10	"Battle of Alba de Tormes"
"4002"	0	0	10	"Battle of Talavera"
"4003"	0	0	10	"Battle of Badajoz"
"4004"	0	0	10	"Battle of Salamanca"
"4005"	0	0	10	"Battle of Fuentes de Oñoro"
"4006"	0	0	10	"Battle of Vitoria"
"4007"	0	0	10	"Battle of Burgos"
"4008"	0	0	10	"Battle of Alcañiz"
"4009"	0	0	10	"Battle of Orthez"
