version 1, schema effect_bonus_value_population_class_junction_tables
Effect_IDRef(string)	String2(string)	Class(string)
"happy_character_lower"	"happiness_character"	"lower"
"happy_character_middle"	"happiness_character"	"middle"
"happy_character_upper"	"happiness_character"	"upper"
"happy_clamour_for_reform_all_classes"	"happiness_clamour_for_reform"	"lower"
"happy_clamour_for_reform_all_classes"	"happiness_clamour_for_reform"	"middle"
"happy_clamour_for_reform_all_classes"	"happiness_clamour_for_reform"	"upper"
"happy_clamour_for_reform_lower"	"happiness_clamour_for_reform"	"lower"
"happy_clamour_for_reform_middle"	"happiness_clamour_for_reform"	"middle"
"happy_clamour_for_reform_upper"	"happiness_clamour_for_reform"	"upper"
"happy_culture_lower"	"happiness_culture"	"lower"
"happy_culture_middle"	"happiness_culture"	"middle"
"happy_culture_upper"	"happiness_culture"	"upper"
"happy_government_lower"	"happiness_government"	"lower"
"happy_government_middle"	"happiness_government"	"middle"
"happy_government_upper"	"happiness_government"	"upper"
"happy_industrialisation_lower"	"happiness_industry"	"lower"
"happy_industrialisation_middle"	"happiness_industry"	"middle"
"happy_industrialisation_upper"	"happiness_industry"	"upper"
