version 1, schema faction_uniform_colours_tables
faction_id(string)	color_r1(int)	color_g1(int)	color_b1(int)	color_r2(int)	color_g2(int)	color_b2(int)	color_r3(int)	color_g3(int)	color_b3(int)
"austria"	255	255	255	255	0	0	255	255	255
"austrian_rebels"	255	255	255	0	85	0	255	255	255
"bavaria"	96	143	143	195	49	71	255	255	255
"belgium"	30	35	67	255	234	0	255	255	255
"britain"	191	28	22	34	31	77	255	255	255
"british_rebels"	191	28	22	255	255	255	255	255	255
"brittany"	255	255	255	54	54	54	255	255	255
"catalonia"	191	28	22	255	220	92	255	255	255
"cossack_rebels"	58	136	188	255	255	255	255	255	255
"courland"	217	47	41	71	143	206	255	255	255
"crimean_khanate"	66	183	255	247	223	34	255	255	255
"denmark"	214	38	38	54	54	54	54	55	127
"egy_bedouin"	255	255	255	170	127	58	255	255	255
"egy_britain"	191	28	22	45	44	84	255	255	255
"egy_french_republic"	29	33	100	170	0	0	255	255	255
"egy_mamelukes"	170	122	56	90	140	43	255	255	255
"egy_ottomans"	170	0	0	0	85	0	255	255	255
"france"	49	65	100	170	0	0	255	255	255
"french_rebels"	255	255	255	57	130	218	255	255	255
"greece"	49	66	122	255	255	255	49	66	122
"hannover"	191	28	22	0	85	0	255	255	255
"hessen"	44	52	88	191	28	22	255	255	255
"hungary"	170	39	35	170	0	68	255	255	255
"ireland"	16	85	18	255	243	64	255	255	255
"ita_austrian_alliance"	255	255	255	255	0	0	255	255	255
"ita_french_republic"	49	65	100	170	0	0	255	255	255
"ita_genoa"	40	106	204	217	54	54	30	101	207
"ita_lucca"	53	107	255	194	0	0	255	255	255
"ita_milan"	255	255	255	43	113	45	255	255	255
"ita_modena"	47	57	200	255	255	255	255	255	255
"ita_papal_states"	191	28	22	49	66	122	49	66	122
"ita_parma"	243	236	22	118	164	223	255	255	255
"ita_piedmont"	49	66	122	188	0	0	255	255	255
"ita_trent"	255	255	255	74	74	74	255	255	255
"ita_tuscany"	0	85	127	203	0	0	0	85	127
"ita_venice"	32	78	127	170	0	0	170	0	0
"italian_rebels"	43	90	43	170	0	0	255	255	255
"italy"	43	90	43	170	0	0	43	90	43
"italy_kingdom"	31	79	100	170	0	0	255	255	255
"mecklenburg"	24	63	147	191	28	22	255	255	255
"naples"	45	44	84	255	255	255	255	255	255
"netherlands"	255	255	255	24	63	147	255	255	255
"norway"	49	66	122	212	34	34	255	255	255
"oldenburg"	44	52	88	191	28	22	162	162	162
"ottoman_rebels"	13	85	22	170	0	0	255	255	255
"piedmont_savoy"	49	66	122	170	0	0	255	255	255
"poland_lithuania"	45	44	84	170	0	39	255	255	255
"portugal"	27	44	100	255	234	0	255	255	255
"prussia"	44	52	88	170	0	0	255	255	255
"prussian_rebels"	162	162	162	191	28	22	162	162	162
"romania"	49	66	122	255	205	3	255	255	255
"russia"	63	85	53	191	28	22	255	255	255
"saxony"	255	255	255	42	130	32	255	255	255
"scotland"	31	31	84	255	255	255	255	255	255
"sicily"	255	255	255	170	0	0	255	255	255
"spain"	255	255	255	191	28	22	255	255	255
"spanish_rebels"	44	52	88	191	28	22	255	255	255
"sweden"	43	69	129	255	237	37	255	255	255
"swiss_confederation"	197	0	0	255	234	0	255	255	255
"tut_france"	29	33	100	170	0	0	255	255	255
"united_netherlands"	26	26	66	213	145	8	173	173	173
"wurttemberg"	44	52	88	191	28	22	255	255	255
"tut_britain"	191	28	22	45	44	84	255	255	255
"tut_sardinia"	49	66	122	170	0	0	255	255	255
"tut_swiss_confederation"	186	0	0	255	226	0	255	255	255
"ottomans"	170	0	0	0	85	0	255	255	255
"spa_britain"	191	28	22	34	31	77	255	255	255
"spa_portugal"	27	44	100	255	234	0	255	255	255
"spa_spain"	44	52	88	191	28	22	255	255	255
"spa_france"	29	33	100	170	0	0	255	255	255
"sardinia"	49	66	122	170	0	0	49	66	122
"slavic_rebels"	170	0	0	255	255	255	255	255	255
"westphalia"	44	52	88	191	28	22	255	255	255
