version 1, schema gun_type_to_projectiles_tables
Gun_IDRef(string)	Projectile_IDRef(string)	Muzzle_Flash(string)
"cannon_12_pounder"	"cannon_12_pounder_cannister"	"cannon_12_pounder_muzzle_flash"
"cannon_12_pounder"	"cannon_12_pounder_shot"	"cannon_12_pounder_muzzle_flash"
"cannon_12_pounder_Austria"	"cannon_12_pounder_cannister"	"cannon_12_pounder_muzzle_flash"
"cannon_12_pounder_Austria"	"cannon_12_pounder_shot"	"cannon_12_pounder_muzzle_flash"
"cannon_12_pounder_France"	"cannon_12_pounder_cannister"	"cannon_12_pounder_muzzle_flash"
"cannon_12_pounder_France"	"cannon_12_pounder_shot"	"cannon_12_pounder_muzzle_flash"
"cannon_12_pounder_Prussia"	"cannon_12_pounder_cannister"	"cannon_12_pounder_muzzle_flash"
"cannon_12_pounder_Prussia"	"cannon_12_pounder_shot"	"cannon_12_pounder_muzzle_flash"
"cannon_12_pounder_Russia"	"cannon_12_pounder_cannister"	"cannon_12_pounder_muzzle_flash"
"cannon_12_pounder_Russia"	"cannon_12_pounder_shot"	"cannon_12_pounder_muzzle_flash"
"cannon_18_pounder"	"cannon_18_pounder_cannister"	"cannon_18_pounder_muzzle_flash"
"cannon_18_pounder"	"cannon_18_pounder_shot"	"cannon_18_pounder_muzzle_flash"
"cannon_6_pounder"	"cannon_6_pounder_cannister"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder"	"cannon_6_pounder_shot"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder_Austria"	"cannon_6_pounder_cannister"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder_Austria"	"cannon_6_pounder_shot"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder_Britain"	"cannon_6_pounder_cannister"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder_Britain"	"cannon_6_pounder_shot"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder_France"	"cannon_6_pounder_cannister"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder_France"	"cannon_6_pounder_shot"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder_Prussia"	"cannon_6_pounder_cannister"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder_Prussia"	"cannon_6_pounder_shot"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder_Russia"	"cannon_6_pounder_cannister"	"cannon_6_pounder_muzzle_flash"
"cannon_6_pounder_Russia"	"cannon_6_pounder_shot"	"cannon_6_pounder_muzzle_flash"
"cannon_8_pounder"	"cannon_8_pounder_cannister"	"cannon_9_pounder_muzzle_flash"
"cannon_8_pounder"	"cannon_8_pounder_shot"	"cannon_9_pounder_muzzle_flash"
"cannon_8_pounder_France"	"cannon_8_pounder_cannister"	"cannon_9_pounder_muzzle_flash"
"cannon_8_pounder_France"	"cannon_8_pounder_shot"	"cannon_9_pounder_muzzle_flash"
"cannon_9_pounder"	"cannon_9_pounder_cannister"	"cannon_9_pounder_muzzle_flash"
"cannon_9_pounder"	"cannon_9_pounder_shot"	"cannon_9_pounder_muzzle_flash"
"cannon_9_pounder_Britain"	"cannon_9_pounder_cannister"	"cannon_9_pounder_muzzle_flash"
"cannon_9_pounder_Britain"	"cannon_9_pounder_shot"	"cannon_9_pounder_muzzle_flash"
"fort_12_pounder"	"fort_12_pounder_shot"	"fort_12_pounder_muzzle_flash"
"fort_18_pounder"	"fort_18_pounder_shot"	"fort_18_pounder_muzzle_flash"
"fort_24_pounder"	"fort_24_pounder_shot"	"fort_24_pounder_muzzle_flash"
"fort_32_pounder"	"fort_32_pounder_shot"	"fort_32_pounder_muzzle_flash"
"howitzer_5_In"	"howitzer_5_In_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_5_In"	"howitzer_5_In_shell"	"howitzer_12_pounder_muzzle_flash"
"howitzer_5_In_Britain"	"howitzer_5_In_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_5_In_Britain"	"howitzer_5_In_shell"	"howitzer_12_pounder_muzzle_flash"
"howitzer_6_In"	"howitzer_6_In_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_6_In"	"howitzer_6_In_shell"	"howitzer_12_pounder_muzzle_flash"
"howitzer_6_In_France"	"howitzer_6_In_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_6_In_France"	"howitzer_6_In_shell"	"howitzer_12_pounder_muzzle_flash"
"howitzer_7_pounder"	"howitzer_7_pounder_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_7_pounder"	"howitzer_7_pounder_shell"	"howitzer_12_pounder_muzzle_flash"
"howitzer_7_pounder_Austria"	"howitzer_7_pounder_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_7_pounder_Austria"	"howitzer_7_pounder_shell"	"howitzer_12_pounder_muzzle_flash"
"howitzer_7_pounder_Prussia"	"howitzer_7_pounder_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_7_pounder_Prussia"	"howitzer_7_pounder_shell"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental"	"howitzer_5_In_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental"	"howitzer_experimental_carcass"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental"	"howitzer_experimental_quicklime"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_Austria"	"howitzer_5_In_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_Austria"	"howitzer_experimental_carcass"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_Austria"	"howitzer_experimental_quicklime"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_Britain"	"howitzer_5_In_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_Britain"	"howitzer_experimental_carcass"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_Britain"	"howitzer_experimental_quicklime"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_French"	"howitzer_5_In_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_French"	"howitzer_experimental_carcass"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_French"	"howitzer_experimental_quicklime"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_Prussia"	"howitzer_5_In_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_Prussia"	"howitzer_experimental_carcass"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_Prussia"	"howitzer_experimental_quicklime"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_Russia"	"howitzer_5_In_canister"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_Russia"	"howitzer_experimental_carcass"	"howitzer_12_pounder_muzzle_flash"
"howitzer_experimental_Russia"	"howitzer_experimental_quicklime"	"howitzer_12_pounder_muzzle_flash"
"naval_12_pounder"	"naval_12_pounder_chain"	"naval_12_pounder_muzzle_flash"
"naval_12_pounder"	"naval_12_pounder_grape"	"naval_12_pounder_muzzle_flash"
