version 2, schema cdir_events_dilemma_option_junctions_tables, guid 00f66b40-f5e5-49f2-a0ef-4003f35a7b79
unknown1(string)	unknown2(int)	unknown3(float)	unknown4(string)	unknown5(optstring)
"d_ambitious_traders"	1633	0	"CND_CAMPAIGN"	"jap_shogun"
"d_ambitious_traders"	1637	0	"CND_MIN_TRADE"	"1"
"d_ambitious_traders"	1638	0	"CND_MIN_TRADE_NODE_OCCUPIED"	"1"
"d_ambitious_traders"	1646	0	"VAR_CHANCE"	"5"
"d_ambitious_traders"	1652	0	"CND_FIRST_ROUND"	"8"
"d_ambitious_traders"	1653	0	"CND_ROUNDS_UNTIL_NEXT"	"48"
"d_ambitious_traders"	1654	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_ambitious_traders"	1661	0	"GEN_TARGET_NONE"	nil
"d_auxiliary_supplies"	1666	0	"CND_MIN_FACTION_NEIGHBOUR_TRADE"	"1"
"d_auxiliary_supplies"	1676	0	"CND_MIN_WAR"	"4"
"d_auxiliary_supplies"	1682	0	"VAR_CHANCE"	"5"
"d_auxiliary_supplies"	1688	0	"CND_FIRST_ROUND"	"24"
"d_auxiliary_supplies"	1693	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_auxiliary_supplies"	1696	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_auxiliary_supplies"	1699	0	"CND_MIN_TREASURY"	"2500"
"d_auxiliary_supplies"	1703	0	"CND_CAMPAIGN"	"jap_shogun"
"d_auxiliary_supplies"	1709	0	"GEN_TARGET_NONE"	nil
"d_better_agent_metsuke"	1716	0	"VAR_CHANCE"	"3"
"d_better_agent_metsuke"	1722	0	"CND_FIRST_ROUND"	"12"
"d_better_agent_metsuke"	1726	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_better_agent_metsuke"	1727	0	"CND_RELIGION"	"rel_buddhist"
"d_better_agent_metsuke"	1733	0	"CND_MAX_FAME_LEVEL"	"general_knowledge"
"d_better_agent_metsuke"	1738	0	"CND_CAMPAIGN"	"jap_shogun"
"d_better_agent_metsuke"	1741	0	"CND_HAS_AGENT"	"metsuke"
"d_better_agent_metsuke"	1751	0	"GEN_TARGET_NONE"	nil
"d_better_agent_metsuke"	1756	0	"CND_NOT_WAR_SHOGUN"	nil
"d_better_agent_missionary"	1762	0	"VAR_CHANCE"	"3"
"d_better_agent_missionary"	1771	0	"CND_FIRST_ROUND"	"12"
"d_better_agent_missionary"	1780	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_better_agent_missionary"	1788	0	"CND_RELIGION"	"rel_catholic"
"d_better_agent_missionary"	1791	0	"CND_CAMPAIGN"	"jap_shogun"
"d_better_agent_missionary"	1793	0	"CND_HAS_AGENT"	"missionary"
"d_better_agent_missionary"	1799	0	"GEN_TARGET_NONE"	nil
"d_better_agent_monk"	1809	0	"VAR_CHANCE"	"3"
"d_better_agent_monk"	1810	0	"CND_FIRST_ROUND"	"12"
"d_better_agent_monk"	1820	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_better_agent_monk"	1828	0	"CND_RELIGION"	"rel_buddhist"
"d_better_agent_monk"	1836	0	"CND_TRADE_WITH"	"ikko_ikki"
"d_better_agent_monk"	1839	0	"CND_CAMPAIGN"	"jap_shogun"
"d_better_agent_monk"	1841	0	"CND_HAS_AGENT"	"monk"
"d_better_agent_monk"	1848	0	"GEN_TARGET_NONE"	nil
"d_better_agent_ninja"	1854	0	"VAR_CHANCE"	"3"
"d_better_agent_ninja"	1861	0	"CND_FIRST_ROUND"	"12"
"d_better_agent_ninja"	1862	0	"CND_ROUNDS_UNTIL_NEXT"	"24"
"d_better_agent_ninja"	1867	0	"CND_TRADE_WITH"	"iga_ninja"
"d_better_agent_ninja"	1870	0	"CND_CAMPAIGN"	"jap_shogun"
"d_better_agent_ninja"	1880	0	"CND_HAS_AGENT"	"ninja"
"d_better_agent_ninja"	1887	0	"GEN_TARGET_NONE"	nil
"d_bountiful_harvest"	1893	0	"VAR_CHANCE"	"5"
"d_bountiful_harvest"	1895	0	"CND_FIRST_ROUND"	"8"
"d_bountiful_harvest"	1904	0	"CND_ROUNDS_UNTIL_NEXT"	"36"
"s_disloyalty_major"	1910	0	"VAR_FOLLOWUP_CHANCE"	"25"
"d_bountiful_harvest"	1919	0	"CND_SEASON"	"autumn"
"d_bountiful_harvest"	1926	0	"CND_CAMPAIGN"	"jap_shogun"
