version 4, schema historical_characters_tables, guid 19dfa33b-50a8-4e20-a4e4-cf654971c5ac
Name_IDRef(string)	Unknown1(boolean)	Genre(string)	Agent_ID(string)	Faction_ID(string)	Date_Birth(int)	Date_Death(int)	Notes(string)	unknown1(string)	unknown2(string)	unknown3(boolean)
"jap_amako_haruhisa"	false	"m"	"General"	"amako"	1540	1560	"n"	"2147273035"	"2147275169"	false
"jap_amako_hisayuki"	false	"m"	"General"	"amako"	1540	1560	"n"	"2147314471"	"2147275169"	false
"jap_amako_katsuhisa"	false	"m"	"General"	"amako"	1540	1560	"n"	"2147273306"	"2147275169"	false
"jap_amako_kiyosada"	false	"m"	"General"	"amako"	1540	1600	"n"	"2147273367"	"2147275169"	false
"jap_amako_kunihisa"	false	"m"	"General"	"amako"	1540	1560	"n"	"2147314642"	"2147275169"	false
"jap_amako_masahisa"	false	"m"	"General"	"amako"	1540	1600	"n"	"2147314481"	"2147275169"	false
"jap_amako_okihisa"	false	"m"	"General"	"amako"	1540	1560	"n"	"2147314641"	"2147275169"	false
"jap_amako_sanehisa"	false	"m"	"General"	"amako"	1540	1600	"n"	"2147314450"	"2147275169"	false
"jap_amako_takahisa"	false	"m"	"General"	"amako"	1540	1600	"n"	"2147274121"	"2147275169"	false
"jap_amako_toyohisa"	false	"m"	"General"	"amako"	1540	1600	"n"	"2147314458"	"2147275169"	false
"jap_amako_tsunehisa"	false	"m"	"General"	"amako"	1540	1560	"n"	"2147274328"	"2147275169"	false
"jap_amako_ujihisa"	false	"m"	"General"	"amako"	1540	1600	"n"	"2147274370"	"2147275169"	false
"jap_anegakoji_hidetsuna"	false	"m"	"General"	"anegakoji"	1540	1600	"n"	"2147273077"	"2147275163"	false
"jap_anegakoji_nobutsuna"	false	"m"	"General"	"anegakoji"	1540	1600	"n"	"2147273851"	"2147275163"	false
"jap_asai_akimasa"	false	"m"	"General"	"asai"	1540	1600	"n"	"2147272891"	"2147275161"	false
"jap_asai_inori"	false	"m"	"General"	"asai"	1540	1560	"n"	"2147314574"	"2147275161"	false
"jap_asai_manpukumaru"	false	"m"	"General"	"asai"	1560	1580	"n"	"2147314462"	"2147275161"	false
