version 1, schema battle_climate_weather_descriptions_tables, guid 51324ebb-5114-428c-8863-be30534bb41a
Weather(string)	Local_Climate(string)	Season(string)	Weather_IDRef(string)	unknown1(int)	unknown2(int)	unknown3(int)	unknown4(int)	unknown5(int)	unknown6(int)	unknown7(int)
"japan_alpine_dry_autumn"	"japan_alpine"	"season_autumn"	"dry"	200	0	0	0	0	0	0
"japan_alpine_fog_autumn"	"japan_alpine"	"season_autumn"	"fog"	60	0	0	0	0	0	0
"japan_alpine_rain_autumn"	"japan_alpine"	"season_autumn"	"rain"	60	0	0	0	0	0	0
"japan_alpine_dry_spring"	"japan_alpine"	"season_spring"	"dry"	250	0	0	0	0	0	0
"japan_alpine_fog_spring"	"japan_alpine"	"season_spring"	"fog"	60	0	0	0	0	0	0
"japan_alpine_rain_spring"	"japan_alpine"	"season_spring"	"rain"	90	0	0	0	0	0	0
"japan_alpine_dry_summer"	"japan_alpine"	"season_summer"	"dry"	300	0	0	0	0	0	0
"japan_alpine_fog_summer"	"japan_alpine"	"season_summer"	"fog"	50	0	0	0	0	0	0
"japan_alpine_rain_summer"	"japan_alpine"	"season_summer"	"rain"	50	0	0	0	0	0	0
"japan_alpine_dry_winter"	"japan_alpine"	"season_winter"	"dry"	100	0	0	0	0	0	0
"japan_alpine_fog_winter"	"japan_alpine"	"season_winter"	"fog"	50	0	0	0	0	0	0
"japan_alpine_snow_winter"	"japan_alpine"	"season_winter"	"snow"	100	0	0	0	0	0	0
"japan_deciduous_dry_autumn"	"japan_deciduous"	"season_autumn"	"dry"	300	0	0	0	0	0	0
"japan_deciduous_fog_autumn"	"japan_deciduous"	"season_autumn"	"fog"	40	0	0	0	0	0	0
"japan_deciduous_rain_autumn"	"japan_deciduous"	"season_autumn"	"rain"	40	0	0	0	0	0	0
"japan_deciduous_dry_spring"	"japan_deciduous"	"season_spring"	"dry"	250	0	0	0	0	0	0
"japan_deciduous_fog_spring"	"japan_deciduous"	"season_spring"	"fog"	40	0	0	0	0	0	0
"japan_deciduous_rain_spring"	"japan_deciduous"	"season_spring"	"rain"	70	0	0	0	0	0	0
"japan_deciduous_dry_summer"	"japan_deciduous"	"season_summer"	"dry"	300	0	0	0	0	0	0
"japan_deciduous_fog_summer"	"japan_deciduous"	"season_summer"	"fog"	40	0	0	0	0	0	0
"japan_deciduous_rain_summer"	"japan_deciduous"	"season_summer"	"rain"	40	0	0	0	0	0	0
"japan_deciduous_dry_winter"	"japan_deciduous"	"season_winter"	"dry"	200	0	0	0	0	0	0
"japan_deciduous_fog_winter"	"japan_deciduous"	"season_winter"	"fog"	50	0	0	0	0	0	0
"japan_deciduous_snow_winter"	"japan_deciduous"	"season_winter"	"snow"	100	0	0	0	0	0	0
"japan_default_dry_autumn"	"japan_default"	"season_autumn"	"dry"	300	0	0	0	0	0	0
"japan_default_fog_autumn"	"japan_default"	"season_autumn"	"fog"	40	0	0	0	0	0	0
"japan_default_rain_autumn"	"japan_default"	"season_autumn"	"rain"	40	0	0	0	0	0	0
"japan_default_dry_spring"	"japan_default"	"season_spring"	"dry"	250	0	0	0	0	0	0
"japan_default_fog_spring"	"japan_default"	"season_spring"	"fog"	40	0	0	0	0	0	0
"japan_default_rain_spring"	"japan_default"	"season_spring"	"rain"	70	0	0	0	0	0	0
"japan_default_dry_summer"	"japan_default"	"season_summer"	"dry"	250	0	0	0	0	0	0
"japan_default_fog_summer"	"japan_default"	"season_summer"	"fog"	50	0	0	0	0	0	0
"japan_default_rain_summer"	"japan_default"	"season_summer"	"rain"	70	0	0	0	0	0	0
"japan_default_dry_winter"	"japan_default"	"season_winter"	"dry"	250	0	0	0	0	0	0
"japan_default_fog_winter"	"japan_default"	"season_winter"	"fog"	40	0	0	0	0	0	0
"japan_default_snow_winter"	"japan_default"	"season_winter"	"snow"	100	0	0	0	0	0	0
"japan_evergreen_dry_autumn"	"japan_evergreen"	"season_autumn"	"dry"	300	0	0	0	0	0	0
"japan_evergreen_fog_autumn"	"japan_evergreen"	"season_autumn"	"fog"	50	0	0	0	0	0	0
"japan_evergreen_rain_autumn"	"japan_evergreen"	"season_autumn"	"rain"	50	0	0	0	0	0	0
"japan_evergreen_dry_spring"	"japan_evergreen"	"season_spring"	"dry"	250	0	0	0	0	0	0
"japan_evergreen_fog_spring"	"japan_evergreen"	"season_spring"	"fog"	40	0	0	0	0	0	0
"japan_evergreen_rain_spring"	"japan_evergreen"	"season_spring"	"rain"	70	0	0	0	0	0	0
"japan_evergreen_dry_summer"	"japan_evergreen"	"season_summer"	"dry"	250	0	0	0	0	0	0
"japan_evergreen_fog_summer"	"japan_evergreen"	"season_summer"	"fog"	50	0	0	0	0	0	0
"japan_evergreen_rain_summer"	"japan_evergreen"	"season_summer"	"rain"	70	0	0	0	0	0	0
"japan_evergreen_dry_winter"	"japan_evergreen"	"season_winter"	"dry"	200	0	0	0	0	0	0
"japan_evergreen_fog_winter"	"japan_evergreen"	"season_winter"	"fog"	50	0	0	0	0	0	0
"japan_evergreen_snow_winter"	"japan_evergreen"	"season_winter"	"snow"	100	0	0	0	0	0	0
"japan_lowland_dry_autumn"	"japan_lowland"	"season_autumn"	"dry"	300	0	0	0	0	0	0
"japan_lowland_fog_autumn"	"japan_lowland"	"season_autumn"	"fog"	40	0	0	0	0	0	0
"japan_lowland_rain_autumn"	"japan_lowland"	"season_autumn"	"rain"	40	0	0	0	0	0	0
"japan_lowland_dry_spring"	"japan_lowland"	"season_spring"	"dry"	250	0	0	0	0	0	0
"japan_lowland_fog_spring"	"japan_lowland"	"season_spring"	"fog"	40	0	0	0	0	0	0
"japan_lowland_rain_spring"	"japan_lowland"	"season_spring"	"rain"	70	0	0	0	0	0	0
"japan_lowland_dry_summer"	"japan_lowland"	"season_summer"	"dry"	250	0	0	0	0	0	0
"japan_lowland_fog_summer"	"japan_lowland"	"season_summer"	"fog"	50	0	0	0	0	0	0
"japan_lowland_rain_summer"	"japan_lowland"	"season_summer"	"rain"	70	0	0	0	0	0	0
"japan_lowland_dry_winter"	"japan_lowland"	"season_winter"	"dry"	250	0	0	0	0	0	0
"japan_lowland_fog_winter"	"japan_lowland"	"season_winter"	"fog"	40	0	0	0	0	0	0
"japan_lowland_snow_winter"	"japan_lowland"	"season_winter"	"snow"	60	0	0	0	0	0	0
"japan_mix_dry_autumn"	"japan_mix"	"season_autumn"	"dry"	300	0	0	0	0	0	0
"japan_mix_fog_autumn"	"japan_mix"	"season_autumn"	"fog"	40	0	0	0	0	0	0
"japan_mix_rain_autumn"	"japan_mix"	"season_autumn"	"rain"	40	0	0	0	0	0	0
"japan_mix_dry_spring"	"japan_mix"	"season_spring"	"dry"	250	0	0	0	0	0	0
"japan_mix_fog_spring"	"japan_mix"	"season_spring"	"fog"	40	0	0	0	0	0	0
"japan_mix_rain_spring"	"japan_mix"	"season_spring"	"rain"	70	0	0	0	0	0	0
"japan_mix_dry_summer"	"japan_mix"	"season_summer"	"dry"	250	0	0	0	0	0	0
"japan_mix_fog_summer"	"japan_mix"	"season_summer"	"fog"	50	0	0	0	0	0	0
"japan_mix_rain_summer"	"japan_mix"	"season_summer"	"rain"	70	0	0	0	0	0	0
"japan_mix_dry_winter"	"japan_mix"	"season_winter"	"dry"	250	0	0	0	0	0	0
"japan_mix_fog_winter"	"japan_mix"	"season_winter"	"fog"	40	0	0	0	0	0	0
"japan_mix_snow_winter"	"japan_mix"	"season_winter"	"snow"	60	0	0	0	0	0	0
