version 1, schema region_unit_resources_tables
Region_IDRef(string)	Screen_name(string)
"armed_citizenry"	"Armed Citizenry"
"balkans"	"Balkans"
"bedouin"	"Bedouin"
"camels"	"Camels"
"cossacks"	"Cossacks"
"france"	"France"
"global"	"Worldwide"
"horses"	"Horses"
"hungary"	"Hungary"
"libya"	"Libya"
"lombardy"	"Lombardy"
"milan"	"French Milan"
"modena"	"French Modena"
"norway"	"Norway"
"ottoman_elite"	"Ottoman Elite"
"palestine"	"Palestine"
"poland"	"Poland"
"scotland"	"Scotland"
"silesia"	"Silesia"
"switzerland"	"Switzerland"
"tyrol"	"Tyrol"
"england"	"England"
"guerilla_spain"	"Guerilla Spain"
"spain"	"Spain"
"portugal"	"Portugal"
"guerilla_galicia"	"Guerilla Galicia"
"guerilla_leon"	"Guerilla Leon"
"guerilla_cantabria"	"Guerilla Cantabria"
"guerilla_navarre"	"Guerilla Navarre"
"guerilla_cataluna"	"Guerilla Cataluna"
"guerilla_castilla_la_vieja"	"Guerilla Castilla la Vieja"
"guerilla_castilla_le_nueva"	"Guerilla Castilla le Nueva"
"guerilla_la_mancha"	"Guerilla La Mancha"
"guerilla_caceres"	"Guerilla Caceres"
"guerilla_badajoz"	"Guerilla Badajoz"
"guerilla_burgos"	"Guerilla Burgos"
"guerilla_salamanca"	"Guerilla Salamanca"
