version 1, schema campaign_ai_manager_behaviour_junctions_tables
Manager_IDRef(string)	Behavior(string)	Magnitude(float)
"BRITAIN"	"BUFFER_ZONE_BEHAVIOUR"	1000
"BRITAIN"	"CULL_EXCESS_FORCES"	250
"BRITAIN"	"FORT_MAINTAINENCE_BEHAVIOUR"	500
"BRITAIN"	"GLOBAL_NONCONTIGUOUS_EXPANSION_BEHAVIOUR"	1500
"BRITAIN"	"HELP_ALLY_AT_WAR"	500
"BRITAIN"	"LOCAL_NONCONTIGUOUS_EXPANSION_BEHAVIOUR"	1500
"BRITAIN"	"MILITARY_RANK_BEHAVIOUR"	500
"BRITAIN"	"MINIMUM_SAVING"	200
"BRITAIN"	"MISSIONARY_BEHAVIOUR"	500
"BRITAIN"	"NAVY_ATTACK_BEHAVIOUR"	2000
"BRITAIN"	"NAVY_DISTRIBUTION"	2500
"BRITAIN"	"NAVY_RECRUITMENT"	2500
"BRITAIN"	"NAVY_REPAIR"	900
"BRITAIN"	"NAVY_STRENGTH_MANAGER"	1750
"BRITAIN"	"PORT_BLOCKADE_BEHAVIOUR"	2000
"BRITAIN"	"RAID_BEHAVIOUR"	1000
"BRITAIN"	"RECALL_BEHAVIOUR"	500
"BRITAIN"	"RECAPTURE_BEHAVIOUR"	1000
"BRITAIN"	"REGION_COAST_DEFENCE"	500
"BRITAIN"	"REGION_DEFENCE"	2000
"BRITAIN"	"REGION_GROUP_DEFENCE"	1500
"BRITAIN"	"REGION_GROUP_EXPANSION"	3000
"BRITAIN"	"REGIONAL_DEVELOPMENT"	500
"BRITAIN"	"RESEARCH_TECHNOLOGY"	500
"BRITAIN"	"TAXATION"	500
"BRITAIN"	"TRADE_AREA_BEHAVIOUR"	3000
"BRITAIN"	"TRADE_BEHAVIOUR"	500
"BRITAIN"	"TRADE_ROUTE_DEFENCE"	750
"BRITAIN"	"TRADE_ROUTE_RAIDING_BEHAVIOUR"	750
"BRITAIN"	"WAR_AND_PEACE"	1000
