version 1, schema battle_autoresolver_balances_tables, guid 7a91a056-31d7-4442-b989-852a328060fe
unknown1(float)	unknown2(float)	unknown3(string)	unknown4(string)
1.25	1	"cavalry_lancers"	"infantry_sword"
1.25	1.5	"cavalry_missile"	"infantry_sword"
1.5	1	"cavalry_sword"	"cavalry_lancers"
1.5	1	"cavalry_sword"	"infantry_heavy"
1.5	1	"cavalry_sword"	"infantry_sword"
1	0.6	"infantry_bow"	"cavalry_lancers"
1	0.6	"infantry_bow"	"cavalry_missile"
1	0.6	"infantry_bow"	"cavalry_sword"
1	0.6	"infantry_bow"	"general"
1	0.6	"infantry_bow"	"infantry_heavy"
1	1.5	"infantry_bow"	"infantry_matchlock"
1	0.6	"infantry_bow"	"infantry_spearman"
1	0.6	"infantry_bow"	"infantry_sword"
1	0.6	"infantry_bow"	"siege"
0.9	1.5	"infantry_elite"	"cavalry_lancers"
0.9	1.5	"infantry_elite"	"cavalry_sword"
1	1.5	"infantry_elite"	"infantry_militia"
0.9	1.5	"infantry_elite"	"infantry_spearman"
0.9	1.5	"infantry_elite"	"infantry_sword"
1.5	1	"infantry_heavy"	"cavalry_lancers"
1.5	1	"infantry_heavy"	"cavalry_sword"
0.9	1.25	"infantry_light"	"cavalry_lancers"
0.9	1.25	"infantry_light"	"cavalry_sword"
1	1.25	"infantry_light"	"infantry_militia"
0.9	1.25	"infantry_light"	"infantry_spearman"
0.9	1.25	"infantry_light"	"infantry_sword"
0.9	1.4	"infantry_line"	"cavalry_lancers"
0.9	1.4	"infantry_line"	"cavalry_sword"
1	1.4	"infantry_line"	"infantry_militia"
0.9	1.4	"infantry_line"	"infantry_spearman"
0.9	1.4	"infantry_line"	"infantry_sword"
1.5	1	"infantry_spearman"	"cavalry_lancers"
1.5	1	"infantry_spearman"	"cavalry_missile"
1.5	1	"infantry_spearman"	"cavalry_sword"
1.5	1	"infantry_spearman"	"general"
1.5	1	"infantry_sword"	"infantry_spearman"
