version 2, schema building_chains_tables, guid 9fa21029-18c2-4cdd-a613-82def2141c3a
Building_Chain_ID(string)	String1(optstring)	String2(optstring)	Type(optstring)	unknown5(boolean)
"GEM_Buddhist"	nil	nil	"happiness"	true
"GEM_Buff"	nil	nil	"military"	true
"GEM_Bushi"	nil	nil	"military"	true
"GEM_Castle"	nil	nil	"government"	true
"GEM_Clan"	nil	nil	"money"	true
"GEM_Economy"	nil	nil	"money"	true
"GEM_Farming"	nil	nil	"money"	true
"GEM_Government"	nil	nil	"military"	true
"GEM_Infrastructure"	nil	nil	"money"	true
"GEM_Intellectual"	nil	nil	"happiness"	true
"GEM_Koryu"	nil	nil	"military"	true
"GEM_Port"	nil	nil	"money"	true
"GEM_Region_Specialty_Craftwork"	nil	nil	"happiness"	true
"GEM_Region_Specialty_Gold_Mining"	nil	nil	"happiness"	true
"GEM_Region_Specialty_Holy_Site"	nil	nil	"happiness"	true
"GEM_Region_Specialty_Intellectual"	nil	nil	"happiness"	true
"GEM_Region_Specialty_Iron_Mining"	nil	nil	"happiness"	true
"GEM_Region_Specialty_Naval"	nil	nil	"happiness"	true
"GEM_Region_Specialty_Ninja"	nil	nil	"happiness"	true
"GEM_Region_Specialty_Silk"	nil	nil	"happiness"	true
"GEM_Region_Specialty_Smithing"	nil	nil	"happiness"	true
"GEM_Region_Specialty_Timber"	nil	nil	"happiness"	true
"SHO_Archery"	nil	nil	"military"	true
"SHO_Buddhist"	nil	nil	"happiness"	true
"SHO_Buff"	nil	nil	"military"	true
"SHO_Castle"	nil	nil	"government"	true
"SHO_Cavalry"	nil	nil	"military"	true
"SHO_Christian"	nil	nil	"happiness"	true
"SHO_Economy"	nil	nil	"money"	true
"SHO_Farming"	nil	nil	"money"	true
"SHO_Ikko_Temple"	nil	nil	"military"	true
"SHO_Infrastructure"	nil	nil	"money"	true
"SHO_Port"	nil	nil	"money"	true
"SHO_Portuguese"	nil	nil	"money"	true
"SHO_Region_Specialty_Craftwork"	nil	nil	"happiness"	true
"SHO_Region_Specialty_Gold_Mining"	nil	nil	"happiness"	true
"SHO_Region_Specialty_Holy_Site"	nil	nil	"happiness"	true
"SHO_Region_Specialty_Horses"	nil	nil	"happiness"	true
"SHO_Region_Specialty_Intellectual_Centre"	nil	nil	"happiness"	true
"SHO_Region_Specialty_Iron_Mining"	nil	nil	"happiness"	true
"SHO_Region_Specialty_Naval"	nil	nil	"happiness"	true
"SHO_Region_Specialty_Ninja"	nil	nil	"happiness"	true
"SHO_Region_Specialty_Smithing"	nil	nil	"happiness"	true
"SHO_Region_Specialty_Stone"	nil	nil	"happiness"	true
"SHO_Region_Specialty_Timber"	nil	nil	"happiness"	true
"SHO_Siege"	nil	nil	"military"	true
"SHO_Stealth"	nil	nil	"money"	true
"SHO_Sword"	nil	nil	"military"	true
"SHO_Yari"	nil	nil	"military"	true
"bos_artillery"	nil	nil	"military"	true
"bos_buff"	nil	nil	"military"	true
"bos_castle"	nil	nil	"military"	true
"bos_criminal"	nil	nil	"happiness"	true
"bos_defences"	nil	nil	"military"	true
"bos_farming"	nil	nil	"agriculture"	true
"bos_foundation"	nil	nil	"government"	true
"bos_industry"	nil	nil	"money"	true
"bos_infrastucture"	nil	nil	"money"	true
"bos_modern"	nil	nil	"military"	true
"bos_port"	nil	nil	"money"	true
"bos_propaganda"	nil	nil	"money"	true
"bos_region_specialtea"	nil	nil	"happiness"	true
"bos_region_specialty_clay"	nil	nil	"happiness"	true
"bos_region_specialty_coal_mining"	nil	nil	"happiness"	true
"bos_region_specialty_copper_mining"	nil	nil	"happiness"	true
"bos_region_specialty_gold_mining"	nil	nil	"happiness"	true
"bos_region_specialty_holy_site"	nil	nil	"happiness"	true
"bos_region_specialty_iron_mining"	nil	nil	"happiness"	true
"bos_region_specialty_railroad"	nil	nil	"happiness"	true
"bos_region_specialty_silk"	nil	nil	"happiness"	true
"bos_region_specialty_silver_mining"	nil	nil	"happiness"	true
"bos_region_specialty_smithing"	nil	nil	"happiness"	true
"bos_region_specialty_smugglers"	nil	nil	"happiness"	true
"bos_traditional"	nil	nil	"military"	true
