version 1, schema cursors_tables
Cursor_action(string)	Icon(string)	unknown3(int)	unknown4(int)	unknown5(float)	unknown6(float)	unknown7(boolean)	unknown8(boolean)	unknown9(int)	unknown10(int)
"action"	"data/ui/cursors/attk0000"	1	25	0	0	false	false	48	48
"attack"	"data/ui/cursors/attk0000"	1	25	0	0	false	false	48	48
"attack_down"	"data/ui/cursors/attk"	10	25	0	0	false	false	48	48
"attack_oor"	"data/ui/cursors/att_OOR0000"	1	25	0	0	false	false	48	48
"attack_oor_click"	"data/ui/cursors/att_OOR"	10	25	0	0	false	false	48	48
"busy"	"data/ui/cursors/loading"	20	25	0	0	false	false	64	64
"click_down"	"data/ui/cursors/depress"	6	25	0	0	false	false	32	32
"defend_building"	"data/ui/cursors/move_build0000"	1	25	0	0	false	false	48	48
"defend_building_click"	"data/ui/cursors/move_build"	6	25	0	0	false	false	32	32
"drag_units"	"data/ui/cursors/drag_units"	1	25	0	0	false	false	48	32
"exchange"	"data/ui/cursors/exchange"	1	25	0	0	false	false	32	32
"grab"	"data/ui/cursors/grabhand"	1	25	0	0	false	false	32	32
"invalid"	"data/ui/cursors/no_action"	1	25	0	0	false	false	32	32
"melee"	"data/ui/cursors/melee0000"	1	25	0	0	false	false	32	32
"melee_down"	"data/ui/cursors/melee"	10	25	0	0	false	false	32	32
"move_click"	"data/ui/cursors/move_to"	10	25	0	0	false	false	48	48
"move_to"	"data/ui/cursors/move_to0000"	1	25	0	0	false	false	48	48
"move_to_inrange"	"data/ui/cursors/move_to_inrange0000"	1	25	0	0	false	false	48	48
"move_to_inrange_click"	"data/ui/cursors/move_to_inrange"	10	25	0	0	false	false	48	48
"move_to_outrange"	"data/ui/cursors/move_to_outrange0000"	1	25	0	0	false	false	48	48
"move_to_outrange_click"	"data/ui/cursors/move_to_outrange"	10	25	0	0	false	false	48	48
"normal"	"data/ui/cursors/depress0000"	1	25	0	0	false	false	32	32
"research"	"data/ui/cursors/research0000"	1	25	0	0	false	false	48	48
"research_click"	"data/ui/cursors/research"	11	25	0	0	false	false	48	48
"scale_wall"	"data/ui/cursors/scale_wall0000"	1	25	0	0	false	false	32	32
"scale_wall_click"	"data/ui/cursors/scale_wall"	8	25	0	0	false	false	32	32
"scaled_melee"	"data/ui/cursors/scaled_melee0000"	1	25	0	0	false	false	32	32
"select"	"data/ui/cursors/sel_depress0000"	1	25	0	0	false	false	32	32
"select_click"	"data/ui/cursors/sel_depress"	6	25	0	0	false	false	32	32
"take_cover_behind_wall"	"data/ui/cursors/take_cover0000"	1	25	0	0	false	false	32	32
"take_cover_behind_wall_click"	"data/ui/cursors/take_cover"	8	25	0	0	false	false	32	32
