version 1, schema effects_tables
Effect_ID(string)	Pip_Path(optstring)	Unknown1(int)
"agent_cap_assassin"	"data/ui/campaign ui/pips/effect_characters.tga"	114
"agent_cap_basic_hidden"	nil	0
"agent_cap_eastern_scholar"	"data/ui/campaign ui/pips/effect_characters.tga"	113
"agent_cap_gentleman"	"data/ui/campaign ui/pips/effect_characters.tga"	112
"agent_cap_missionary"	"data/ui/campaign ui/pips/effect_characters.tga"	111
"agent_cap_rake"	"data/ui/campaign ui/pips/effect_characters.tga"	110
"agent_research_slots"	"data/ui/campaign ui/pips/effect_characters.tga"	0
"agent_spawn_rate_assassin"	"data/ui/campaign ui/pips/effect_characters.tga"	0
"agent_spawn_rate_basic_hidden"	nil	0
"agent_spawn_rate_eastern_scholar"	"data/ui/campaign ui/pips/effect_characters.tga"	0
"agent_spawn_rate_gentleman"	"data/ui/campaign ui/pips/effect_characters.tga"	0
"agent_spawn_rate_missionary"	"data/ui/campaign ui/pips/effect_characters.tga"	0
"agent_spawn_rate_missionary_catholic"	nil	0
"agent_spawn_rate_missionary_hindu"	nil	0
"agent_spawn_rate_missionary_islam"	nil	0
"agent_spawn_rate_missionary_orthodox"	nil	0
"agent_spawn_rate_missionary_protestant"	nil	0
"agent_spawn_rate_mod_assassin"	"data/ui/campaign ui/pips/effect_characters.tga"	108
"agent_spawn_rate_mod_eastern_scholar"	"data/ui/campaign ui/pips/effect_characters.tga"	107
"agent_spawn_rate_mod_gentleman"	"data/ui/campaign ui/pips/effect_characters.tga"	106
"agent_spawn_rate_mod_missionary"	"data/ui/campaign ui/pips/effect_characters.tga"	100
"agent_spawn_rate_mod_rake"	"data/ui/campaign ui/pips/effect_characters.tga"	105
"agent_spawn_rate_rake"	"data/ui/campaign ui/pips/effect_characters.tga"	0
"ancillary_test"	"data/ui/campaign ui/pips/effect_characters.tga"	0
"building_cost_mod_all"	nil	0
"building_cost_mod_farms"	"data/ui/campaign ui/pips/effect_building.tga"	205
"building_cost_mod_happiness"	"data/ui/campaign ui/pips/effect_building.tga"	204
"building_cost_mod_industry"	"data/ui/campaign ui/pips/effect_building.tga"	203
"building_cost_mod_industry_metal"	"data/ui/campaign ui/pips/effect_building.tga"	202
"building_cost_mod_mines"	"data/ui/campaign ui/pips/effect_building.tga"	201
"building_cost_mod_plantations"	"data/ui/campaign ui/pips/effect_building.tga"	200
"campaign_map_stealth"	nil	1
"character_death_chance_turn_end"	nil	1
"charge_bonus_for_bayonet_units"	"data/ui/campaign ui/pips/effect_army.tga"	1
"Command_Land_Ambushes"	"data/ui/campaign ui/pips/skill_command.tga"	3012
"Command_Land_Artillery_Troops"	"data/ui/campaign ui/pips/skill_command.tga"	311
"Command_Land_Attack"	"data/ui/campaign ui/pips/skill_command.tga"	310
"Command_Land_Cavalry_Troops"	"data/ui/campaign ui/pips/skill_command.tga"	309
"Command_Land_Command_Amphibious_Attack"	"data/ui/campaign ui/pips/skill_command.tga"	308
"Command_Land_Defence"	"data/ui/campaign ui/pips/skill_command.tga"	307
"Command_Land_In_Americas"	"data/ui/campaign ui/pips/skill_command.tga"	306
"Command_Land_In_Europe"	"data/ui/campaign ui/pips/skill_command.tga"	308
"Command_Land_In_India"	"data/ui/campaign ui/pips/skill_command.tga"	305
"Command_Land_Infantry_Troops"	"data/ui/campaign ui/pips/skill_command.tga"	304
"Command_Land_Siege_Attack"	"data/ui/campaign ui/pips/skill_command.tga"	303
"Command_Land_Siege_Defence"	"data/ui/campaign ui/pips/skill_command.tga"	302
"Command_Sea_Attack"	"data/ui/campaign ui/pips/skill_naval.tga"	301
"Command_Sea_Defence"	"data/ui/campaign ui/pips/skill_naval.tga"	300
"Command_Sea_Frigates"	"data/ui/campaign ui/pips/effect_navy.tga"	1
"Command_Sea_Line_ships"	"data/ui/campaign ui/pips/effect_navy.tga"	1
"commodity_prod_coffee"	"data/ui/campaign ui/pips/effect_economy.tga"	407
"commodity_prod_cotton"	"data/ui/campaign ui/pips/effect_economy.tga"	406
"commodity_prod_furs"	"data/ui/campaign ui/pips/effect_economy.tga"	405
"commodity_prod_spices"	"data/ui/campaign ui/pips/effect_economy.tga"	404
"commodity_prod_sugar"	"data/ui/campaign ui/pips/effect_economy.tga"	403
"commodity_prod_tea"	"data/ui/campaign ui/pips/effect_economy.tga"	402
"commodity_prod_tobacco"	"data/ui/campaign ui/pips/effect_economy.tga"	401
"conversion_animist"	"data/ui/campaign ui/pips/animism.tga"	609
"conversion_buddhist"	"data/ui/campaign ui/pips/buddhist.tga"	608
"conversion_catholic"	"data/ui/campaign ui/pips/roman_catholic.tga"	607
"conversion_hindu"	"data/ui/campaign ui/pips/hindu.tga"	606
"conversion_islamic"	"data/ui/campaign ui/pips/islamic.tga"	605
"conversion_nonconformist"	"data/ui/campaign ui/pips/nonconformism.tga"	604
"conversion_orthodox"	"data/ui/campaign ui/pips/orthodox.tga"	603
"conversion_protestant"	"data/ui/campaign ui/pips/protestant.tga"	602
"conversion_sikh"	"data/ui/campaign ui/pips/sikh.tga"	601
"diplomacy_bonus_faction_leader"	"data/ui/campaign ui/pips/international-relations-happy.tga"	2
"disband_cashback"	"data/ui/campaign ui/pips/effect_economy.tga"	0
"education_happy_mod"	"data/ui/campaign ui/pips/effect_public_order.tga"	1
"enable_airguns"	"data/ui/campaign ui/pips/effect_tech.tga"	0
"enable_cadenced_marching"	"data/ui/campaign ui/pips/effect_tech.tga"	722
"enable_canister_shot"	"data/ui/campaign ui/pips/effect_tech.tga"	721
"enable_carbines"	"data/ui/campaign ui/pips/effect_tech.tga"	720
"enable_carcass_shot"	"data/ui/campaign ui/pips/effect_tech.tga"	719
"enable_carronades"	"data/ui/campaign ui/pips/effect_tech.tga"	718
"enable_copper_bottoms"	"data/ui/campaign ui/pips/effect_tech.tga"	0
"enable_diamond_formation"	"data/ui/campaign ui/pips/effect_tech.tga"	717
"enable_european_doctrine"	"data/ui/campaign ui/pips/effect_tech.tga"	0
