version 2, schema cdir_events_mission_option_junctions_tables, guid bba5e18d-01dd-4f28-8e39-4104bfa0b028
unknown1(int)	unknown2(float)	unknown3(string)	unknown4(string)	unknown5(optstring)
10000	0	"m_home_guard"	"CND_MIN_REGIONS_OWNED"	"5"
10006	0	"m_home_guard"	"CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT"	"16"
10013	0	"m_home_guard"	"CND_ROUNDS_UNTIL_NEXT"	"24"
10020	0	"m_home_guard"	"GEN_TARGET_REGION"	nil
10022	0	"m_home_guard"	"GEN_CND_OWNS"	nil
10027	0	"m_home_guard"	"GEN_CND_HOME_REGION"	nil
10031	0	"m_home_guard"	"GEN_CND_MAX_SETTLEMENT_UNITS"	"4"
10039	0	"m_strengthen_borders"	"VAR_CHANCE"	"5"
10044	0	"m_strengthen_borders"	"VAR_MISSION_LENGTH_MIN"	"2"
10052	0	"m_strengthen_borders"	"VAR_MISSION_LENGTH_MAX"	"6"
10054	0	"m_strengthen_borders"	"VAR_MISSION_LENGTH_ADDITIONAL_MIN"	"0"
10055	0	"m_strengthen_borders"	"VAR_MISSION_LENGTH_ADDITIONAL_MAX"	"4"
10059	0	"m_strengthen_borders"	"VAR_MISSION_LENGTH_MOD_EASY"	"1.5"
10063	0	"m_strengthen_borders"	"VAR_MISSION_LENGTH_MOD_NORMAL"	"1.2"
10071	0	"m_strengthen_borders"	"VAR_MISSION_LENGTH_MOD_HARD"	"1.0"
10075	0	"m_strengthen_borders"	"VAR_MISSION_LENGTH_MOD_VERY_HARD"	"0.9"
10078	0	"m_strengthen_borders"	"CND_CAMPAIGN"	"jap_shogun"
10084	0	"m_strengthen_borders"	"CND_MIN_FACTION_NEIGHBOUR_WAR"	"1"
10092	0	"m_strengthen_borders"	"CND_MIN_REGIONS_OWNED"	"5"
10096	0	"m_strengthen_borders"	"CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT"	"16"
10106	0	"m_strengthen_borders"	"CND_ROUNDS_UNTIL_NEXT"	"24"
10115	0	"m_strengthen_borders"	"GEN_TARGET_REGION"	nil
10125	0	"m_strengthen_borders"	"GEN_CND_OWNS"	nil
10133	0	"m_strengthen_borders"	"GEN_CND_REGION_ENEMY_NEIGHBOURS"	nil
10140	0	"m_strengthen_borders"	"GEN_CND_MAX_SETTLEMENT_UNITS"	"4"
10141	0	"m_turned_against_them"	"CND_FIRST_ROUND"	"20"
