version 1, schema names_tables, guid 7d0cdbfd-a2c0-4027-9913-2e00d2f8dacc
Name_ID(string)	Unknown1(string)	Type(string)	Unknown2(string)	Unknown3(int)	Unknown4(boolean)	Unknown5(string)
"names_boshin"	"Abe"	"surname"	"b"	1	false	"2147320345"
"names_boshin"	"Akagawa"	"surname"	"b"	1	false	"2147320349"
"names_boshin"	"Akimasa"	"forename"	"m"	1	false	"2147321671"
"names_boshin"	"Akira"	"forename"	"m"	1	false	"2147330443"
"names_boshin"	"Amako"	"surname"	"b"	1	false	"2147320355"
"names_boshin"	"Amano"	"surname"	"b"	1	false	"2147320359"
"names_boshin"	"Anegakoji"	"surname"	"b"	1	false	"2147320368"
"names_boshin"	"Aoyama"	"surname"	"b"	1	false	"2147320373"
"names_boshin"	"Asai"	"surname"	"b"	1	false	"2147320383"
"names_boshin"	"Asano"	"surname"	"b"	1	false	"2147320388"
"names_boshin"	"Asayama"	"surname"	"b"	1	false	"2147320395"
"names_boshin"	"Ashikaga"	"surname"	"b"	1	false	"2147320399"
"names_boshin"	"Ashina"	"surname"	"b"	1	false	"2147320403"
"names_boshin"	"Bessho"	"surname"	"b"	1	false	"2147320409"
"names_boshin"	"Chiba"	"surname"	"b"	1	false	"2147320417"
"names_boshin"	"Chikamune"	"forename"	"m"	1	false	"2147321672"
"names_boshin"	"Date"	"surname"	"b"	1	false	"2147320426"
"names_boshin"	"Dewa"	"surname"	"b"	1	false	"2147330945"
"names_boshin"	"Doi"	"surname"	"b"	1	false	"2147320434"
"names_boshin"	"Endo"	"surname"	"b"	1	false	"2147320439"
"names_boshin"	"Fujita"	"surname"	"b"	1	false	"2147320446"
"names_boshin"	"Godai"	"surname"	"b"	1	false	"2147320453"
"names_boshin"	"Goto"	"surname"	"b"	1	false	"2147320461"
"names_boshin"	"Hachisuka"	"surname"	"b"	1	false	"2147320467"
"names_boshin"	"Hajikano"	"surname"	"b"	1	false	"2147320468"
"names_boshin"	"Hara"	"surname"	"b"	1	false	"2147320470"
"names_boshin"	"Harada"	"surname"	"b"	1	false	"2147320480"
"names_boshin"	"Haruhiro"	"forename"	"m"	1	false	"2147321677"
"names_boshin"	"Harumasa"	"forename"	"m"	1	false	"2147321221"
"names_boshin"	"Harunori"	"forename"	"m"	1	false	"2147321222"
"names_boshin"	"Harushige"	"forename"	"m"	1	false	"2147321225"
"names_boshin"	"Harutoshi"	"forename"	"m"	1	false	"2147321235"
"names_boshin"	"Hasekura"	"surname"	"b"	1	false	"2147320481"
"names_boshin"	"Hatakeyama"	"surname"	"b"	1	false	"2147320490"
"names_boshin"	"Hatano"	"surname"	"b"	1	false	"2147320493"
"names_boshin"	"Hatsuko"	"forename"	"f"	1	false	"2147322162"
"names_boshin"	"Hayashi"	"surname"	"b"	0	false	"2147320499"
"names_boshin"	"Hiraga"	"surname"	"b"	1	false	"2147320505"
"names_boshin"	"Hiroshi"	"forename"	"m"	1	false	"2147330928"
"names_boshin"	"Hisamatsu"	"surname"	"b"	1	false	"2147320506"
"names_boshin"	"Hisamitsu"	"forename"	"m"	1	false	"2147330447"
"names_boshin"	"Hisatake"	"surname"	"b"	1	false	"2147320516"
"names_boshin"	"Hisijima"	"surname"	"b"	1	false	"2147320519"
"names_boshin"	"Hojo"	"surname"	"b"	1	false	"2147320520"
"names_boshin"	"Honda"	"surname"	"b"	1	false	"2147320527"
"names_boshin"	"Honjo"	"surname"	"b"	1	false	"2147320531"
"names_boshin"	"Honma"	"surname"	"b"	1	false	"2147320533"
"names_boshin"	"Hosokawa"	"surname"	"b"	1	false	"2147320534"
"names_boshin"	"Ichijo"	"surname"	"b"	1	false	"2147320539"
"names_boshin"	"Ichikawa"	"surname"	"b"	1	false	"2147320543"
"names_boshin"	"Ii"	"surname"	"b"	1	false	"2147320552"
"names_boshin"	"Ijuin"	"surname"	"b"	1	false	"2147320561"
"names_boshin"	"Ikeda"	"surname"	"b"	1	false	"2147320563"
"names_boshin"	"Imagawa"	"surname"	"b"	1	false	"2147320569"
"names_boshin"	"Inaba"	"surname"	"b"	1	false	"2147320576"
"names_boshin"	"Inada"	"surname"	"b"	1	false	"2147330936"
"names_boshin"	"Inomata"	"surname"	"b"	1	false	"2147320577"
"names_boshin"	"Inoue"	"surname"	"b"	1	false	"2147320580"
"names_boshin"	"Ishin"	"surname"	"b"	1	false	"2147320586"
"names_boshin"	"Itakura"	"surname"	"b"	1	false	"2147320596"
"names_boshin"	"Ito"	"surname"	"b"	1	false	"2147320603"
"names_boshin"	"Jinbo"	"surname"	"b"	1	false	"2147320611"
"names_boshin"	"Kagekatsu"	"forename"	"m"	1	false	"2147321245"
"names_boshin"	"Kaisen"	"surname"	"b"	1	false	"2147320612"
"names_boshin"	"Kajiwara"	"surname"	"b"	1	false	"2147320620"
"names_boshin"	"Kamei"	"surname"	"b"	1	false	"2147320627"
"names_boshin"	"Kanamori"	"surname"	"b"	1	false	"2147320634"
"names_boshin"	"Kataharu"	"forename"	"m"	1	false	"2147330457"
"names_boshin"	"Katahiro"	"forename"	"m"	1	false	"2147321250"
"names_boshin"	"Katakura"	"surname"	"b"	1	false	"2147320638"
"names_boshin"	"Katamori"	"forename"	"m"	1	false	"2147330460"
"names_boshin"	"Katanobu"	"forename"	"m"	1	false	"2147321260"
"names_boshin"	"Kataoki"	"forename"	"m"	1	false	"2147321266"
"names_boshin"	"Katasada"	"forename"	"m"	1	false	"2147321274"
"names_boshin"	"Katataka"	"forename"	"m"	1	false	"2147321282"
"names_boshin"	"Kato"	"surname"	"b"	1	false	"2147320647"
"names_boshin"	"Kawai"	"forename"	"m"	1	false	"2147330464"
"names_boshin"	"Kennyo"	"surname"	"b"	1	false	"2147320650"
"names_boshin"	"Kikkawa"	"surname"	"b"	1	false	"2147320655"
"names_boshin"	"Kikuchi"	"surname"	"b"	1	false	"2147320663"
"names_boshin"	"Kimotsuki"	"surname"	"b"	1	false	"2147320671"
"names_boshin"	"Kishu"	"surname"	"b"	1	false	"2147320676"
"names_boshin"	"Kiso"	"surname"	"b"	1	false	"2147320678"
"names_boshin"	"Kitabatake"	"surname"	"b"	1	false	"2147320681"
"names_boshin"	"Kitajo"	"surname"	"b"	1	false	"2147320684"
"names_boshin"	"Kodama"	"surname"	"b"	1	false	"2147320690"
"names_boshin"	"Kojima"	"surname"	"b"	1	false	"2147320692"
"names_boshin"	"Kokushi"	"surname"	"b"	1	false	"2147320695"
"names_boshin"	"Komai"	"surname"	"b"	1	false	"2147320705"
"names_boshin"	"Kono"	"surname"	"b"	1	false	"2147320708"
"names_boshin"	"Korechika"	"forename"	"m"	1	false	"2147321681"
"names_boshin"	"Korekata"	"forename"	"m"	1	false	"2147321687"
"names_boshin"	"Koremasa"	"forename"	"m"	1	false	"2147321688"
"names_boshin"	"Koremi"	"forename"	"m"	1	false	"2147321285"
"names_boshin"	"Koremitsu"	"forename"	"m"	1	false	"2147321290"
"names_boshin"	"Korenao"	"forename"	"m"	1	false	"2147321698"
"names_boshin"	"Korenobu"	"forename"	"m"	1	false	"2147321705"
"names_boshin"	"Koretane"	"forename"	"m"	1	false	"2147321292"
"names_boshin"	"Koshiro"	"forename"	"m"	1	false	"2147330483"
"names_boshin"	"Kosokabe"	"surname"	"b"	1	false	"2147320711"
"names_boshin"	"Kuki"	"surname"	"b"	1	false	"2147320712"
"names_boshin"	"Kumagai"	"surname"	"b"	1	false	"2147320716"
"names_boshin"	"Kumu"	"surname"	"b"	1	false	"2147320720"
"names_boshin"	"Kuroda"	"surname"	"b"	1	false	"2147320727"
"names_boshin"	"Kyogoku"	"surname"	"b"	1	false	"2147320736"
"names_boshin"	"Maeda"	"surname"	"b"	1	false	"2147320743"
"names_boshin"	"Makino"	"surname"	"b"	0	false	"2147320751"
"names_boshin"	"Masakata"	"forename"	"m"	1	false	"2147321713"
"names_boshin"	"Masakuni"	"forename"	"m"	1	false	"2147330490"
"names_boshin"	"Masamune"	"forename"	"m"	1	false	"2147321722"
"names_boshin"	"Masanori"	"forename"	"m"	1	false	"2147321723"
"names_boshin"	"Masatake"	"forename"	"m"	1	false	"2147330499"
"names_boshin"	"Masatsune"	"forename"	"m"	1	false	"2147321728"
"names_boshin"	"Masayuki"	"forename"	"m"	1	false	"2147321733"
"names_boshin"	"Matsuda"	"surname"	"b"	1	false	"2147320752"
"names_boshin"	"Matsudaira"	"surname"	"b"	0	false	"2147320757"
"names_boshin"	"Matsui"	"surname"	"b"	1	false	"2147320759"
"names_boshin"	"Matsumae"	"surname"	"b"	1	false	"2147320763"
"names_boshin"	"Matsunaga"	"surname"	"b"	1	false	"2147320768"
"names_boshin"	"Matsuoka"	"surname"	"b"	1	false	"2147320773"
"names_boshin"	"Matsuura"	"surname"	"b"	1	false	"2147320782"
"names_boshin"	"Michihiro"	"forename"	"m"	1	false	"2147321734"
"names_boshin"	"Mitsuchika"	"forename"	"m"	1	false	"2147321737"
"names_boshin"	"Mitsuhisa"	"forename"	"m"	1	false	"2147330502"
"names_boshin"	"Mitsumasa"	"forename"	"m"	1	false	"2147321746"
"names_boshin"	"Mitsunao"	"forename"	"m"	1	false	"2147321749"
"names_boshin"	"Mitsuo"	"forename"	"m"	1	false	"2147321299"
"names_boshin"	"Mitsushige"	"forename"	"m"	1	false	"2147321758"
"names_boshin"	"Mitsutsune"	"forename"	"m"	1	false	"2147330509"
"names_boshin"	"Mitsutsura"	"forename"	"m"	1	false	"2147321307"
"names_boshin"	"Mitsuyasu"	"forename"	"m"	1	false	"2147321759"
"names_boshin"	"Mitsuyoshi"	"forename"	"m"	1	false	"2147321762"
"names_boshin"	"Mitsuyuki"	"forename"	"m"	1	false	"2147321763"
