version 1, schema warscape_animated_lod_tables
Random_Index(string)	Path(string)	Meters_to_x0020_Lod_transition(float)	Filename_x0020_WA_ID(string)
"-2145129307"	"unitmodels\\plains_braves_lod4.variant_weighted_mesh"	0	"plains_braves"
"-2140812125"	"RigidModels\\Buildings\\south_euro_hut02\\south_euro_hut02_piece01_destruct01_anim.rigid_model_animation"	0	"south_euro_hut02_piece01_destruct01"
"-2140256612"	"RigidModels\\Buildings\\fort_jamestown\\fort_jamestown_piece01_destruct01_anim.rigid_model_animation"	0	"fort_jamestown_piece01_destruct01"
"-2138204325"	"unitmodels\\Plains_Cheyenne_Dog_Soldiers_Lod1.variant_weighted_mesh"	10	"plains_cheyenne_dog_soldiers"
"-2136725218"	"UnitModels\\cossack_hetman_Lod2.variant_weighted_mesh"	10	"cossack_hetman"
"-2136377357"	"RigidModels\\Buildings\\prop_town_ottoman_stall02\\prop_town_ottoman_stall02_piece01_destruct01_anim.rigid_model_animation"	0	"prop_town_ottoman_stall02_piece01_destruct01"
"-2133025162"	"RigidModels\\Buildings\\prop_field_fire_pit\\prop_field_fire_pit_piece01_destruct01_anim.rigid_model_animation"	0	"prop_field_fire_pit_piece01_destruct01"
"-2132057856"	"UnitModels/Campaign_Native_American_Spy_Lod1.variant_weighted_mesh"	40	"Campaign_Native_American_Spy"
"-2132040776"	"EngineModels/Mortar_mortar_4inch_LOD3.animatable_rigid_model"	30	"Mortar_mortar_4inch"
"-2128874315"	"unitmodels\\Iroquois_onondaga_fire_keepers_lod4.variant_weighted_mesh"	0	"iroquois_onondaga_fire_keepers"
"-2127423945"	"unitmodels/East_indian_general_lod1.variant_weighted_mesh"	5	"east_indian_general"
"-2122701831"	"Unitmodels/african_tribal_lod3.variant_weighted_mesh"	15	"african_tribal"
"-2120125635"	"unitmodels\\Iroquois_Mohawk_Elite_Warriors_lod4.variant_weighted_mesh"	0	"iroquois_mohawk_elite_warriors"
"-2116435707"	"unitmodels\\cherokee_braves_lod4.variant_weighted_mesh"	0	"cherokee_braves"
"-2114951394"	"UnitModels\\Prussia_Garde_du_Corp_lod1.variant_weighted_mesh"	5	"prussia_garde_du_corp"
"-2114864345"	"RigidModels/CampaignBuildings/Buildings/OTT/Ott_resource_farm_lvl3_sheep.rigid_model_animation"	0	"Ott_resource_farm_lvl3_sheep"
"-2113376351"	"Unitmodels/euro_rangers_frontiersmen_lod4.variant_weighted_mesh"	0	"euro_rangers_frontiersmen"
"-2113136522"	"unitmodels\\cherokee_braves_lod1.variant_weighted_mesh"	5	"cherokee_braves"
"-2112262182"	"RigidModels\\Buildings\\north_euro_hut02\\north_euro_hut02_piece01_destruct01_anim.rigid_model_animation"	0	"north_euro_hut02_piece01_destruct01"
"-2100872435"	"RigidModels\\Buildings\\native_house03b\\native_house03b_piece01_destruct01_anim.rigid_model_animation"	0	"native_house03b_piece01_destruct01"
"-2099048291"	"RigidModels\\Buildings\\native_house05\\native_house05_piece01_destruct01_anim.rigid_model_animation"	0	"native_house05_piece01_destruct01"
"-2090446377"	"RigidModels\\Buildings\\indian_fort_barracks\\indian_fort_barracks_piece01_destruct01_anim.rigid_model_animation"	0	"indian_fort_barracks_piece01_destruct01"
"-2089749042"	"unitmodels/horse/horse_F_eastern_lod1.variant_weighted_mesh"	10	"horse_F_eastern"
"-2087120593"	"EngineModels/Mortar_mortar_8inch_LOD2.animatable_rigid_model"	20	"Mortar_mortar_8inch"
"-2085171254"	"unitmodels/Euro_officer2_lod3.variant_weighted_mesh"	15	"euro_officer2"
"-2075659518"	"UnitModels\\riskers_of_souls_lod2.variant_weighted_mesh"	10	"riskers_of_souls"
"-2074956076"	"UnitModels\\Prussia_Leib_Grenadiers_Lod3.variant_weighted_mesh"	15	"prussia_leib_grenadiers"
"-2074905479"	"Unitmodels/deaths_head_hussar_lod3.variant_weighted_mesh"	15	"deaths_head_hussar"
"-2070767917"	"unitmodels/Hessian_Grenadier_Lod1.variant_weighted_mesh"	5	"eua_hessian_grenadiers"
"-2070655367"	"RigidModels\\Buildings\\prop_town_plant_pot02\\prop_town_plant_pot02_piece01_destruct01_anim.rigid_model_animation"	0	"prop_town_plant_pot02_piece01_destruct01"
"-2069982734"	"RigidModels/CampaignBuildings/Buildings/eu/eu_resource_mining_gold_lvl3_blend.rigid_model_animation"	0	"eu_resource_mining_gold_lvl3_blend"
"-2069731012"	"EngineModels\\Ottoman_howitzer_24lb_LOD3.animatable_rigid_model"	30	"Ott_howitzer_24lb"
"-2063036592"	"EngineModels/Puckle_gun_barrel_LOD1.animatable_rigid_model"	10	"puckle_barrel"
"-2062027648"	"unitmodels/Prussia_Freikorps_Lod1.variant_weighted_mesh"	5	"prussia_freikorps"
"-2060302025"	"unitmodels/horse/horse_F_eastern_lod2.variant_weighted_mesh"	20	"horse_F_eastern"
"-2056842169"	"UnitModels\\Prussia_Garde_du_Corp_lod2.variant_weighted_mesh"	10	"prussia_garde_du_corp"
"-2054570851"	"RigidModels\\Buildings\\east_euro_farmhouse\\east_euro_farmhouse_piece01_destruct01_anim.rigid_model_animation"	0	"east_euro_farmhouse_piece01_destruct01"
