version 1, schema battle_type_unit_to_faction_presets_tables
unknown1(string)	unknown2(int)	Unit_IDRef(string)	unknown3(int)
"1755"	448	"ottoman_generals_bodyguard"	1
"1756"	448	"4_inch_mortar_persian"	0
"1757"	448	"12_lber_land_cannon_persian"	1
"1758"	448	"east_missile_cavalry_gholam"	1
"1759"	448	"east_missile_cavalry_gholam"	1
"1760"	448	"east_light_cavalry_qizilbashi"	0
"1761"	448	"east_lancers"	1
"1762"	448	"east_lancers"	1
"1763"	448	"east_ethnic_hillmen_musketeers_afghan"	1
"1764"	448	"east_ethnic_hillmen_musketeers_afghan"	1
"1765"	448	"east_ethnic_musketmen_tofangchi"	0
"1766"	448	"east_ethnic_musketmen_tofangchi"	0
"1767"	448	"east_ethnic_swordsmen_kurdish"	0
"1768"	448	"east_ethnic_swordsmen_kurdish"	0
"1769"	449	"ottoman_generals_bodyguard"	1
"1770"	449	"4_inch_mortar_persian"	0
"1771"	449	"12_lber_land_cannon_persian"	0
"1772"	449	"12_lber_land_cannon_persian"	0
"1773"	449	"east_missile_cavalry_gholam"	1
"1774"	449	"east_missile_cavalry_gholam"	1
"1775"	449	"east_light_cavalry_qizilbashi"	0
"1776"	449	"east_light_cavalry_qizilbashi"	0
"1777"	449	"east_lancers"	0
"1778"	449	"east_lancers"	0
"1779"	449	"east_ethnic_hillmen_musketeers_afghan"	1
"1780"	449	"east_ethnic_hillmen_musketeers_afghan"	1
"1781"	449	"east_ethnic_musketmen_tofangchi"	0
"1782"	449	"east_ethnic_musketmen_tofangchi"	0
"1783"	449	"east_ethnic_musketmen_tofangchi"	0
"1784"	449	"east_ethnic_musketmen_tofangchi"	0
"1785"	449	"east_ethnic_swordsmen_kurdish"	0
"1786"	449	"east_ethnic_swordsmen_kurdish"	0
"1787"	449	"east_ethnic_warriors_dervishes"	1
"1788"	449	"east_ethnic_warriors_dervishes"	1
"1789"	450	"ottoman_generals_bodyguard"	1
"1790"	450	"8_inch_mortar_persian"	0
"1791"	450	"24_lber_land_cannon_persian"	0
"1792"	450	"east_heavy_cavalry_savar"	0
"1793"	450	"east_heavy_cavalry_savar"	0
"1794"	450	"east_light_cavalry_qizilbashi"	0
"1795"	450	"east_light_cavalry_qizilbashi"	0
"1796"	450	"east_camel_gunners_zamburaks"	0
"1797"	450	"east_ethnic_hillmen_musketeers_jezail"	1
"1798"	450	"east_ethnic_hillmen_musketeers_jezail"	1
"1799"	450	"east_ethnic_musketmen_mughal_musketeers"	0
"1800"	450	"east_ethnic_musketmen_mughal_musketeers"	0
"1801"	450	"east_ethnic_musketmen_jazayerchi"	0
"1802"	450	"east_ethnic_musketmen_jazayerchi"	0
"1803"	451	"ottoman_generals_bodyguard"	0
"1804"	451	"8_inch_mortar_persian"	1
"1805"	451	"24_lber_land_cannon_persian"	0
"1806"	451	"24_lber_land_cannon_persian"	0
"1807"	451	"east_heavy_cavalry_savar"	0
"1808"	451	"east_heavy_cavalry_savar"	0
"1809"	451	"east_light_cavalry_qizilbashi"	0
"1810"	451	"east_light_cavalry_qizilbashi"	0
"1811"	451	"east_guard_cavalry_qurchi"	0
