version 1, schema building_factionwide_effects_junctions_tables
Building_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"pTrade2_commercial_port"	"tw_growth_industry_global"	1
"pTrade3_trading_company"	"tw_growth_industry_global"	2
"rGold2_steam-pumped_gold_mine"	"tw_growth_industry_global"	1
"rGold3_industrial_gold_mining_complex"	"tw_growth_industry_global"	2
"rHorse3_equestrian_estate"	"recruitment_cost_mod_category_cavalry_global"	-1
"rIron3_industrial_iron_mining_complex"	"recruitment_cost_mod_land_all_global"	-1
"rTimber3_steam_powered_sawmill"	"building_cost_mod_all_global"	-2
"rTimber3_steam_powered_sawmill"	"recruitment_cost_mod_naval_all_global"	-1
"rWine3_wine_estates"	"tw_growth_industry_global"	1
"sAdmin5_court_supreme"	"admin_cost_mod"	-2
"sAdmin5_court_supreme"	"global_home_region_only"	1
"sAdmin5_court_supreme"	"repression_building_global"	2
"sArmy4_military_academy"	"agent_admiral_refil_rate_1"	1
"sArmy4_military_academy"	"agent_cap_admiral"	1
"sArmy4_military_academy"	"agent_cap_general"	1
"sArmy4_military_academy"	"agent_general_refil_rate_1"	1
"sArmy5_staff_college"	"agent_admiral_refil_rate_2"	1
"sArmy5_staff_college"	"agent_cap_admiral"	2
"sArmy5_staff_college"	"agent_cap_general"	2
"sArmy5_staff_college"	"agent_general_refil_rate_2"	1
"sArmy5_staff_college"	"global_home_region_only"	1
"sArmy5_staff_college"	"recruitment_cost_mod_category_infantry_global"	-4
"sCannon5_engineer_school"	"global_home_region_only"	1
"sArmySpain4_military_academy"	"agent_admiral_refil_rate_1"	1
"sCannon5_engineer_school"	"recruitment_cost_mod_category_artillery_global"	-4
"sCulture5_austria_theatrewien"	"global_home_region_only"	1
"sCulture5_austria_theatrewien"	"happy_culture_all_global"	2
"sCulture5_britain_nationalgallery"	"global_home_region_only"	1
"sCulture5_britain_nationalgallery"	"happy_culture_all_global"	2
"sCulture5_france_museenapoleon"	"global_home_region_only"	1
"sCulture5_france_museenapoleon"	"happy_culture_all_global"	2
"sCulture5_prussia_humboldt"	"global_home_region_only"	1
"sCulture5_prussia_humboldt"	"happy_culture_all_global"	2
"sCulture5_russia_kremlinarmoury"	"global_home_region_only"	1
"sCulture5_russia_kremlinarmoury"	"happy_culture_all_global"	2
"sPrest_austria_heldenplatz"	"global_home_region_only"	1
"sPrest_austria_heldenplatz"	"tax_bonus_building_global"	3
"sPrest_britain_nelson"	"global_home_region_only"	1
"sPrest_britain_nelson"	"upkeep_cost_mod_naval_all"	-10
"sPrest_france_arcdetriomphe"	"global_home_region_only"	1
"sPrest_france_arcdetriomphe"	"Movement_Points_All"	5
"sPrest_prussia_victorycolumn"	"global_home_region_only"	1
"sPrest_prussia_victorycolumn"	"recruitment_cost_mod_category_infantry_global"	-5
"sPrest_russia_monumentminin"	"global_home_region_only"	1
"sPrest_russia_monumentminin"	"replenishment_percentage_bonus_global"	5
"tCommerce2_merchant_house"	"tw_growth_industry_global"	1
"tCommerce3_banking_house"	"tw_growth_industry_global"	2
"tEducation1_college"	"agent_cap_gentleman"	1
"tEducation2_university"	"agent_cap_gentleman"	2
"tEducation2_university"	"research_points_global"	1
"tEducation3_enlightened_university"	"agent_cap_gentleman"	3
"tEducation3_enlightened_university"	"research_points_global"	2
"tEducationTutorial1_college"	"agent_cap_gentleman"	1
"tFactory3_steam_powered_factory"	"recruitment_cost_mod_category_artillery_global"	-1
"tGuns3_small_arms_factory"	"recruitment_cost_mod_category_infantry_global"	-1
"tSecret1_gentlemens_club"	"agent_cap_rake"	1
"tSecret2_secret_society"	"agent_cap_rake"	2
"tSecret3_masonic_lodge"	"agent_cap_rake"	3
"tSupply3_supply_depot"	"replenishment_percentage_bonus_global"	1
"sArmySpain4_military_academy"	"agent_cap_admiral"	1
"sArmySpain4_military_academy"	"agent_cap_general"	1
"sArmySpain4_military_academy"	"agent_general_refil_rate_1"	1
"sArmySpain5_staff_college"	"agent_admiral_refil_rate_2"	1
"sArmySpain5_staff_college"	"agent_cap_admiral"	2
"sArmySpain5_staff_college"	"agent_cap_general"	2
"sArmySpain5_staff_college"	"agent_general_refil_rate_2"	1
"sArmySpain5_staff_college"	"global_home_region_only"	1
"sArmySpain5_staff_college"	"recruitment_cost_mod_land_all_global"	-4
"tSecretSpain1_gentlemens_club"	"agent_cap_rake"	1
"tSecretSpain2_secret_society"	"agent_cap_rake"	2
"tSecretSpain3_masonic_lodge"	"agent_cap_rake"	3
"tEducationSpain1_college"	"agent_cap_propagandist"	1
"tEducationSpain2_university"	"agent_cap_propagandist"	2
"tEducation3_enlightened_university"	"agent_cap_propagandist"	1
"tReligionSpain1_chapel"	"agent_cap_priest"	1
"tReligionSpain2_church"	"agent_cap_priest"	2
"tReligionSpain3_cathedral"	"agent_cap_priest"	3
"tReligionSpain1_chapel"	"agent_cap_guerrillero"	1
"tReligionSpain2_church"	"agent_cap_guerrillero"	2
"tReligionSpain3_cathedral"	"agent_cap_guerrillero"	3
"tEducationSpain2_university"	"research_points_global"	1
"tEducationSpain3_enlightened_university"	"research_points_global"	2
"pSupplySpain1_supply_port"	"trade_node_supply_mod"	3
"pSupplySpain2_military_supply_port"	"trade_node_supply_mod"	6
"pSupplySpain3_military_port_complex"	"trade_node_supply_mod"	12
"sAdminSpain5_court_supreme"	"admin_cost_mod"	-2
"sAdminSpain5_court_supreme"	"global_home_region_only"	1
"sAdminSpain5_court_supreme"	"repression_building_global"	2
"tFactorySpain3_steam_powered_factory"	"recruitment_cost_mod_category_artillery_global"	-1
"rGoldSpain2_steam-pumped_gold_mine"	"tw_growth_industry_global"	1
"rGoldSpain3_industrial_gold_mining_complex"	"tw_growth_industry_global"	2
"rIronSpain3_industrial_iron_mining_complex"	"recruitment_cost_mod_land_all_global"	-1
"rTimberSpain3_steam_powered_sawmill"	"building_cost_mod_all_global"	-2
"rTimberSpain3_steam_powered_sawmill"	"recruitment_cost_mod_naval_all_global"	-1
"tCommerceSpain2_merchant_house"	"tw_growth_industry_global"	1
"tCommerceSpain3_banking_house"	"tw_growth_industry_global"	2
"tSupplySpain3_supply_depot"	"replenishment_percentage_bonus_global"	1
"tEducationSpain3_enlightened_university"	"agent_cap_propagandist"	3
