version 1, schema effect_bonus_value_agent_junction_tables, guid 8f6db977-c332-4a0b-9ffb-931509c1a814
Effect(string)	Type(string)	Agent_IDRef(string)
"agent_XP_mod_ikko_monk"	"character_xp_mod"	"ikko_monk"
"agent_XP_mod_mesuke"	"character_xp_mod"	"metsuke"
"agent_XP_mod_missionary"	"character_xp_mod"	"missionary"
"agent_XP_mod_monk"	"character_xp_mod"	"monk"
"agent_XP_mod_ninja"	"character_xp_mod"	"ninja"
"agent_action_cost_mod"	"action_cost_mod"	"geisha"
"agent_action_cost_mod"	"action_cost_mod"	"gempei_dancer"
"agent_action_cost_mod"	"action_cost_mod"	"gempei_inspector"
"agent_action_cost_mod"	"action_cost_mod"	"gempei_monk"
"agent_action_cost_mod"	"action_cost_mod"	"gempei_spy"
"agent_action_cost_mod"	"action_cost_mod"	"ikko_monk"
"agent_action_cost_mod"	"action_cost_mod"	"metsuke"
"agent_action_cost_mod"	"action_cost_mod"	"missionary"
"agent_action_cost_mod"	"action_cost_mod"	"monk"
"agent_action_cost_mod"	"action_cost_mod"	"ninja"
"agent_action_critical_success_mod"	"critical_success_mod"	"geisha"
"agent_action_critical_success_mod"	"critical_success_mod"	"ikko_monk"
"agent_action_critical_success_mod"	"critical_success_mod"	"metsuke"
"agent_action_critical_success_mod"	"critical_success_mod"	"missionary"
"agent_action_critical_success_mod"	"critical_success_mod"	"monk"
"agent_action_critical_success_mod"	"critical_success_mod"	"ninja"
"agent_action_success_mod"	"success_mod"	"geisha"
"agent_action_success_mod"	"success_mod"	"gempei_dancer"
"agent_action_success_mod"	"success_mod"	"gempei_inspector"
"agent_action_success_mod"	"success_mod"	"gempei_monk"
"agent_action_success_mod"	"success_mod"	"gempei_spy"
"agent_action_success_mod"	"success_mod"	"ikko_monk"
"agent_action_success_mod"	"success_mod"	"metsuke"
"agent_action_success_mod"	"success_mod"	"missionary"
"agent_action_success_mod"	"success_mod"	"monk"
"agent_action_success_mod"	"success_mod"	"ninja"
"agent_availability_quality_geisha"	"availability_and_quality"	"geisha"
"agent_availability_quality_ikko_monk"	"availability_and_quality"	"ikko_monk"
"agent_availability_quality_metsuke"	"availability_and_quality"	"metsuke"
"agent_availability_quality_missionary"	"availability_and_quality"	"missionary"
"agent_availability_quality_monk"	"availability_and_quality"	"monk"
"agent_availability_quality_ninja"	"availability_and_quality"	"ninja"
"agent_cap_basic_hidden"	"cap"	"Eastern_Scholar"
"agent_cap_basic_hidden"	"cap"	"assassin"
"agent_cap_basic_hidden"	"cap"	"gentleman"
"agent_cap_basic_hidden"	"cap"	"rake"
"agent_cap_geisha"	"cap"	"geisha"
"agent_cap_general"	"cap"	"General"
"agent_cap_ikko_monk"	"cap"	"ikko_monk"
"agent_cap_metsuke"	"cap"	"metsuke"
"agent_cap_minja"	"cap"	"ninja"
"agent_cap_missionary"	"cap"	"Protestant_Missionary"
"agent_cap_missionary"	"cap"	"indian_missionary"
"agent_cap_missionary"	"cap"	"middle_east_missionary"
"agent_cap_missionary"	"cap"	"missionary"
"agent_cap_missionary"	"cap"	"orthodox_missionary"
"agent_cap_monk"	"cap"	"monk"
"bos_agent_XP_mod_geisha"	"character_xp_mod"	"boshin_geisha"
"bos_agent_action_cost_mod"	"action_cost_mod"	"boshin_geisha"
"bos_agent_action_cost_mod"	"action_cost_mod"	"boshin_ishinshishi"
"bos_agent_action_cost_mod"	"action_cost_mod"	"boshin_shinobi"
"bos_agent_action_cost_mod"	"action_cost_mod"	"boshin_shinsengumi"
"bos_agent_action_cost_mod"	"action_cost_mod"	"boshin_veteran"
"bos_agent_action_success_mod"	"success_mod"	"boshin_geisha"
"bos_agent_action_success_mod"	"success_mod"	"boshin_ishinshishi"
"bos_agent_action_success_mod"	"success_mod"	"boshin_shinobi"
"bos_agent_action_success_mod"	"success_mod"	"boshin_shinsengumi"
"bos_agent_action_success_mod"	"success_mod"	"boshin_veteran"
"bos_agent_availability_quality_geisha"	"availability_and_quality"	"boshin_geisha"
"bos_agent_availability_quality_ishinshishi"	"availability_and_quality"	"boshin_ishinshishi"
"bos_agent_availability_quality_shinobi"	"availability_and_quality"	"boshin_shinobi"
"bos_agent_availability_quality_shinsengumi"	"availability_and_quality"	"boshin_shinsengumi"
"bos_agent_availability_quality_veteran"	"availability_and_quality"	"boshin_veteran"
"bos_agent_cap_geisha"	"cap"	"boshin_geisha"
"bos_agent_cap_ishinshishi"	"cap"	"boshin_ishinshishi"
