key	on_screen_name	category	class	multiplayer_cost	multiplayer_late_cost	create_time	create_cost	unkeep	campaign_action_points	voice	icon_name	info_pic	unit_description_text	region_unit_resource	total_cap	multiplayer_category	mp_available_early	mp_available_middle	mp_available_late	prestige	armed_citizenry	total_cap_mp	unit_type_icon	use_onscreen_name	unit_caste	additional_building_level_requirement	religion_requirement	resource_requirement	in_encyclopedia	unit_recruited_movie	unique_index	is_male	num_audio_vo_variations	audio_language	vo_actor_numbers	supports_first_person
#units_tables;13;db/units_tables/units																																				
Art_European_Cannons	European Cannons	artillery	artillery_fixed	1200	1200	3	900	100	12	special	placeholder_artillery	placeholder	Art_European_Cannons		0	mp_siege_and_stealth	true	true	true	0	false	0	siege	false	special		rel_catholic		true	unit_artillery_cannons	1	true	4	UK	0	false
Art_European_Cannons_Hojo	Hojo Cannons	artillery	artillery_fixed	1300	1300	3	800	75	12	special	placeholder_artillery	placeholder	Art_European_Cannons		0	mp_siege_and_stealth	true	true	true	0	false	0	siege	false	special		rel_catholic		true	unit_artillery_cannons	2	true	4	UK	0	false
Art_European_Cannons_MP	European Cannons	artillery	artillery_fixed	1400	1400	1	1400	250	12	special	placeholder_artillery	placeholder	Art_European_Cannons		0	mp_siege_and_stealth	true	true	true	0	false	0	siege	false	special		rel_catholic		true	unit_artillery_cannons	3	true	4	UK	0	false
Art_Fire_Projecting_Mangonels	Fire Projecting Mangonels	artillery	artillery_fixed	1100	1100	2	800	100	12	special	placeholder_artillery	placeholder	Art_Fire_Projecting_Mangonels		0	mp_siege_and_stealth	true	true	true	0	false	0	siege	false	special				true	unit_artillery_mangonels	4	true	4	UK	0	false
Art_Fire_Projecting_Mangonels_Hojo	Hojo Fire Projecting Mangonels	artillery	artillery_fixed	1200	1200	2	700	75	12	special	placeholder_artillery	placeholder	Art_Fire_Projecting_Mangonels		0	mp_siege_and_stealth	true	true	true	0	false	0	siege	false	special				true	unit_artillery_mangonels	5	true	4	UK	0	false
Art_Fire_Projecting_Mangonels_MP	Fire Projecting Mangonels	artillery	artillery_fixed	1300	1300	2	1300	200	12	special	placeholder_artillery	placeholder	Art_Fire_Projecting_Mangonels		0	mp_siege_and_stealth	true	true	true	0	false	0	siege	false	special				true	unit_artillery_mangonels	6	true	4	UK	0	false
Art_Large_Shafted_Fire_Rockets	Fire Rockets	infantry_ranged	siege	1800	1800	2	950	150	12	special	placeholder_artillery	placeholder	Art_Fire_Rockets		0	mp_siege_and_stealth	true	true	true	0	false	0	siege	false	special				true	unit_artillery_rockets	7	true	4	UK	0	false
Art_Large_Shafted_Fire_Rockets_Hojo	Hojo Fire Rockets	infantry_ranged	siege	1900	1900	2	850	125	12	special	placeholder_artillery	placeholder	Art_Fire_Rockets		0	mp_siege_and_stealth	true	true	true	0	false	0	siege	false	special				true	unit_artillery_rockets	215	true	4	UK	0	false
Art_Large_Shafted_Fire_Rockets_MP	Fire Rockets	infantry_ranged	siege	1800	1800	1	1800	149	12	special	placeholder_artillery	placeholder	Art_Fire_Rockets		0	mp_siege_and_stealth	true	true	true	0	false	0	siege	false	special				true	unit_artillery_rockets	8	true	4	UK	0	false
Boshin_Art_Armstrong_Guns	Armstrong Guns	artillery	artillery_foot	1360	1360	3	1760	220	12	special	placeholder_artillery	placeholder	Boshin_Art_Armstrong_Guns		0	mp_artillery	true	true	true	0	false	0	explosive_artillery	false	modern				true		711	true	3	UK	6,16,31	true
Boshin_Art_Armstrong_Guns_MP	Armstrong Guns	artillery	artillery_foot	1300	1300	3	1760	220	12	special	placeholder_artillery	placeholder	Boshin_Art_Armstrong_Guns		0	mp_artillery	true	true	true	0	false	1	explosive_artillery	false	modern				true		926	true	3	UK	6,16,31	true
Boshin_Art_Coastal_Guns_Large	Coastal Guns	artillery	artillery_fixed	1200	1200	3	1300	170	12	special	placeholder_artillery	placeholder	Placeholder		0	mp_artillery	true	true	true	0	false	0	explosive_artillery	false	generic				false		1236	true	3	UK	6,16,31	true
Boshin_Art_Coastal_Guns_Medium	Coastal Guns	artillery	artillery_fixed	1200	1200	3	1300	170	12	special	placeholder_artillery	placeholder	Placeholder		0	mp_artillery	true	true	true	0	false	0	explosive_artillery	false	generic				false		1293	true	3	UK	6,16,31	true
Boshin_Art_Coastal_Guns_Medium_MP	Coastal Guns	artillery	artillery_fixed	1200	1200	3	1300	170	12	special	placeholder_artillery	placeholder	Placeholder		0	mp_artillery	true	true	true	0	false	0	explosive_artillery	false	generic				false		1295	true	3	UK	6,16,31	true
Boshin_Art_Coastal_Guns_Small	Coastal Guns	artillery	artillery_fixed	1200	1200	3	1300	170	12	special	placeholder_artillery	placeholder	Placeholder		0	mp_artillery	true	true	true	0	false	0	explosive_artillery	false	generic				false		1305	true	3	UK	6,16,31	true
Boshin_Art_Coastal_Guns_Small_MP	Coastal Guns	artillery	artillery_fixed	1200	1200	3	1300	170	12	special	placeholder_artillery	placeholder	Placeholder		0	mp_artillery	true	true	true	0	false	0	explosive_artillery	false	generic				false		1311	true	3	UK	6,16,31	true
Boshin_Art_Coastal_Guns__Large_MP	Coastal Guns	artillery	artillery_fixed	1900	1900	3	2430	310	12	special	placeholder_artillery	placeholder	Placeholder		0	mp_artillery	true	true	true	0	false	1	explosive_artillery	false	generic				false		1239	true	3	UK	6,16,31	true
Boshin_Art_Gatling_Guns	Gatling Guns	artillery	artillery_foot	1700	1700	3	2510	320	12	special	placeholder_artillery	placeholder	Boshin_Art_Gatling_Guns		0	mp_artillery	true	true	true	0	false	0	siege	false	modern				true		708	true	3	UK	6,16,31	true
Boshin_Art_Gatling_Guns_MP	Gatling Guns	artillery	artillery_foot	1400	1400	3	2510	320	12	special	placeholder_artillery	placeholder	Boshin_Art_Gatling_Guns		0	mp_artillery	true	true	true	0	false	1	siege	false	modern				true		929	true	3	UK	6,16,31	true
Boshin_Art_Parrot_Guns	Parrott Guns	artillery	artillery_foot	1210	1210	3	1570	200	12	special	placeholder_artillery	placeholder	Boshin_Art_Parrot_Guns		0	mp_artillery	true	true	true	0	false	0	explosive_artillery	false	modern				true		716	true	3	UK	6,16,31	true
Boshin_Art_Parrot_Guns_MP	Parrott Guns	artillery	artillery_foot	1210	1210	3	1570	200	12	special	placeholder_artillery	placeholder	Boshin_Art_Parrot_Guns		0	mp_artillery	true	true	true	0	false	1	explosive_artillery	false	modern				true		934	true	3	UK	6,16,31	true
Boshin_Art_Wooden_Cannons	Wooden Cannons	artillery	artillery_fixed	250	250	3	710	100	12	special	placeholder_artillery	placeholder	Boshin_Art_Wooden_Cannons		0	mp_artillery	true	true	true	0	false	0	siege	false	traditional				true		665	true	3	UK	6,16,31	true
Boshin_Art_Wooden_Cannons_MP	Wooden Cannons	artillery	artillery_fixed	250	250	3	710	100	12	special	placeholder_artillery	placeholder	Boshin_Art_Wooden_Cannons		0	mp_artillery	true	true	true	0	false	1	siege	false	traditional				true		940	true	3	UK	6,16,31	true
Boshin_Cav_Missile_Bow_Ki	Bow Ki	cavalry	cavalry_missile	550	550	2	680	130	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Missile_Bow_Ki		0	mp_cavalry	true	true	true	0	false	0	bow_cavalry	false	traditional				true		1256	true	4	UK	0	false
Boshin_Cav_Missile_Bow_Ki_MP	Bow Ki	cavalry	cavalry_missile	550	550	2	680	130	20	cavalry	placeholder_cavalry	placeholder_cavalry	Boshin_Cav_Missile_Bow_Ki		0	mp_cavalry	true	true	true	0	false	0	bow_cavalry	false	traditional				true		1281	true	4	UK	0	false
