version 1, schema cai_agent_type_recruitment_profile_junctions_tables, guid 1ab27d74-e664-418c-9fb7-8d350d152023
unknown1(string)	unknown2(string)	unknown3(string)
"cai_at_bos_foreign_veteran"	"bos_allegiance"	"cai_art_unbiased"
"cai_at_bos_geisha"	"bos_allegiance"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"bos_allegiance"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"bos_allegiance"	"cai_art_unbiased"
"cai_at_bos_shinsengumi"	"bos_allegiance"	"cai_art_unbiased"
"cai_at_geisha"	"bos_allegiance"	"cai_art_blocked"
"cai_at_gw_dancer"	"bos_allegiance"	"cai_art_blocked"
"cai_at_gw_inspector"	"bos_allegiance"	"cai_art_blocked"
"cai_at_gw_monk"	"bos_allegiance"	"cai_art_blocked"
"cai_at_gw_ninja"	"bos_allegiance"	"cai_art_blocked"
"cai_at_metsuke"	"bos_allegiance"	"cai_art_blocked"
"cai_at_missionary"	"bos_allegiance"	"cai_art_blocked"
"cai_at_monk"	"bos_allegiance"	"cai_art_blocked"
"cai_at_ninja"	"bos_allegiance"	"cai_art_blocked"
"cai_at_bos_foreign_veteran"	"bos_blocked"	"cai_art_blocked"
"cai_at_bos_geisha"	"bos_blocked"	"cai_art_blocked"
"cai_at_bos_ishin_shishi"	"bos_blocked"	"cai_art_blocked"
"cai_at_bos_shinobi"	"bos_blocked"	"cai_art_blocked"
"cai_at_bos_shinsengumi"	"bos_blocked"	"cai_art_blocked"
"cai_at_geisha"	"bos_blocked"	"cai_art_blocked"
"cai_at_gw_dancer"	"bos_blocked"	"cai_art_blocked"
"cai_at_gw_inspector"	"bos_blocked"	"cai_art_blocked"
"cai_at_gw_monk"	"bos_blocked"	"cai_art_blocked"
"cai_at_gw_ninja"	"bos_blocked"	"cai_art_blocked"
"cai_at_metsuke"	"bos_blocked"	"cai_art_blocked"
"cai_at_missionary"	"bos_blocked"	"cai_art_blocked"
"cai_at_monk"	"bos_blocked"	"cai_art_blocked"
"cai_at_ninja"	"bos_blocked"	"cai_art_blocked"
"cai_at_bos_foreign_veteran"	"bos_foreign"	"cai_art_unbiased"
"cai_at_bos_geisha"	"bos_foreign"	"cai_art_unbiased"
"cai_at_bos_ishin_shishi"	"bos_foreign"	"cai_art_unbiased"
"cai_at_bos_shinobi"	"bos_foreign"	"cai_art_unbiased"
