version 1, schema campaign_anim_action_to_sets_tables
Action(string)	Animation_Set_IDRef(string)	Animation(string)
"assassinate"	"human"	"combat_ready"
"attack_character"	"human"	"attack"
"attack_garrison"	"human"	"attack"
"bribe"	"human"	"combat_ready"
"build_fort"	"human"	"build_fort"
"build_religious"	"human"	"combat_ready"
"die"	"human"	"combat_ready"
"duel"	"human"	"combat_ready"
"exchange"	"human"	"idle"
"exchange_character"	"human"	"combat_ready"
"exchange_garrison"	"human"	"combat_ready"
"flee"	"human"	"run"
"idle"	"human"	"idle"
"spy"	"human"	"combat_ready"
"step_fwd"	"human"	"step_fwd"
"teleport"	"human"	"idle"
"turn_left"	"human"	"turn_left"
"turn_right"	"human"	"turn_right"
"walk"	"human"	"walk"
