version 1, schema historical_character_traits_tables
Name_IDRef(string)	Trait_Level_IDRef(string)
"egy_adam_duncan"	"C_Admiral_Blockader_Good_1"
"egy_adam_duncan"	"C_Admiral_Brave_2"
"egy_adam_duncan"	"C_Admiral_Good_2"
"egy_aristide_thouars"	"C_Admiral_Brave_3"
"egy_aristide_thouars"	"C_Admiral_Good_1"
"egy_auguste_marmont"	"C_General_Good_Field_Commander_1"
"egy_auguste_marmont"	"C_General_of_Artillery_1"
"egy_brent_spencer"	"C_General_Brave_2"
"egy_brent_spencer"	"C_General_Mad_1"
"egy_charles_lasalle"	"C_Feck_Vice_1"
"egy_charles_lasalle"	"C_General_French_Elan_3"
"egy_charles_lasalle"	"C_General_of_Cavalry_1"
"egy_eugene_beauharnais"	"C_General_French_Elan_1"
"egy_eugenios_voulgaris"	"C_Gent_Research_Philosophy_2"
"egy_francois_aigalliers"	"C_Admiral_Attack_Good_1"
"egy_francois_aigalliers"	"C_Admiral_Good_1"
"egy_gaspard_monge"	"C_Gent_Academic_Honours_2"
"egy_gaspard_monge"	"C_Gent_Research_Philosophy_1"
"egy_gaspard_monge"	"C_Gent_Science_Club_1"
"egy_geraud_duroc"	"C_General_Born_Soldier_2"
"egy_geraud_duroc"	"C_General_Good_Field_Commander_2"
"egy_jean_bessieres"	"C_General_Attacker_Good_1"
"egy_jean_bessieres"	"C_General_French_Elan_1"
"egy_jean_denon"	"C_Gent_Research_Philosophy_1"
"egy_jean_lannes"	"C_General_Brave_2"
"egy_jean_lannes"	"C_General_Good_Field_Commander_1"
"egy_jean_rapp"	"C_General_Brave_2"
"egy_jean_reyier"	"C_General_Good_Field_Commander_1"
"egy_jean_reyier"	"C_General_of_Artillery_1"
"egy_joachim_murat"	"C_General_French_Elan_2"
"egy_joachim_murat"	"C_General_of_Cavalry_1"
"egy_kor_pasha"	"C_Minister_Reactionary_1"
"egy_louis_almeras"	"C_General_Attacker_Good_1"
"egy_louis_almeras"	"C_General_Brave_2"
"egy_louis_davout"	"C_General_Good_Field_Commander_2"
"egy_louis_davout"	"C_General_Martinet_2"
"egy_louis_hilliers"	"C_General_Attacker_Good_2"
"egy_louis_hilliers"	"C_General_French_Elan_1"
"egy_mehmet_ali"	"C_General_Attacker_Good_2"
"egy_mehmet_ali"	"C_General_Good_Field_Commander_2"
"egy_pierre_choderlos"	"C_Gent_Research_Military_1"
"egy_pierre_choderlos"	"C_Gent_Research_Philosophy_1"
"egy_ralph_abercromby"	"C_General_Good_Field_Commander_2"
"egy_ralph_abercromby"	"C_General_of_Infantry_2"
"egy_thomas_foley"	"C_Admiral_British_Drakes_Drum_2"
"egy_thomas_foley"	"C_Admiral_Good_2"
"eur_abraham_gottlob_werner"	"C_Gent_Science_Club_2"
"eur_abraham_gottlob_werner"	"C_Personal_Sickly_1"
"eur_adam_balla"	"C_General_of_Infantry_2"
"eur_adam_bistrom"	"C_General_Brave_2"
"eur_adolphus_frederick"	"C_General_Attacker_Good_1"
"eur_adolphus_frederick"	"C_General_Good_Field_Commander_1"
"eur_adrien_legendre"	"C_Gent_Research_Military_1"
"eur_adrien_legendre"	"C_Gent_Research_Philosophy_1"
"eur_afanasiy_krasovsky"	"C_General_Good_Field_Commander_1"
"eur_aleksey_bakhmetyev"	"C_General_Brave_1"
"eur_aleksey_bakhmetyev"	"C_General_of_Infantry_1"
"eur_alexander_abercromby"	"C_General_Born_Soldier_1"
"eur_alexander_abercromby"	"C_General_Good_Field_Commander_1"
"eur_alexander_campbell"	"C_General_Good_Field_Commander_1"
"eur_alexander_campbell"	"C_General_of_Infantry_1"
"eur_alexander_mercer"	"C_General_of_Artillery_2"
"eur_alexander_prozorovsky"	"C_General_Good_Field_Commander_1"
"eur_alexander_prozorovsky"	"C_General_Russian_Vodka_2"
"eur_alexander_zass"	"C_General_Attacker_Good_1"
"eur_anders_sparrman"	"C_Gent_Academic_Honours_1"
"eur_anders_sparrman"	"C_Gent_Research_Philosophy_1"
"eur_andreas_hofer"	"C_General_Good_Field_Commander_2"
"eur_andreas_hofer"	"C_General_Press_Hero_2"
"eur_andrei_pavlovich_zass"	"C_General_of_Cavalry_2"
"eur_andrei_zass"	"C_General_of_Cavalry_2"
"eur_andrew_meikle"	"C_Gent_Research_Agriculture_2"
"eur_andrew_meikle"	"C_Gent_Research_Industry_1"
"eur_andrey_timofeyevich_bolotov"	"C_Gent_Research_Agriculture_3"
"eur_antoine_lasalle"	"C_General_Drunkard_1"
"eur_antoine_lasalle"	"C_General_French_Elan_3"
"eur_antoine_lasalle"	"C_General_of_Cavalry_3"
"eur_anton_estocq"	"C_General_Good_Field_Commander_1"
"eur_anton_estocq"	"C_General_of_Cavalry_2"
"eur_anton_wilhelm_von_lestocq"	"C_General_Good_Field_Commander_1"
"eur_apollon_zhemchuzhnikov"	"C_General_of_Infantry_1"
"eur_armand_philippon"	"C_General_Attacker_Good_1"
"eur_armand_philippon"	"C_General_Brave_1"
"eur_ataman_platov"	"C_General_Attacker_Good_1"
"eur_ataman_platov"	"C_General_Good_Field_Commander_2"
"eur_august_gneisenau"	"C_General_Good_Field_Commander_2"
"eur_august_gneisenau"	"C_General_of_Infantry_1"
"eur_auguste_marmont"	"C_General_Born_Soldier_1"
"eur_auguste_marmont"	"C_General_Good_Field_Commander_2"
"eur_auguste_marmont"	"C_General_Grand_Armee"
"eur_auguste_marmont"	"C_General_of_Artillery_2"
"eur_bertrand_barere"	"C_Rake_Counter_Spy_1"
"eur_bon_moncey"	"C_General_Born_Soldier_2"
"eur_bon_moncey"	"C_General_Good_Field_Commander_1"
"eur_bon_moncey"	"C_General_Grand_Armee"
"eur_brent_spencer"	"C_General_Brave_2"
"eur_brent_spencer"	"C_General_Good_Field_Commander_1"
"eur_brent_spencer"	"C_General_Mad_1"
"eur_bruno_de_heceta"	"C_Admiral_Spanish_National_Pride_2"
"eur_carl_baggovut"	"C_General_of_Infantry_2"
"eur_carl_friedrich_heinrich"	"C_General_of_Infantry_2"
"eur_carl_gauss"	"C_Gent_Academic_Honours_1"
"eur_carl_gauss"	"C_Gent_Research_Philosophy_2"
"eur_carl_gauss"	"C_Gent_Science_Club_1"
"eur_carl_mecklenburg"	"C_General_Brave_1"
"eur_carl_mecklenburg"	"C_General_Defend_Good_2"
"eur_carl_von_clausewitz"	"C_General_Born_Soldier_2"
"eur_carl_von_clausewitz"	"C_General_Good_Field_Commander_1"
"eur_caspar_wessel"	"C_Gent_Research_Philosophy_1"
"eur_charles_arbuthnot"	"C_Minister_Trader_1"
"eur_charles_belson"	"C_General_Brave_1"
"eur_charles_colville"	"C_General_Brave_1"
"eur_charles_colville"	"C_General_Good_Field_Commander_1"
"eur_charles_coulomb"	"C_Gent_Research_Philosophy_1"
"eur_charles_coulomb"	"C_Gent_Science_Club_2"
"eur_charles_deon"	"C_Agent_Spy_Network_2"
"eur_charles_deon"	"C_Rake_Im_A_Laydee_2"
"eur_charles_fox"	"C_Minister_Radical_1"
"eur_charles_grey"	"C_Minister_Upright_1"
"eur_charles_middleton"	"C_Minister_Navy_Good_2"
"eur_charles_middleton"	"C_Minister_Upright_1"
"eur_charles_middleton"	"C_Personal_Piety_2"
"eur_charles_smith"	"C_Agent_Spy_Network_2"
"eur_christian_gunther_von_bernstorff"	"C_Minister_Reactionary_1"
"eur_christian_hendrik_persoon"	"C_Gent_Academic_Honours_1"
"eur_christian_hendrik_persoon"	"C_Gent_Research_Philosophy_1"
"eur_christian_massenbach"	"C_General_Good_Field_Commander_1"
"eur_claude_berthollet"	"C_Gent_Research_Philosophy_1"
"eur_claude_berthollet"	"C_Gent_Science_Club_1"
"eur_claude_perrin"	"C_General_Good_Field_Commander_1"
"eur_claude_perrin"	"C_General_Grand_Armee"
"eur_claude_perrin"	"C_General_Scout_1"
"eur_comte_de_rochambeau"	"C_General_of_Infantry_2"
"eur_cosmao_kerjulien"	"C_Admiral_Brave_2"
"eur_cosmao_kerjulien"	"C_Admiral_Good_2"
"eur_cuthbert_collingwood"	"C_Admiral_Blockader_Good_1"
"eur_cuthbert_collingwood"	"C_Admiral_Good_2"
"eur_david_ricardo"	"C_Gent_Research_Economics_3"
"eur_dimitri_pezvyi"	"C_General_of_Artillery_3"
"eur_dionisio_galiano"	"C_Gent_Research_Navy_1"
"eur_dionisio_galiano"	"C_Gent_Research_Philosophy_1"
"eur_dmitry_senyavin"	"C_Admiral_Born_Sailor_1"
"eur_dmitry_senyavin"	"C_Admiral_Brave_1"
"eur_dmitry_senyavin"	"C_Admiral_Good_2"
"eur_dominique_vandamme"	"C_General_Bloody_2"
"eur_dominique_vandamme"	"C_General_Looter_Good_1"
"eur_dumanoir_le_pelley"	"C_Admiral_Good_1"
"eur_edmund_cartwright"	"C_Gent_Research_Industry_2"
"eur_edmund_cartwright"	"C_Personal_Piety_2"
"eur_edouard_mortier"	"C_General_Good_Field_Commander_1"
"eur_edouard_mortier"	"C_General_Grand_Armee"
"eur_edward_augustus"	"C_General_Attacker_Good_2"
"eur_edward_augustus"	"C_General_Brave_1"
"eur_edward_augustus"	"C_General_Good_Field_Commander_2"
"eur_edward_paget"	"C_General_Good_Field_Commander_1"
"eur_edward_paget"	"C_General_of_Infantry_1"
"eur_edward_pakenham"	"C_General_Attacker_Good_2"
"eur_edward_stopford"	"C_General_Defend_Good_1"
"eur_egori_emmanuel"	"C_General_Attacker_Good_1"
"eur_egori_emmanuel"	"C_General_Brave_2"
"eur_emmanual_grouchy"	"C_General_French_Elan_1"
"eur_emmanual_grouchy"	"C_General_Good_Field_Commander_1"
"eur_emmanual_grouchy"	"C_General_Grand_Armee"
"eur_ernest_augustus"	"C_General_Attacker_Good_1"
"eur_ernest_augustus"	"C_General_Brave_3"
"eur_ernest_augustus"	"C_General_of_Cavalry_2"
"eur_ernst_pfuel"	"C_General_Prussian_Blue_1"
"eur_etienne_lucas"	"C_Admiral_Brave_2"
"eur_etienne_lucas"	"C_Admiral_Swashbuckling_1"
"eur_eugene_beauharnais"	"C_General_French_Elan_1"
"eur_eugene_beauharnais"	"C_General_Good_Field_Commander_1"
"eur_eugene_beauharnais"	"C_General_of_Cavalry_1"
"eur_eugene_vilatte"	"C_General_Good_Field_Commander_1"
"eur_fabien_sacken"	"C_General_Attacker_Good_1"
"eur_fabien_sacken"	"C_General_Brave_1"
"eur_fabien_sacken"	"C_General_of_Infantry_1"
"eur_fedor_sanders"	"C_General_Attacker_Good_1"
"eur_fedor_sanders"	"C_General_of_Infantry_2"
"eur_felix_de_azara"	"C_Gent_Research_Military_2"
"eur_felix_de_azara"	"C_Gent_Research_Philosophy_1"
"eur_ferdinand_waldstein"	"C_General_Born_Soldier_1"
"eur_francisco_de_miranda"	"C_Gent_Research_Military_1"
"eur_francisco_de_miranda"	"C_Gent_Research_Philosophy_1"
"eur_francisco_javier_castanos"	"C_General_Attacker_Good_2"
"eur_francisco_javier_castanos"	"C_General_Good_Field_Commander_2"
"eur_francois_chris_kellerman"	"C_General_Grand_Armee"
"eur_francois_chris_kellerman"	"C_Minister_Army_Good_2"
"eur_francois_de_reynaud"	"C_Rake_Counter_Spy_1"
"eur_francois_kellerman"	"C_General_French_Elan_2"
"eur_francois_kellerman"	"C_General_of_Cavalry_2"
"eur_francois_truguet"	"C_Admiral_Born_Sailor_1"
"eur_francois_truguet"	"C_Admiral_Good_2"
"eur_francous_lefebvre"	"C_General_French_Elan_1"
"eur_francous_lefebvre"	"C_General_Good_Field_Commander_1"
"eur_francous_lefebvre"	"C_General_Grand_Armee"
"eur_francous_lefebvre"	"C_General_of_Infantry_2"
"eur_franz_xaver_von_zach"	"C_Gent_Research_Philosophy_1"
"eur_fray_lasierra"	"C_Gent_Research_Philosophy_1"
"eur_fray_lasierra"	"C_Personal_Piety_2"
"eur_frederick_adam"	"C_General_Good_Field_Commander_1"
"eur_frederick_adam"	"C_General_of_Artillery_1"
"eur_frederick_york"	"C_Feck_Vice_1"
"eur_frederick_york"	"C_General_Good_Field_Commander_1"
"eur_frederick_york"	"C_General_Lampooned_1"
"eur_freiherr_von_schrotter"	"C_Minister_Trader_1"
"eur_friedrich_bulow"	"C_General_Born_Soldier_2"
"eur_friedrich_bulow"	"C_General_Good_Field_Commander_2"
"eur_friedrich_bulow"	"C_General_Prussian_Blue_3"
"eur_friedrich_ludwig"	"C_General_Defend_Good_2"
"eur_friedrich_wilhelm"	"C_General_Brave_1"
"eur_friedrich_wilhelm"	"C_General_Good_Field_Commander_1"
"eur_friedrich_xaver"	"C_General_Defend_Good_1"
"eur_friedrich_xaver"	"C_General_Good_Field_Commander_2"
"eur_friedrich_xaver"	"C_General_of_Cavalry_1"
"eur_furst_von_hardenberg"	"C_Minister_Radical_1"
"eur_fyodor_fyodorovich_ushakov"	"C_Admiral_Blockader_Good_1"
"eur_fyodor_fyodorovich_ushakov"	"C_Admiral_Good_3"
"eur_galbraith_cole"	"C_General_Defend_Good_2"
"eur_gaspard_monge"	"C_Gent_Academic_Honours_2"
"eur_gaspard_monge"	"C_Gent_Research_Philosophy_2"
"eur_gaspard_monge"	"C_Gent_Science_Club_2"
"eur_georg_sverdrup"	"C_Gent_Research_Philosophy_1"
"eur_george_augustus"	"C_General_of_Infantry_1"
"eur_george_beresford"	"C_General_of_Cavalry_2"
"eur_george_dreiberg"	"C_General_Attacker_Good_1"
"eur_george_murray"	"C_General_Good_Field_Commander_1"
"eur_george_stephenson"	"C_Gent_Research_Industry_3"
"eur_george_walker"	"C_General_of_Infantry_1"
"eur_geraud_duroc"	"C_General_Born_Soldier_2"
"eur_geraud_duroc"	"C_General_Good_Field_Commander_2"
"eur_gerhard_von_scharnhorst"	"C_General_Good_Field_Commander_2"
"eur_gerhard_von_scharnhorst"	"C_General_of_Artillery_1"
"eur_graf_von_colloredo"	"C_Minister_Entertainer_1"
"eur_graf_von_colloredo"	"C_Personal_Piety_1"
"eur_graf_von_wittenberg"	"C_General_Good_Field_Commander_2"
"eur_graf_von_wittenberg"	"C_General_Siege_Attack_Good_1"
"eur_grigory_lisanevich"	"C_General_Defend_Good_1"
"eur_grigory_lisanevich"	"C_General_of_Cavalry_2"
"eur_grimur_thorkelin"	"C_Gent_Academic_Honours_2"
"eur_grimur_thorkelin"	"C_Gent_Research_Philosophy_1"
"eur_guillaume_brune"	"C_General_Defend_Good_2"
"eur_guillaume_brune"	"C_General_Good_Field_Commander_2"
"eur_guillaume_brune"	"C_General_Grand_Armee"
"eur_gustaf_adolf_reuterholm"	"C_Minister_Reactionary_1"
"eur_gustaf_adolf_reuterholm"	"C_Minister_Unjust_1"
"eur_guyton_morveau"	"C_Gent_Research_Philosophy_1"
"eur_heinrich_bellegarde"	"C_General_Good_Field_Commander_1"
"eur_heinrich_bellegarde"	"C_General_of_Cavalry_2"
"eur_heinrich_bellegarde"	"C_General_Siege_Attack_Good_1"
"eur_heinrich_friderich"	"C_Minister_Radical_1"
"eur_heinrich_friderich"	"C_Minister_Upright_1"
"eur_henri_delaborde"	"C_General_Good_Field_Commander_1"
"eur_henri_saint_simon"	"C_Gent_Research_Philosophy_2"
"eur_henri_saint_simon"	"C_Gent_Science_Club_1"
"eur_henry_bate"	"C_Agent_Spy_Network_2"
"eur_henry_bate"	"C_Personal_Piety_2"
"eur_henry_clinton"	"C_General_Defend_Good_1"
"eur_henry_clinton"	"C_General_Good_Field_Commander_1"
"eur_henry_hayes"	"C_Rake_Born_Bounder_1"
"eur_henry_paget"	"C_General_Good_Field_Commander_1"
"eur_henry_paget"	"C_General_of_Cavalry_2"
"eur_henry_phipps"	"C_Minister_Army_Good_2"
"eur_henry_temple"	"C_Minister_Army_Good_1"
"eur_henry_temple"	"C_Minister_Upright_2"
"eur_herzog_von_brunswick_luneberg"	"C_General_Good_Field_Commander_2"
"eur_herzog_von_brunswick_luneberg"	"C_General_Siege_Attack_Good_1"
"eur_hugo_kollataj"	"C_Gent_Research_Philosophy_2"
"eur_hugo_kollataj"	"C_Personal_Piety_2"
"eur_humphry_davy"	"C_Gent_Research_Industry_2"
"eur_humphry_davy"	"C_Gent_Science_Club_1"
"eur_hyde_parker"	"C_Admiral_British_Drakes_Drum_1"
"eur_hyde_parker"	"C_Admiral_Defender_Good_1"
"eur_ilia_duka"	"C_General_Attacker_Good_2"
"eur_ilia_duka"	"C_General_of_Cavalry_1"
"eur_ivan_dorokhov"	"C_General_Brave_2"
"eur_ivan_dorokhov"	"C_General_Defend_Good_3"
"eur_ivan_dorokhov"	"C_General_of_Cavalry_1"
"eur_ivan_paskevich"	"C_General_of_Infantry_1"
"eur_ivan_sabaneev"	"C_General_Attacker_Good_1"
"eur_ivan_sabaneev"	"C_General_Brave_2"
"eur_jacob_aall"	"C_Minister_Industrialist_1"
"eur_jacob_kulnev"	"C_General_Good_Field_Commander_2"
"eur_jacques_lauriston"	"C_General_Good_Field_Commander_1"
"eur_jacques_lauriston"	"C_General_of_Artillery_2"
"eur_jacques_macdonald"	"C_General_Good_Field_Commander_2"
"eur_jacques_macdonald"	"C_General_Grand_Armee"
"eur_james_hamilton"	"C_General_Brave_2"
"eur_james_leith"	"C_General_Attacker_Good_1"
"eur_james_leith"	"C_General_of_Infantry_2"
"eur_james_pulteney"	"C_Minister_Army_Good_2"
"eur_james_robertson"	"C_Agent_Spy_Network_1"
"eur_james_robertson"	"C_Rake_Spy_Good_1"
"eur_james_watt"	"C_Gent_Research_Industry_2"
"eur_james_watt"	"C_Gent_Science_Club_1"
"eur_jan_henryk_dabrowski"	"C_General_Brave_2"
"eur_jan_henryk_dabrowski"	"C_General_Good_Field_Commander_2"
"eur_jan_henryk_dabrowski"	"C_General_of_Cavalry_1"
"eur_jan_henryk_dabrowski"	"C_General_Polish_Stubborn_1"
"eur_jan_sniadecki"	"C_Gent_Research_Philosophy_2"
"eur_jan_van_kingsbergen"	"C_Admiral_Dutch_Seamanship_2"
"eur_jan_van_kingsbergen"	"C_Admiral_Good_2"
"eur_jean_bessieres"	"C_General_Attacker_Good_2"
"eur_jean_bessieres"	"C_General_French_Elan_1"
"eur_jean_bessieres"	"C_General_Grand_Armee"
"eur_jean_bessieres"	"C_General_of_Cavalry_1"
"eur_jean_cervoni"	"C_General_Defend_Good_1"
"eur_jean_cervoni"	"C_General_Good_Field_Commander_1"
"eur_jean_drouet"	"C_General_Good_Field_Commander_1"
"eur_jean_jourdan"	"C_General_Defend_Good_1"
"eur_jean_jourdan"	"C_General_Grand_Armee"
"eur_jean_jourdan"	"C_General_Lampooned_1"
"eur_jean_junot"	"C_General_Brave_1"
"eur_jean_lannes"	"C_General_Brave_2"
"eur_jean_lannes"	"C_General_Good_Field_Commander_2"
"eur_jean_lannes"	"C_General_Grand_Armee"
"eur_jean_lannes"	"C_General_Scout_1"
"eur_jean_marchand"	"C_General_Good_Field_Commander_1"
"eur_jean_massena"	"C_General_Attacker_Good_2"
"eur_jean_massena"	"C_General_Bloody_1"
"eur_jean_massena"	"C_General_Good_Field_Commander_2"
"eur_jean_massena"	"C_General_Grand_Armee"
"eur_jean_moreau"	"C_General_Good_Field_Commander_2"
"eur_jean_rapp"	"C_General_Attacker_Good_1"
"eur_jean_rapp"	"C_General_Brave_2"
"eur_jean_reynier"	"C_General_Good_Field_Commander_1"
"eur_jean_reynier"	"C_General_of_Artillery_2"
"eur_jean_rocques"	"C_Agent_Spy_Network_1"
"eur_jean_rocques"	"C_Rake_Counter_Spy_1"
"eur_jean_say"	"C_Gent_Research_Economics_2"
"eur_jean_say"	"C_Gent_Research_Philosophy_1"
"eur_jean_serurier"	"C_Minister_Army_Good_2"
"eur_jean_soult"	"C_General_Attacker_Good_1"
"eur_jean_soult"	"C_General_Grand_Armee"
"eur_jean_soult"	"C_General_Siege_Attack_Good_1"
"eur_jedrzej_sniadecki"	"C_Gent_Academic_Honours_2"
"eur_jedrzej_sniadecki"	"C_Gent_Research_Philosophy_1"
"eur_jeremy_bentham"	"C_Gent_Research_Economics_1"
"eur_jeremy_bentham"	"C_Gent_Research_Philosophy_2"
"eur_joaquin_blake"	"C_General_Attacker_Good_2"
"eur_joaquin_blake"	"C_General_Good_Field_Commander_2"
"eur_johann_elert_bode"	"C_Gent_Research_Philosophy_1"
"eur_johann_goethe"	"C_Gent_Research_Philosophy_3"
"eur_johann_goethe"	"C_Gent_Science_Club_1"
"eur_johann_gottlieb_fichte"	"C_Gent_Research_Philosophy_2"
"eur_johann_hiller"	"C_General_Defend_Good_3"
"eur_johann_klenau"	"C_General_Ambush_Good_1"
"eur_johann_klenau"	"C_General_Good_Field_Commander_1"
"eur_johann_ludwig"	"C_General_of_Infantry_1"
"eur_johann_ludwig"	"C_General_Prussian_Blue_2"
"eur_johann_riesch"	"C_General_Attacker_Good_1"
"eur_johann_riesch"	"C_General_of_Cavalry_2"
"eur_johann_thielmann"	"C_General_of_Cavalry_1"
"eur_johann_von_radetz"	"C_General_Brave_2"
"eur_johann_von_radetz"	"C_General_Good_Field_Commander_2"
"eur_johannes_joseph"	"C_General_of_Cavalry_2"
