version 1, schema unit_required_technology_junctions_tables
Unit_IDRef(string)	Tech_IDRef(string)
"12_lber_howitzer"	"military_ordnance_explosive_shells"
"12_lber_land_cannon"	"military_ordnance_canister_shot"
"12_lber_land_cannon_indian"	"military_ordnance_canister_shot"
"18_lber_land_cannon_east"	"military_ordnance_canister_shot"
"24_lber_howitzer_ottoman"	"military_ordnance_explosive_shells"
"3_lber_land_cannon_galloper"	"military_ordnance_explosive_shells"
"4_inch_mortar"	"military_ordnance_explosive_shells"
"4_inch_mortar_indian"	"military_ordnance_explosive_shells"
"8_inch_mortar"	"military_ordnance_explosive_shells"
"8_inch_mortar_east"	"military_ordnance_explosive_shells"
"8_inch_mortar_indian"	"military_ordnance_explosive_shells"
"americas_dragoons"	"military_army_carbines"
"bomb_ketch"	"military_ordnance_explosive_shells"
"bomb_ketch_american"	"military_ordnance_explosive_shells"
"bomb_ketch_british"	"military_ordnance_explosive_shells"
"bomb_ketch_french"	"military_ordnance_explosive_shells"
"bomb_ketch_spanish"	"military_ordnance_explosive_shells"
"carronade_frigate"	"military_navy_carronades"
"carronade_frigate_american"	"military_navy_carronades"
"carronade_frigate_british"	"military_navy_carronades"
"carronade_frigate_french"	"military_navy_carronades"
"carronade_frigate_spanish"	"military_navy_carronades"
"cazadores"	"military_army_machined_rifling"
"cossack_cavalry"	"military_army_carbines"
"deli_scouts"	"military_army_carbines"
"east_irregular_cavalry_pindari"	"military_army_carbines"
"east_light_cavalry_qizilbashi"	"military_army_carbines"
"elite_frei-korps"	"military_army_light_infantry_doctrine"
"elite_legion_united_states"	"military_army_light_infantry_doctrine"
"eua_2nd_dragoons"	"military_army_shortened_carbines"
"eua_brunswick_dragoons"	"military_army_carbines"
"eua_hessian_grenadiers"	"military_ordnance_improved_grenades"
"eua_lees_legion"	"military_army_shortened_carbines"
"eua_morgans_rifles"	"military_army_light_infantry_doctrine"
"eua_royal_deux_ponts"	"military_army_new_model_bayonet_drill"
"eua_royal_welch"	"military_army_cadenced_marching"
"eua_tarleton_dragoons"	"military_army_shortened_carbines"
"euro_carabiniers"	"military_army_carbines"
"euro_dragoons"	"military_army_carbines"
"euro_dragoons_austria"	"military_army_carbines"
"euro_dragoons_colonial"	"military_army_carbines"
"euro_dragoons_small"	"military_army_carbines"
"euro_dragoons_sweden"	"military_army_carbines"
"euro_elite_light_infantry"	"military_army_machined_rifling"
"euro_elite_light_infantry_croatian_grenzers"	"military_army_machined_rifling"
"euro_elite_light_infantry_green_jackets"	"military_army_machined_rifling"
"euro_elite_light_infantry_prussian_jaegers"	"military_army_machined_rifling"
"euro_elite_light_infantry_tirailleurs"	"military_army_machined_rifling"
"euro_elite_light_infantry_windbuchse_jaegers"	"military_army_airguns"
"euro_expat_infantry_chasseurs_britannique"	"military_army_light_infantry_doctrine"
"euro_late_riflemen"	"military_army_machined_rifling"
"euro_light_cavalry_chasseurs_a_cheval"	"military_army_carbines"
"euro_light_dragoons"	"military_army_carbines"
"euro_light_dragoons_austria"	"military_army_carbines"
"euro_light_dragoons_sweden"	"military_army_carbines"
"euro_light_infantry"	"military_army_light_infantry_doctrine"
"euro_light_infantry_chasseur_a_pied"	"military_army_light_infantry_doctrine"
"euro_light_infantry_colonial"	"military_army_light_infantry_doctrine"
"euro_light_infantry_jaegers"	"military_army_light_infantry_doctrine"
"ferguson_riflemen"	"military_army_screw_breach"
"nan_cherokee_creek_horse_riders"	"industry_metal_natives_military_gun_dealing"
"nan_cherokee_musketeers"	"industry_metal_natives_military_gun_dealing"
"nan_huron_musketeers"	"industry_metal_natives_military_gun_dealing"
"nan_iroquois_musketeers"	"industry_metal_natives_military_gun_dealing"
"nan_iroquois_onondaga_fire_keepers"	"industry_metal_natives_military_gun_dealing"
"nan_plains_comanche_mounted_warriors"	"industry_metal_natives_military_gun_dealing"
"nan_plains_musketeers"	"industry_metal_natives_military_gun_dealing"
"nan_pueblo_musketeers"	"industry_metal_natives_military_gun_dealing"
"native_american_archers"	"industry_agriculture_natives_culture_spirit_medicine"
"nizam_I_cedit_infantry"	"military_army_european_doctrine"
"nizam_I_cedit_light_infantry"	"military_army_european_doctrine"
"nizam_I_cedit_rifles"	"military_army_european_doctrine"
"nizam_I_cedit_rifles"	"military_army_machined_rifling"
"rocket_ship"	"military_ordnance_explosive_rockets"
"rocket_ship_american"	"military_ordnance_explosive_rockets"
"rocket_ship_british"	"military_ordnance_explosive_rockets"
"rocket_ship_french"	"military_ordnance_explosive_rockets"
"rocket_ship_spanish"	"military_ordnance_explosive_rockets"
"rockets_camel"	"military_ordnance_explosive_rockets"
"rockets_fixed"	"military_ordnance_explosive_rockets"
"eue_mounted_nizam_i_cedit"	"military_army_carbines"
"eue_mounted_nizam_i_cedit"	"military_army_european_doctrine"
