version 2, schema encyclopedia_blocks_tables, guid 54f4ea3f-7f78-438c-be87-573dfe3a56e5
unknown1(string)	unknown2(string)	unknown3(optstring)	unknown4(string)	unknown5(int)	unknown6(string)
"enc_glossary_amaterasu"	"textblock"	nil	"right"	1	"002b_enc_glossary"
"enc_glossary_arquebus"	"textblock"	nil	"right"	2	"002b_enc_glossary"
"enc_glossary_ashigaru"	"textblock"	nil	"right"	3	"002b_enc_glossary"
"enc_glossary_bajutsu"	"textblock"	nil	"right"	4	"002b_enc_glossary"
"enc_glossary_bakuto"	"textblock"	nil	"right"	5	"002b_enc_glossary"
"enc_glossary_biwa"	"textblock"	nil	"right"	6	"002b_enc_glossary"
"enc_glossary_bokken"	"textblock"	nil	"right"	7	"002b_enc_glossary"
"enc_glossary_buddhism"	"textblock"	nil	"right"	8	"002b_enc_glossary"
"enc_glossary_bune"	"textblock"	nil	"right"	9	"002b_enc_glossary"
"enc_glossary_bunraku"	"textblock"	nil	"right"	10	"002b_enc_glossary"
"enc_glossary_burakumin"	"textblock"	nil	"right"	11	"002b_enc_glossary"
"enc_glossary_bushido"	"textblock"	nil	"right"	12	"002b_enc_glossary"
"enc_glossary_chinkasai"	"textblock"	nil	"right"	13	"002b_enc_glossary"
"enc_glossary_chonin"	"textblock"	nil	"right"	14	"002b_enc_glossary"
"enc_glossary_clan"	"textblock"	nil	"right"	15	"002b_enc_glossary"
"enc_glossary_commissioners"	"textblock"	nil	"right"	16	"002b_enc_glossary"
"enc_glossary_daimyo"	"textblock"	nil	"right"	17	"002b_enc_glossary"
"enc_glossary_daisho"	"textblock"	nil	"right"	18	"002b_enc_glossary"
"enc_glossary_dojo"	"textblock"	nil	"right"	19	"002b_enc_glossary"
"enc_glossary_fugu"	"textblock"	nil	"right"	20	"002b_enc_glossary"
"enc_glossary_fujin"	"textblock"	nil	"right"	21	"002b_enc_glossary"
"enc_glossary_fujinsai"	"textblock"	nil	"right"	22	"002b_enc_glossary"
"enc_glossary_gaijin"	"textblock"	nil	"right"	23	"002b_enc_glossary"
"enc_glossary_geisha"	"textblock"	nil	"right"	24	"002b_enc_glossary"
"enc_glossary_go"	"textblock"	nil	"right"	25	"002b_enc_glossary"
"enc_glossary_hachiman"	"textblock"	nil	"right"	26	"002b_enc_glossary"
"enc_glossary_haiku"	"textblock"	nil	"right"	27	"002b_enc_glossary"
"enc_glossary_hanafuda"	"textblock"	nil	"right"	28	"002b_enc_glossary"
"enc_glossary_horo"	"textblock"	nil	"right"	29	"002b_enc_glossary"
"enc_glossary_horoku"	"textblock"	nil	"right"	30	"002b_enc_glossary"
"enc_glossary_iaijutsu"	"textblock"	nil	"right"	31	"002b_enc_glossary"
"enc_glossary_jizamurai"	"textblock"	nil	"right"	32	"002b_enc_glossary"
"enc_glossary_joro"	"textblock"	nil	"right"	33	"002b_enc_glossary"
"enc_glossary_jujutsu"	"textblock"	nil	"right"	34	"002b_enc_glossary"
"enc_glossary_kabuki"	"textblock"	nil	"right"	35	"002b_enc_glossary"
"enc_glossary_kabukimono"	"textblock"	nil	"right"	36	"002b_enc_glossary"
"enc_glossary_kagutsuchi"	"textblock"	nil	"right"	37	"002b_enc_glossary"
"enc_glossary_kami"	"textblock"	nil	"right"	38	"002b_enc_glossary"
"enc_glossary_katana"	"textblock"	nil	"right"	39	"002b_enc_glossary"
"enc_glossary_kenjutsu"	"textblock"	nil	"right"	40	"002b_enc_glossary"
"enc_glossary_kisho"	"textblock"	nil	"right"	41	"002b_enc_glossary"
"enc_glossary_kitsune"	"textblock"	nil	"right"	42	"002b_enc_glossary"
"enc_glossary_kobudo"	"textblock"	nil	"right"	43	"002b_enc_glossary"
"enc_glossary_kodachi"	"textblock"	nil	"right"	44	"002b_enc_glossary"
"enc_glossary_kodama"	"textblock"	nil	"right"	45	"002b_enc_glossary"
"enc_glossary_koku"	"textblock"	nil	"right"	46	"002b_enc_glossary"
"enc_glossary_kote"	"textblock"	nil	"right"	47	"002b_enc_glossary"
"enc_glossary_kumicho"	"textblock"	nil	"right"	48	"002b_enc_glossary"
"enc_glossary_kyoto"	"textblock"	nil	"right"	49	"002b_enc_glossary"
"enc_glossary_kyujutsu"	"textblock"	nil	"right"	50	"002b_enc_glossary"
"enc_glossary_maiko"	"textblock"	nil	"right"	51	"002b_enc_glossary"
"enc_glossary_mangonel"	"textblock"	nil	"right"	52	"002b_enc_glossary"
"enc_glossary_matchlock"	"textblock"	nil	"right"	53	"002b_enc_glossary"
"enc_glossary_meijin"	"textblock"	nil	"right"	54	"002b_enc_glossary"
"enc_glossary_menpo"	"textblock"	nil	"right"	55	"002b_enc_glossary"
"enc_glossary_metsuke"	"textblock"	nil	"right"	56	"002b_enc_glossary"
"enc_glossary_mizu_shobai"	"textblock"	nil	"right"	57	"002b_enc_glossary"
