version 6, schema avatar_ancillaries_to_effects_junctions_tables, guid be6855e0-6717-469c-8afe-52e5a1168bb6
unknown1(string)	unknown2(string)	unknown3(float)	unknown4(boolean)	unknown5(boolean)	unknown6(optstring)	unknown7(int)
"mod_enemy_unit_morale"	"mp_anc_bad_omen"	-1	false	true	"ashigaru_all"	1
"mod_enemy_charge_bonus"	"mp_anc_bandit_horse_thieves"	-5	false	true	"cavalry_all"	1
"mod_melee_attack"	"mp_anc_blade_master"	2	false	false	"sword_inf"	1
"mod_armour"	"mp_anc_blessed_kote_armoured_sleeves"	1	false	false	"monk_all"	1
"mod_marksmanship"	"mp_anc_blind_bow_sensei"	5	false	false	"archery_all"	1
"mod_enemy_unit_speed"	"mp_anc_camp_sickness"	-0.15	false	true	"missile_all"	0
"mod_unit_morale"	"mp_anc_cavalry_officer"	1	false	false	"cavalry_all"	1
"mod_enemy_reload_speed"	"mp_anc_cold_snap"	-10	false	true	"archery_all"	0
"mod_enemy_reload_speed"	"mp_anc_damp_powder"	-10	false	true	"matchlock_all"	0
"mod_melee_defence"	"mp_anc_drill_square"	1	false	false	"naginata_inf"	1
"mod_marksmanship"	"mp_anc_european_gunsmith"	5	false	false	"matchlock_all"	1
"mod_unit_speed"	"mp_anc_european_horse_trader"	1.05	true	false	"cavalry_all"	1
"mod_reload_speed"	"mp_anc_expert_gun_instructor"	5	false	false	"matchlock_all"	1
"mod_armour"	"mp_anc_famous_armoury"	1	false	false	"melee_inf"	1
"mod_stamina"	"mp_anc_forage_parties"	-0.1	false	false	"cavalry_all"	0
"mod_replenishment_rate"	"mp_anc_garden_of_convalescence"	2	false	false	"all_units"	0
"cancel_enemy_ancillary_effect_metsuke_inspector"	"mp_anc_geisha_poisoner"	1	false	true	nil	0
"mod_enemy_avatar_cooldowns"	"mp_anc_geisha_poisoner"	1.1	true	true	"avatar"	1
"mod_unit_morale"	"mp_anc_genpei_benkei"	2	false	false	"naginata_monk_hero"	1
"mod_charge_bonus"	"mp_anc_genpei_enryakuji_fugitive"	2	false	false	"naginata_attendants"	1
"mod_melee_attack"	"mp_anc_genpei_enryakuji_fugitive"	1	false	false	"naginata_attendants"	2
"mod_melee_attack"	"mp_anc_genpei_honourable_attendant"	2	false	false	"sword_attendants"	1
"mod_melee_attack"	"mp_anc_genpei_ichirai_hoshi"	5	false	false	"katana_hero"	1
"mod_unit_morale"	"mp_anc_genpei_ichirai_hoshi"	1	false	false	"katana_hero"	2
"mod_enemy_charge_bonus"	"mp_anc_genpei_junsatsushi_inspector"	-5	false	true	"attendants_all"	2
"mod_enemy_unit_morale"	"mp_anc_genpei_junsatsushi_inspector"	-1	false	true	"attendants_all"	1
"gate_opening_chance"	"mp_anc_genpei_monomi_spy"	1	false	true	nil	1
"mod_melee_attack"	"mp_anc_genpei_monomi_spy"	3	false	false	"ninja"	2
"mod_melee_defence"	"mp_anc_genpei_monomi_spy"	3	false	false	"ninja"	3
"mod_unit_speed"	"mp_anc_genpei_monomi_spy"	1.25	true	false	"ninja"	4
"mod_marksmanship"	"mp_anc_genpei_nasu_no_yoichi"	5	false	false	"samurai_infantry_bow"	3
"mod_melee_attack"	"mp_anc_genpei_nasu_no_yoichi"	-2	false	false	"samurai_infantry_bow"	1
"mod_melee_defence"	"mp_anc_genpei_nasu_no_yoichi"	-2	false	false	"samurai_infantry_bow"	2
"mod_reload_speed"	"mp_anc_genpei_nasu_no_yoichi"	5	false	false	"samurai_infantry_bow"	4
"mod_unit_cost"	"mp_anc_genpei_shirabyoshi_dancer"	1.05	true	false	"monk_all"	2
"mod_unit_morale"	"mp_anc_genpei_shirabyoshi_dancer"	1	false	false	"veteran"	1
"mod_unit_cost"	"mp_anc_genpei_sou_monk"	1.1	true	false	"veteran"	2
"mod_unit_morale"	"mp_anc_genpei_sou_monk"	1	false	false	"monk_all"	1
"mod_armour"	"mp_anc_genpei_tajima_arrow_cutter"	2	false	false	"naginata_monk_hero"	1
"mod_melee_defence"	"mp_anc_gokamon_bodyguard"	6	false	false	"avatar"	1
"enable_ability_scare_enemies"	"mp_anc_gosha_odosama_samurai_priest"	-1	false	false	"avatar"	0
"mod_avatar_hp"	"mp_anc_hero_worshipping_boy"	2	false	false	"avatar"	1
"mod_marksmanship"	"mp_anc_huntsmen"	2	false	false	"ashigaru_bow"	1
"mod_unit_speed"	"mp_anc_indefatigable"	1.1	true	false	"monk_all"	1
"mod_unit_morale"	"mp_anc_infantry_officer"	1	false	false	"melee_inf_samurai"	1
"mod_unit_cost"	"mp_anc_inspiring_orator"	0.9	true	false	"ashigaru_all"	1
"mod_armour"	"mp_anc_kacchu_mochi_armour_bearer"	4	false	false	"avatar"	1
"enable_ability_armour_piercing_melee"	"mp_anc_katana_of_the_pure_land"	1	false	false	"avatar"	0
"mod_unit_speed"	"mp_anc_lightweiught_gunjingura_war_saddle"	1.1	true	false	"cavalry_all"	1
"mod_enemy_unit_speed"	"mp_anc_livestock_pestilence"	-0.1	false	true	"cavalry_all"	0
"mod_charge_bonus"	"mp_anc_lotus_sect_adherent"	5	false	false	"monk_all"	1
"mod_avatar_hp"	"mp_anc_loyal_fudai_shu_retainers"	2	false	false	"avatar"	1
"mod_unit_morale"	"mp_anc_mark_of_fantacism"	5	false	false	"avatar"	1
"cancel_enemy_ancillary_effect_shinobi_informer"	"mp_anc_metsuke_inspector"	1	false	true	nil	0
"enable_ability_anti_rally"	"mp_anc_metsuke_inspector"	1	false	false	"avatar"	1
"mod_stamina"	"mp_anc_military_storehouse"	-0.1	false	false	"melee_inf"	0
"mod_charge_bonus"	"mp_anc_mochiyari_gumi_spear_bearer"	5	false	false	"avatar"	1
"mod_enemy_stamina"	"mp_anc_mouldy_feed_stocks"	-0.1	false	true	"cavalry_all"	0
"mod_distance_to_spot_enemies"	"mp_anc_mounted_scout"	30	false	false	"all_units"	0
"enable_unit_selection_ninja"	"mp_anc_ninja_jonin"	1	false	false	"ninja"	0
"mod_ammo_quantity"	"mp_anc_open_basketwork_quivers"	5	false	false	"archery_all"	1
"enable_unit_selection_siege_engines"	"mp_anc_ox_carts"	1	false	false	"siege"	0
"mod_melee_attack"	"mp_anc_portable_shrine"	2	false	false	"monk_all"	1
"mod_melee_attack"	"mp_anc_practice_grounds"	2	false	false	"cavalry_melee"	1
"mod_unit_morale"	"mp_anc_productive_rice_paddy"	1	false	false	"ashigaru_all"	1
"mod_melee_attack"	"mp_anc_rennyos_teachings"	-1	false	false	"all_units"	1
"mod_melee_defence"	"mp_anc_rennyos_teachings"	3	false	false	"all_units"	2
"mod_reload_speed"	"mp_anc_rennyos_teachings"	-10	false	false	"all_units"	3
"mod_unit_morale"	"mp_anc_rennyos_teachings"	1	false	false	"all_units"	4
"cancel_enemy_ancillary_effect_wizened_monk"	"mp_anc_sage_advisor"	1	false	true	nil	0
"mod_unit_cooldowns"	"mp_anc_sage_advisor"	0.9	true	false	"all_units"	1
"mod_enemy_marksmanship"	"mp_anc_sake_peddler"	-5	false	true	"missile_all"	1
"mod_melee_attack"	"mp_anc_scroll_of_inspirational_verse"	4	false	false	"avatar"	1
