version 1, schema warscape_naval_lod_tables
Random_x0020_Number(string)	Modelpath(string)	unknown3(string)	unknown4(string)	Ship_x0020_ID(string)
"-1971882272"	"RigidModels\\naval\\merchant_64\\ship.rigid_naval_model"	""	""	"merchant_64"
"-1924786704"	"RigidModels\\naval\\1deck24\\ship.rigid_naval_model"	""	""	"1deck24"
"-1825162205"	"RigidModels\\naval\\1deck32\\ship.rigid_naval_model"	""	""	"1deck32"
"-1611082516"	"RigidModels\\naval\\sloop\\ship.rigid_naval_model"	""	""	"sloop"
"-1082240321"	"RigidModels\\naval\\dhow\\ship.rigid_naval_model"	""	""	"dhow"
"-871305609"	"RigidModels\\naval\\rocket_ship\\ship.rigid_naval_model"	""	""	"rocket_ship"
"-21798282"	"RigidModels\\naval\\brig\\ship.rigid_naval_model"	""	""	"brig"
"-2962557"	"RigidModels\\naval\\3deck98\\ship.rigid_naval_model"	""	""	"3deck98"
"421346261"	"RigidModels\\naval\\2deck74\\ship.rigid_naval_model"	""	""	"2deck74"
"606442245"	"RigidModels\\naval\\galley\\ship.rigid_naval_model"	""	""	"galley"
"769964046"	"RigidModels\\naval\\razee44\\ship.rigid_naval_model"	""	""	"razee44"
"1047411211"	"RigidModels\\naval\\3deck100\\ship.rigid_naval_model"	""	""	"3deck100"
"1260799150"	"RigidModels\\naval\\4deck140\\ship.rigid_naval_model"	""	""	"4deck140"
"-588355945"	"RigidModels\\naval\\4deck120\\ship.rigid_naval_model"	""	""	"4deck120"
"-120343924"	"RigidModels\\naval\\2deck80_steam\\ship.rigid_naval_model"	""	""	"2deck80_steam"
"-694146403"	"RigidModels\\naval\\1deck38_steam\\ship.rigid_naval_model"	""	""	"1deck38_steam"
"-156202086"	"RigidModels\\naval\\1deck38\\ship.rigid_naval_model"	""	""	"1deck38"
"1593107987"	"RigidModels\\naval\\2deck80\\ship.rigid_naval_model"	""	""	"2deck80"
"495027032"	"RigidModels\\naval\\steam_frigate\\ship.rigid_naval_model"	""	""	"steam_frigate"
"-1446697351"	"RigidModels\\naval\\2deck64\\ship.rigid_naval_model"	""	""	"2deck64"
"-109545146"	"RigidModels\\naval\\bomb_ketch\\ship.rigid_naval_model"	""	""	"bomb_ketch"
"1250765945"	"RigidModels\\naval\\hms_elephant\\ship.rigid_naval_model"	""	""	"hms_elephant"
"-1969081009"	"RigidModels\\naval\\2deck80_ironclad\\ship.rigid_naval_model"	""	""	"2deck80_ironclad"
"589846756"	"RigidModels\\naval\\2deck58\\ship.rigid_naval_model"	""	""	"2deck58"
"854882325"	"RigidModels\\naval\\3deck80\\ship.rigid_naval_model"	""	""	"3deck80"
"-182715982"	"RigidModels\\naval\\2deck50\\ship.rigid_naval_model"	""	""	"2deck50"
