version 1, schema ancillary_types_tables, guid 58253966-82fe-4ce4-90a1-23ca64a5504f
Ancillary_Type_ID(string)	Picture_Path(string)
"PH"	"placeholder.tga"
"actor_bunraku"	"actor_bunraku.tga"
"actor_kabuki"	"actor_kabuki.tga"
"animal_dog"	"animal_dog.tga"
"animal_fish"	"animal_fish.tga"
"animal_horse"	"animal_horse.tga"
"animal_monkey"	"animal_monkey.tga"
"archery_target"	"archery_target.tga"
"armour_breastplate_european"	"armour_breastplate_european.tga"
"armour_helmet_european"	"armour_helmet_european.tga"
"armour_samurai"	"armour_samurai.tga"
"ashigaru"	"ashigaru.tga"
"bos_European_sword"	"bos_European_sword.tga"
"bos_accordion"	"bos_accordion.tga"
"bos_american_businessman"	"bos_american_businessman.tga"
"bos_angry_scotsman"	"bos_angry_scotsman.tga"
"bos_animal_dog"	"bos_animal_dog.tga"
"bos_animal_fish"	"bos_animal_fish.tga"
"bos_animal_horse"	"bos_animal_horse.tga"
"bos_animal_oriental_cat"	"bos_animal_oriental_cat.tga"
"bos_baseball_bat"	"bos_baseball_bat.tga"
"bos_bayonet"	"bos_bayonet.tga"
"bos_binoculars"	"bos_binoculars.tga"
"bos_bladed_fan"	"bos_bladed_fan.tga"
"bos_book"	"bos_book.tga"
"bos_camera"	"bos_camera.tga"
"bos_cigars"	"bos_cigars.tga"
"bos_confederate_soldier"	"bos_confederate_soldier.tga"
"bos_courtier_educated"	"bos_courtier_educated.tga"
"bos_cricket_bat"	"bos_cricket_bat.tga"
"bos_criminal_tatoos"	"bos_criminal_tatoos.tga"
"bos_cuffs_of_american_military_uniform"	"bos_cuffs_of_american_military_uniform.tga"
"bos_cuffs_of_european_military_uniform"	"bos_cuffs_of_european_military_uniform.tga"
"bos_dagger"	"bos_dagger.tga"
"bos_diving_helmet"	"bos_diving_helmet.tga"
"bos_euphonium"	"bos_euphonium.tga"
"bos_european_chef"	"bos_european_chef.tga"
"bos_european_gent"	"bos_european_gent.tga"
"bos_european_lady"	"bos_european_lady.tga"
"bos_geisha_neat"	"bos_geisha_neat.tga"
"bos_globe"	"bos_globe.tga"
"bos_hot_air_balloon"	"bos_hot_air_balloon.tga"
"bos_item_game_piece"	"bos_item_game_piece.tga"
"bos_japanese_suit"	"bos_japanese_suit.tga"
"bos_jar_of_bovril"	"bos_jar_of_bovril.tga"
"bos_karakuri_ningyo"	"bos_karakuri_ningyo.tga"
"bos_lunatic_wild_hair"	"bos_lunatic_wild_hair.tga"
"bos_mechanical_clock"	"bos_mechanical_clock.tga"
"bos_ninja"	"bos_ninja.tga"
"bos_opium_pipe"	"bos_opium_pipe.tga"
"bos_peasant_townsman"	"bos_peasant_townsman.tga"
"bos_pen"	"bos_pen.tga"
"bos_perfume_bottle"	"bos_perfume_bottle.tga"
"bos_phonograph"	"bos_phonograph.tga"
"bos_photographic_portrait"	"bos_photographic_portrait.tga"
"bos_piano"	"bos_piano.tga"
"bos_pistol"	"bos_pistol.tga"
"bos_precision_instrument"	"bos_precision_instrument.tga"
"bos_rifle"	"bos_rifle.tga"
"bos_roller_stakes"	"bos_roller_stakes.tga"
"bos_samurai_armour"	"bos_samurai_armour.tga"
"bos_samurai_civilian_dress"	"bos_samurai_civilian_dress.tga"
"bos_semaphore_flags"	"bos_semaphore_flags.tga"
"bos_serene_monk"	"bos_serene_monk.tga"
"bos_shamisen"	"bos_shamisen.tga"
"bos_silk_top_hat"	"bos_silk_top_hat.tga"
"bos_slide_rule"	"bos_slide_rule.tga"
"bos_snow_shoes"	"bos_snow_shoes.tga"
"bos_spiked_german_pipe"	"bos_spiked_german_pipe.tga"
"bos_stethoscope"	"bos_stethoscope.tga"
"bos_sumo_lardy"	"bos_sumo_lardy.tga"
"bos_tennis_racket"	"bos_tennis_racket.tga"
"bos_tim_lewis"	"bos_tim_lewis.tga"
"bos_traditional_war_banner"	"bos_traditional_war_banner.tga"
"bos_weapon_matchlock"	"bos_weapon_matchlock.tga"
"bos_weapon_sword_japanese"	"bos_weapon_sword_japanese.tga"
"bos_weapon_sword_wooden"	"bos_weapon_sword_wooden.tga"
"bos_weapon_throwing_stars"	"bos_weapon_throwing_stars.tga"
"bos_weapon_tiger_claws"	"bos_weapon_tiger_claws.tga"
"bos_wig"	"bos_wig.tga"
"bos_wine_bottle"	"bos_wine_bottle.tga"
"ceremonial_drum"	"ceremonial_drum.tga"
"cherry_blossom"	"cherry_blossom.tga"
"courtier_chinese"	"courtier_chinese.tga"
"courtier_educated"	"courtier_educated.tga"
"cricket"	"cricket.tga"
"criminal_tattoos"	"criminal_tattoos.tga"
"dagger"	"dagger.tga"
"dragon"	"dragon.tga"
"european_churchman"	"european_churchman.tga"
"european_dutchman"	"european_dutchman.tga"
"european_spaniard"	"european_spaniard.tga"
"geisha_neat"	"geisha_neat.tga"
"golden_image_of_buddha"	"golden_image_of_buddha.tga"
"household_functionary"	"household_functionary.tga"
"item_game_piece"	"item_game_piece.tga"
"item_shiny_thing"	"item_shiny_thing.tga"
"komuso"	"komuso.tga"
"lunatic_moon_rabbit"	"lunatic_moon_rabbit.tga"
"lunatic_wild_hair"	"lunatic_wild_hair.tga"
"master_craftsman_mature"	"master_craftsman_mature.tga"
"monk_serene"	"monk_serene.tga"
"monk_wild_eyed"	"monk_wild_eyed.tga"
"mp_anc_admiral_icon"	"mp_anc_admiral_icon.tga"
"mp_anc_artisan_sailmaker_icon"	"mp_anc_artisan_sailmaker_icon.tga"
"mp_anc_artisan_shipwright_icon"	"mp_anc_artisan_shipwright_icon.tga"
"mp_anc_bad_omen_icon"	"mp_anc_bad_omen_icon.tga"
"mp_anc_bandit_horse_thieves_icon"	"mp_anc_bandit_horse_thieves_icon.tga"
"mp_anc_benkei_icon"	"mp_anc_benkei_icon.tga"
"mp_anc_blade_master_icon"	"mp_anc_blade_master_icon.tga"
"mp_anc_blessed_kote_armoured_sleeves_icon"	"mp_anc_blessed_kote_armoured_sleeves_icon.tga"
"mp_anc_blind_bow_sensei_icon"	"mp_anc_blind_bow_sensei_icon.tga"
"mp_anc_camp_sickness_icon"	"mp_anc_camp_sickness_icon.tga"
"mp_anc_cavalry_officer_icon"	"mp_anc_cavalry_officer_icon.tga"
"mp_anc_cold_snap_icon"	"mp_anc_cold_snap_icon.tga"
"mp_anc_contrary_currents_icon"	"mp_anc_contrary_currents_icon.tga"
"mp_anc_damp_powder_icon"	"mp_anc_damp_powder_icon.tga"
"mp_anc_dissolute_crew_icon"	"mp_anc_dissolute_crew_icon.tga"
"mp_anc_drill_square_icon"	"mp_anc_drill_square_icon.tga"
"mp_anc_enryakuji_fugitive_icon"	"mp_anc_enryakuji_fugitive_icon.tga"
"mp_anc_european_gunsmith_icon"	"mp_anc_european_gunsmith_icon.tga"
"mp_anc_european_horse_trader_icon"	"mp_anc_european_horse_trader_icon.tga"
"mp_anc_expert_gun_instructor_icon"	"mp_anc_expert_gun_instructor_icon.tga"
"mp_anc_famous_armoury_icon"	"mp_anc_famous_armoury_icon.tga"
"mp_anc_famous_shipyard_icon"	"mp_anc_famous_shipyard_icon.tga"
"mp_anc_forage_parties_icon"	"mp_anc_forage_parties_icon.tga"
"mp_anc_fur_trader_icon"	"mp_anc_fur_trader_icon.tga"
"mp_anc_garden_of_convalescence_icon"	"mp_anc_garden_of_convalescence_icon.tga"
"mp_anc_geisha_poisoner_icon"	"mp_anc_geisha_poisoner_icon.tga"
"mp_anc_gokamon_bodyguard_icon"	"mp_anc_gokamon_bodyguard_icon.tga"
"mp_anc_gosha_odosama_samurai_priest_icon"	"mp_anc_gosha_odosama_samurai_priest_icon.tga"
"mp_anc_gunnery_range_icon"	"mp_anc_gunnery_range_icon.tga"
"mp_anc_hero_worshipping_boy_icon"	"mp_anc_hero_worshipping_boy_icon.tga"
"mp_anc_honourable_attendant_icon"	"mp_anc_honourable_attendant_icon.tga"
"mp_anc_huntsmen_icon"	"mp_anc_huntsmen_icon.tga"
"mp_anc_ichirai_hoshi_icon"	"mp_anc_ichirai_hoshi_icon.tga"
"mp_anc_ill_wind_icon"	"mp_anc_ill_wind_icon.tga"
"mp_anc_indefatigable_icon"	"mp_anc_indefatigable_icon.tga"
