version 1, schema campaign_ai_character_skill_tree_junctions_tables, guid 799ac7f1-14a6-4768-b9b8-02c537edf7bb
unknown1(string)	unknown2(int)	unknown3(string)
"general_ashigaru"	10	"general_admiral"
"general_ashigaru"	10	"general_ambush"
"general_ashigaru"	70	"general_ashigaru_general"
"general_ashigaru"	10	"general_cavalry_commander"
"general_ashigaru"	10	"general_diehard_fighter"
"general_ashigaru"	10	"general_field_attacker"
"general_ashigaru"	10	"general_field_defender"
"general_ashigaru"	10	"general_honourable"
"general_ashigaru"	60	"general_infantry_leader"
"general_ashigaru"	10	"general_inspirational"
"general_ashigaru"	10	"general_intimidating"
"general_ashigaru"	10	"general_legendary_warrior"
"general_ashigaru"	10	"general_living_treasure"
"general_ashigaru"	30	"general_master_horseman"
"general_ashigaru"	10	"general_master_swordsman"
"general_ashigaru"	10	"general_pirate"
"general_ashigaru"	10	"general_poet"
"general_ashigaru"	10	"general_religious"
"general_ashigaru"	60	"general_siege_attacker"
"general_ashigaru"	40	"general_siege_defender"
"general_ashigaru"	50	"general_strategist"
"general_ashigaru"	10	"general_warrior"
"general_horseman"	10	"general_admiral"
"general_horseman"	10	"general_ambush"
"general_horseman"	10	"general_ashigaru_general"
"general_horseman"	60	"general_cavalry_commander"
"general_horseman"	60	"general_diehard_fighter"
"general_horseman"	70	"general_field_attacker"
"general_horseman"	10	"general_field_defender"
"general_horseman"	40	"general_honourable"
"general_horseman"	10	"general_infantry_leader"
"general_horseman"	10	"general_inspirational"
"general_horseman"	50	"general_intimidating"
"general_horseman"	10	"general_legendary_warrior"
"general_horseman"	10	"general_living_treasure"
"general_horseman"	70	"general_master_horseman"
"general_horseman"	10	"general_master_swordsman"
"general_horseman"	10	"general_pirate"
"general_horseman"	30	"general_poet"
"general_horseman"	10	"general_religious"
"general_horseman"	10	"general_siege_attacker"
"general_horseman"	10	"general_siege_defender"
"general_horseman"	50	"general_strategist"
"general_horseman"	50	"general_warrior"
"general_ninja"	1	"general_admiral"
"general_ninja"	100	"general_ambush"
"general_ninja"	20	"general_ashigaru_general"
"general_ninja"	20	"general_cavalry_commander"
"general_ninja"	20	"general_diehard_fighter"
"general_ninja"	20	"general_field_attacker"
"general_ninja"	20	"general_field_defender"
"general_ninja"	10	"general_honourable"
"general_ninja"	20	"general_infantry_leader"
"general_ninja"	5	"general_inspirational"
"general_ninja"	20	"general_intimidating"
"general_ninja"	20	"general_legendary_warrior"
"general_ninja"	5	"general_living_treasure"
"general_ninja"	20	"general_master_horseman"
"general_ninja"	20	"general_master_swordsman"
"general_ninja"	1	"general_pirate"
"general_ninja"	10	"general_poet"
"general_ninja"	5	"general_religious"
"general_ninja"	20	"general_siege_attacker"
"general_ninja"	20	"general_siege_defender"
"general_ninja"	20	"general_strategist"
"general_ninja"	20	"general_warrior"
"general_pirate"	60	"general_admiral"
"general_pirate"	60	"general_ambush"
"general_pirate"	10	"general_ashigaru_general"
"general_pirate"	10	"general_cavalry_commander"
"general_pirate"	60	"general_diehard_fighter"
"general_pirate"	10	"general_field_attacker"
"general_pirate"	10	"general_field_defender"
"general_pirate"	10	"general_honourable"
"general_pirate"	10	"general_infantry_leader"
"general_pirate"	10	"general_inspirational"
"general_pirate"	10	"general_intimidating"
"general_pirate"	10	"general_legendary_warrior"
"general_pirate"	10	"general_living_treasure"
"general_pirate"	10	"general_master_horseman"
"general_pirate"	70	"general_master_swordsman"
"general_pirate"	80	"general_pirate"
"general_pirate"	10	"general_poet"
"general_pirate"	10	"general_religious"
"general_pirate"	10	"general_siege_attacker"
"general_pirate"	10	"general_siege_defender"
"general_pirate"	50	"general_strategist"
"general_pirate"	50	"general_warrior"
"general_poet"	10	"general_admiral"
"general_poet"	10	"general_ambush"
"general_poet"	10	"general_ashigaru_general"
"general_poet"	10	"general_cavalry_commander"
"general_poet"	10	"general_diehard_fighter"
"general_poet"	10	"general_field_attacker"
"general_poet"	10	"general_field_defender"
"general_poet"	50	"general_honourable"
"general_poet"	10	"general_infantry_leader"
"general_poet"	50	"general_inspirational"
"general_poet"	10	"general_intimidating"
"general_poet"	10	"general_legendary_warrior"
"general_poet"	50	"general_living_treasure"
"general_poet"	10	"general_master_horseman"
"general_poet"	10	"general_master_swordsman"
"general_poet"	10	"general_pirate"
"general_poet"	50	"general_poet"
"general_poet"	50	"general_religious"
"general_poet"	10	"general_siege_attacker"
"general_poet"	10	"general_siege_defender"
"general_poet"	10	"general_strategist"
"general_poet"	10	"general_warrior"
"general_strategist"	50	"general_admiral"
"general_strategist"	10	"general_ambush"
"general_strategist"	50	"general_ashigaru_general"
"general_strategist"	50	"general_cavalry_commander"
"general_strategist"	10	"general_diehard_fighter"
"general_strategist"	50	"general_field_attacker"
"general_strategist"	50	"general_field_defender"
"general_strategist"	10	"general_honourable"
