version 1, schema agent_culture_details_tables
Agent_IDRef(string)	Culture(string)	Model_x0020_Path(string)	Bodyguard_Unit(optstring)
"admiral"	"european"	"euro_campaign_admiralship_weighted"	nil
"admiral"	"indian"	"east_campaign_admiralship_weighted"	nil
"admiral"	"middle_east"	"east_campaign_admiralship_weighted"	nil
"assassin"	"indian"	"campaign_indian_thuggee"	nil
"assassin"	"middle_east"	"Campaign_ottoman_assassin"	nil
"bandit"	"european"	"Campaign_euro_rake"	nil
"bandit"	"indian"	"campaign_indian_thuggee"	nil
"bandit"	"middle_east"	"Campaign_ottoman_assassin"	nil
"bandit"	"tribal"	"Campaign_Native_American_Spy"	nil
"bandit"	"tribal_playable"	"Campaign_Native_American_Spy"	nil
"captain"	"european"	"euro_campaign_ship_weighted"	nil
"captain"	"indian"	"east_campaign_ship_weighted"	nil
"captain"	"middle_east"	"east_campaign_ship_weighted"	nil
"captain"	"tribal"	"east_campaign_ship_weighted"	nil
"captain"	"tribal_playable"	"east_campaign_ship_weighted"	nil
"catholic_missionary"	"european"	"Campaign_Euro_Catholic_Priest"	nil
"colonel"	"european"	"campaign_euro_colonel"	nil
"colonel"	"indian"	"campaign_indian_colonel"	nil
"colonel"	"middle_east"	"Campaign_ottoman_colonel"	nil
"colonel"	"tribal"	"campaign_native_american_general"	nil
"colonel"	"tribal_playable"	"campaign_native_american_general"	nil
"Eastern_Scholar"	"indian"	"campaign_indian_scholar"	nil
"Eastern_Scholar"	"middle_east"	"campaign_ottoman_scholar"	nil
"General"	"european"	"campaign_euro_general"	"euro_generals_bodyguard"
"General"	"indian"	"campaign_indian_general"	"indian_generals_bodyguard"
"General"	"middle_east"	"Campaign_ottoman_general"	"ottoman_generals_bodyguard"
"General"	"tribal"	"campaign_native_american_general"	"native_american_generals_bodyguard"
"General"	"tribal_playable"	"campaign_native_american_general"	"nan_plains_generals_bodyguard"
"gentleman"	"european"	"campaign_euro_gentleman"	nil
"indian_missionary"	"indian"	"campaign_indian_brahmin"	nil
"middle_east_missionary"	"indian"	"campaign_ottoman_imam"	nil
"middle_east_missionary"	"middle_east"	"campaign_ottoman_imam"	nil
"minister"	"european"	"campaign_soldier"	nil
"minister"	"indian"	"campaign_soldier"	nil
"minister"	"middle_east"	"campaign_soldier"	nil
"minister"	"tribal"	"campaign_soldier"	nil
"minister"	"tribal_playable"	"campaign_soldier"	nil
"orthodox_missionary"	"european"	"Campaign_euro_orthodox_missionary"	nil
"pirate"	"european"	"euro_campaign_ship_weighted"	nil
"pirate"	"indian"	"euro_campaign_ship_weighted"	nil
"pirate"	"middle_east"	"euro_campaign_ship_weighted"	nil
"pirate"	"tribal"	"euro_campaign_ship_weighted"	nil
"pirate"	"tribal_playable"	"euro_campaign_ship_weighted"	nil
"Protestant_Missionary"	"european"	"Campaign_euro_protestant_missionary"	nil
"rake"	"european"	"Campaign_euro_rake"	nil
"rake"	"tribal"	"Campaign_Native_American_Spy"	nil
"scout"	"tribal_playable"	"campaign_native_american_scout"	nil
"shaman"	"middle_east"	"campaign_ottoman_imam"	nil
"medicine_man"	"tribal_playable"	"campaign_native_american_Shaman"	nil
