version 1, schema character_traits_tables
Trait_ID(string)	Unknown1(int)	Unknown2(boolean)	Unknown3(int)	Trait_Category(string)
"C_Admiral_Attacker_Bad"	3	false	2	"Naval"
"C_Admiral_Attacker_Good"	3	false	3	"Naval"
"C_Admiral_Bad"	3	false	2	"Naval"
"C_Admiral_Blockade_Runner_Good"	3	false	3	"Naval"
"C_Admiral_Blockader_Good"	3	false	3	"Naval"
"C_Admiral_Boring_Speaker"	2	false	1	"Character Quirk"
"C_Admiral_Born_Sailor"	1	false	1	"Character Quirk"
"C_Admiral_Brave"	3	false	3	"Character Quirk"
"C_Admiral_British_Drakes_Drum"	1	false	1	"Character Quirk"
"C_Admiral_Coward"	3	false	2	"Character Quirk"
"C_Admiral_Cruisers"	3	false	3	"Naval"
"C_Admiral_Defender_Bad"	3	false	2	"Naval"
"C_Admiral_Defender_Good"	3	false	3	"Naval"
"C_Admiral_Drunkard"	3	false	2	"Character Quirk"
"C_Admiral_Dutch_Seamanship"	1	false	1	"Character Quirk"
"C_Admiral_Good"	3	false	3	"Naval"
"C_Admiral_Lampooned"	3	false	2	"Character Quirk"
"C_Admiral_Mad"	1	false	2	"Character Quirk"
"C_Admiral_Martinet"	1	false	3	"Character Quirk"
"C_Admiral_Mathematician"	1	false	3	"Character Quirk"
"C_Admiral_Press_Hero"	3	false	3	"Naval"
"C_Admiral_Rated_Ships"	3	false	3	"Naval"
"C_Admiral_Slacker"	1	false	2	"Character Quirk"
"C_Admiral_Sobriety"	1	false	2	"Character Quirk"
"C_Admiral_Spanish_National_Pride"	1	false	1	"Character Quirk"
"C_Admiral_Swashbuckling"	1	false	3	"Character Quirk"
"C_Agent_Secret_Police"	1	false	3	"Espionage"
"C_Agent_Spy_Network"	1	false	3	"Espionage"
"C_Feck_Vice"	3	false	1	"Character Quirk"
"C_General_Ambush_Good"	3	false	3	"Military"
"C_General_Ambusher_Bad"	3	false	2	"Military"
"C_General_Attacker_Bad"	3	false	2	"Military"
"C_General_Attacker_Good"	3	false	3	"Military"
"C_General_Austrian_Hates_Ottomans"	1	false	1	"Character Quirk"
"C_General_Bad_Field_Commander"	3	false	2	"Military"
