version 1, schema unit_required_technology_junctions_tables
Unit_IDRef(string)	Tech_IDRef(string)
"Art_Fix_Austrian_Rocket_Troop"	"military5_rockets"
"Art_Fix_British_Rocket_Troop"	"military5_rockets"
"Art_Fix_French_Rocket_Troop"	"military5_rockets"
"Art_Fix_Prussian_Rocket_Troop"	"military5_rockets"
"Art_Fix_Russian_Rocket_Troop"	"military5_rockets"
"Art_Foot_Austrian_Experimental_Howitzer"	"military3_carcass_shot"
"Art_Foot_British_Experimental_Howitzer"	"military3_carcass_shot"
"Art_Foot_French_Experimental_Howitzer"	"military3_carcass_shot"
"Art_Foot_Prussian_Experimental_Howitzer"	"military3_carcass_shot"
"Art_Foot_Russian_Experimental_Howitzer"	"military3_carcass_shot"
"Frigate_British_Carronade_Frigate"	"military1_carronade"
"Frigate_Carronade_Frigate"	"military1_carronade"
"Frigate_French_Carronade_Frigate"	"military1_carronade"
"Frigate_Spanish_Carronade_Frigate"	"military1_carronade"
"Inf_Skirm_Austrian_Windbucshe_Jager"	"military4_modern_rifles"
"Inf_Skirm_British_Rifles"	"military4_modern_rifles"
"Inf_Skirm_Nizam_I_Cedit_Rifles"	"military4_modern_rifles"
"Inf_Skirm_Prussian_Silesian_Schuetzen"	"military4_modern_rifles"
"Steam_Ship_38"	"economy3_screw_propeller"
"Steam_Ship_38"	"military4_uniform_armament"
"Steam_Ship_80"	"economy3_screw_propeller"
"Steam_Ship_80"	"military4_uniform_armament"
"Steam_Ship_British_38"	"economy3_screw_propeller"
"Steam_Ship_British_38"	"military4_uniform_armament"
"Steam_Ship_British_80"	"economy3_screw_propeller"
"Steam_Ship_British_80"	"military4_uniform_armament"
"Steam_Ship_British_Frigate"	"economy3_steam_ship_propulsion"
"Steam_Ship_British_Ironclad"	"economy3_screw_propeller"
"Steam_Ship_British_Ironclad"	"military5_iron_plating"
"Steam_Ship_French_38"	"economy3_screw_propeller"
"Steam_Ship_French_38"	"military4_uniform_armament"
"Steam_Ship_French_80"	"economy3_screw_propeller"
"Steam_Ship_French_80"	"military4_uniform_armament"
"Steam_Ship_French_Frigate"	"economy3_steam_ship_propulsion"
"Steam_Ship_French_Ironclad"	"economy3_screw_propeller"
"Steam_Ship_French_Ironclad"	"military5_iron_plating"
"Steam_Ship_Frigate"	"economy3_steam_ship_propulsion"
"Steam_Ship_Ironclad"	"economy3_screw_propeller"
"Steam_Ship_Ironclad"	"military5_iron_plating"
"Steam_Ship_Spain_38"	"economy3_screw_propeller"
"Steam_Ship_Spain_38"	"military4_uniform_armament"
"Steam_Ship_Spain_80"	"economy3_screw_propeller"
"Steam_Ship_Spain_80"	"military4_uniform_armament"
"Steam_Ship_Spain_Ironclad"	"economy3_screw_propeller"
"Steam_Ship_Spain_Ironclad"	"military5_iron_plating"
"Inf_Skirm_French_Contra-Guerillas"	"military3_counter_guerrilla_initiatives"
