version 1, schema projectiles_explosions_tables
Projectile_Explosion_IDRef(string)	Timer_type(string)	Explosive_x0020_concussion_x0020_type(string)	Concussive_x0020_blast_x0020_area(float)	Effect_duration(float)	unknown5(float)	unknown6(float)	Fragment_reference_x0020__x0023__Projectile_ID(optstring)	Num_of_projectiles_x0020__x0023__Shrapnel(int)	Particle_effects(optstring)	unknown10(float)	unknown11(float)
"carcass_12lb"	"fuse"	"carcass"	144	1	50	0.99	"carcass_fragment"	6	"explode_cone"	35	1
"carcass_24lb"	"fuse"	"carcass"	144	1	50	0.99	"carcass_fragment"	10	"explode_cone"	35	1
"carcass_32lb"	"fuse"	"carcass"	144	1	50	0.99	"carcass_fragment"	14	"explode_cone"	35	1
"carcass_4_mortar"	"fuse"	"carcass"	144	1	50	0.99	"carcass_fragment"	12	"explode_cone"	15	1
"carcass_8_mortar"	"fuse"	"carcass"	144	1	50	0.99	"carcass_fragment"	16	"explode_cone"	20	1
"grenade"	"percussive"	"shockwave"	4	0	6	0.001	"grenade_fragment"	3	"explode_grenade"	0	1
"grenade_improved"	"percussive"	"shockwave"	4	0	7	0.001	"grenade_fragment"	5	"explode_grenade"	0	0
"mortar_4_ball"	"percussive"	"shockwave"	9	0	10	1.0e-05	"airgun3"	20	nil	0	0
"mortar_4_shell"	"fuse"	"shockwave"	4	0	10	15	"shell_fragment"	18	"explode_frag_med"	10	0
"mortar_8_shell"	"fuse"	"shockwave"	5	0	10	25	"shell_fragment"	32	"explode_frag_lrg"	15	0
"naval_mortar_shell"	"fuse"	"shockwave"	25	0	30	50	"naval_mortar_shell_fragment"	25	"explode_frag_lrg"	0	0
"quicklime_12lb"	"fuse"	"quicklime"	90	3	95	0.75	"quicklime_fragment"	4	"explode_quicklime_med"	30	1
"quicklime_24lb"	"fuse"	"quicklime"	90	3	95	0.75	"quicklime_fragment"	5	"explode_quicklime_med"	30	1
"quicklime_32lb"	"fuse"	"quicklime"	90	3	95	0.75	"quicklime_fragment"	6	"explode_quicklime_med"	30	1
"quicklime_4_mortar"	"fuse"	"quicklime"	90	3	95	0.75	"quicklime_fragment"	10	"explode_quicklime_med"	18	1
"quicklime_8_mortar"	"fuse"	"quicklime"	90	3	95	0.75	"quicklime_fragment"	15	"explode_quicklime_med"	18	1
"rocket"	"fuse"	"shockwave"	3	0	4	0.05	"shell_fragment"	5	"explode_frag_med"	15	200
"rocket_naval"	"fuse"	"shockwave"	30	0	30	100	"rockets_naval_fragment"	5	"explode_frag_lrg"	15	0
"shell_12lb"	"fuse"	"shockwave"	7	0	10	10	"shell_fragment"	12	"explode_frag_med"	0	1
"shell_18lb"	"fuse"	"shockwave"	8	0	10	12	"shell_fragment"	18	"explode_frag_med"	0	1
"shell_24lb"	"fuse"	"shockwave"	9	0	10	14	"shell_fragment"	24	"explode_frag_lrg"	0	1
"shell_32lb"	"fuse"	"shockwave"	14	0	10	16	"shell_fragment"	32	"explode_frag_lrg"	0	1
"shell_64lb"	"fuse"	"shockwave"	16	0	10	18	"shell_fragment"	64	"explode_frag_lrg"	0	1
"shell_percussive_12lb"	"percussive"	"shockwave"	6	0	10	14	"shell_fragment"	12	"explode_frag_sml"	0	0
"shell_percussive_24lb"	"percussive"	"shockwave"	8	0	10	16	"shell_fragment"	24	"explode_frag_med"	0	0
"shell_percussive_32lb"	"percussive"	"shockwave"	10	0	10	18	"shell_fragment"	32	"explode_frag_lrg"	0	0
"ship_magazine"	"fuse"	"shockwave"	70	0	10	100	"ship_explosion_fragment"	50	"ShipExplosion"	0	0
"ship_magazine_visual"	"fuse"	"shockwave"	70	0	10	0	"ship_explosion_fragment_visual"	10	"ShipExplosion"	0	0
"shrapnel_12lb"	"fuse"	"shockwave"	4	0	10	6	"shrapnel"	45	"explode_frag_sml"	45	0.5
"shrapnel_18lb"	"fuse"	"shockwave"	5	0	10	8	"shrapnel"	60	"explode_frag_med"	45	0.5
"shrapnel_24lb"	"fuse"	"shockwave"	6	0	10	10	"shrapnel"	80	"explode_frag_med"	50	0.5
"shrapnel_32lb"	"fuse"	"shockwave"	7	0	10	12	"shrapnel"	100	"explode_frag_lrg"	55	0.5
"shrapnel_3lb"	"fuse"	"shockwave"	1	0	10	2	"shrapnel"	24	"explode_frag_sml"	45	0.5
"shrapnel_64lb"	"fuse"	"shockwave"	8	0	10	14	"shrapnel"	120	"explode_frag_lrg"	70	0.5
"shrapnel_6lb"	"fuse"	"shockwave"	2	0	10	3	"shrapnel"	25	"explode_frag_sml"	45	0.5
"shrapnel_9lb"	"fuse"	"shockwave"	3	0	10	4	"shrapnel"	35	"explode_frag_med"	45	0.5
