version 1, schema slots_art_tables
unknown1(string)	unknown2(string)	unknown3(optstring)	unknown4(boolean)	unknown5(optstring)	unknown6(boolean)	unknown7(optstring)	unknown8(boolean)	unknown9(boolean)	unknown10(boolean)	unknown11(boolean)	unknown12(boolean)	unknown13(boolean)	unknown14(optstring)	unknown15(optstring)	unknown16(boolean)	unknown17(boolean)	unknown18(boolean)	unknown19(boolean)
"fort"	"european"	nil	false	nil	false	nil	false	false	false	false	false	false	"Fort_lvl1"	nil	false	false	false	false
"fort"	"indian"	nil	false	nil	false	nil	false	false	false	false	false	false	"Fort_lvl1"	nil	false	false	false	false
"fort"	"middle_east"	nil	false	nil	false	nil	false	false	false	false	false	false	"Fort_lvl1"	nil	false	false	false	false
"fort"	"tribal"	nil	false	nil	false	nil	false	false	false	false	false	false	"Fort_lvl1"	nil	false	false	false	false
"gold"	"european"	"eu_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gold_lvl0"	nil	false	false	false	false
"gold"	"indian"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gold_lvl0"	nil	false	false	false	false
"gold"	"middle_east"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gold_lvl0"	nil	false	false	false	false
"gold"	"tribal"	"na_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_gold_lvl0"	nil	false	false	false	false
"horses"	"european"	"eu_sheep_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	nil	"slot_resource_pasture"	false	false	false	false
"horses"	"indian"	"ott_sheep_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	nil	"slot_resource_pasture"	false	false	false	false
"horses"	"middle_east"	"ott_sheep_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	nil	"slot_resource_pasture"	false	false	false	false
"horses"	"tribal"	"eu_south_sheep_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	nil	"slot_resource_pasture"	false	false	false	false
"iron"	"european"	"eu_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_iron_lvl0"	nil	false	false	false	false
"iron"	"indian"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_iron_lvl0"	nil	false	false	false	false
"iron"	"middle_east"	"ott_mine_1_diffuse"	true	nil	false	nil	false	false	false	false	false	false	"slot_resource_mining_iron_lvl0"	nil	false	false	false	false
