key	men	horse	guns	officer	musician	standard_bearer	soldier_model	man_entity	man_animations_table	equipment_theme	armour	armour_audio	man_health	mount_model	mount_entity	mount_animations_table	mount_armour	mount_health	articulated_entity	ammo_caisson_entity	ammo_caisson_model	artillery_model	siege_gun	gun_type	primary_missile_weapon	core_marksmanship	core_loading_skill	primary_missile_attack	firing_mechanism	default_missile_type	ammo	skeleton_missile	melee_weapon_type	melee_attack	charge_bonus	dismounted_melee_attack	dismounted_charge_bonus	melee_defense	shield_bonus	skeleton_melee	pistols	unit_drill_set	unit_training_level	morale	rank_depth	close_formation_spacing_horizontal	close_formation_spacing_vertical	loose_formation_spacing_horizontal	loose_formation_spacing_vertical	dismounted_close_formation_spacing_horizontal	dismounted_close_formation_spacing_vertical	loose_loose_formation_spacing_horizontal	loose_loose_formation_spacing_vertical	base_density	melee_bonus_vs_cavalry	grenades	skirmish	guard_mode	can_dismount	can_place_stakes	cannot_run	can_rally	hide_medium_woodland	hide_scrub	hide_long_grass	hide_buildings	can_stalk	can_snipe	does_fire_mounted_by_default	tree_spot_distance	scrub_spot_distance	long_grass_spot_distance	campmap_stealth	campmap_policing_bonus	disciplined	impetuous	scares_horses	fear_effect	inspire	fatigue_resistance	siege_ladders	heat_resistance	cold_resistance	can_do_formed_attack	pike_wall	pike_square	is_inmune_to_attrition	can_fire_mounted_whilst_moving	musician_2	ammo_caisson_destroyed_model	ammo_caisson_destruction	all_ranks_fire	guerrilla_deployment	audio_selected	audio_retreat	audio_engaged_in_battle	audio_idle	audio_enemy_approaching	audio_being_charged	audio_being_flanked	audio_wavering	can_climb_fast	can_fire_at_buildings	can_fire_at_ground	armour_piercing_missile_attack	armour_piercing_melee_attack	loose_formation	close_formation_spacing_variation	loose_formation_spacing_variation	dismounted_close_formation_spacing_variation	dismounted_loose_formation_spacing_variation	bulletproof
#unit_stats_land_tables;16;db/unit_stats_land_tables/unit_stats_land																																																																																																																
Art_European_Cannons	40	0	4	officer_katana			euroline	shogun_inf_missile_ashigaru	shogun_man_katana	shogun_katana	1	leather	1				0	0				breech_cannon	true	shogun_european_cannon		25	20	0	none		10	cannon_crew	sword	2	5	0	0	1	0	one_handed	0	drill_set_artillery	trained	3	1	8.0000	12.0000	8.0000	12.0000	1.2000	2.0000	2.0000	3.0000	7.0000	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50.0000	75.0000	100.0000	false	false	false	false	false	0	false	false	false	false	false	false	false	false	false	false				false	false	Unit_type_selection_European Cannons	Specials_Unit_Order_Retreat	Specials_inmelee	Specials_idle	Specials_enemy_approaching	Specials_charged	Specials_flanked	Specials_wavering	false	true	true	false	false	false	0.6000	1.2000	0.0000	0.0000	false
Art_European_Cannons_Hojo	40	0	4	officer_katana			euroline	shogun_inf_missile_ashigaru	shogun_man_katana	shogun_katana	1	leather	1				0	0				breech_cannon	true	shogun_european_cannon		30	30	0	none		10	cannon_crew	sword	2	5	0	0	1	0	one_handed	0	drill_set_artillery	trained	3	1	8.0000	12.0000	8.0000	12.0000	1.2000	2.0000	2.0000	3.0000	7.0000	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50.0000	75.0000	100.0000	false	false	false	false	false	0	false	false	false	false	false	false	false	false	false	false				false	false	Unit_type_selection_European Cannons	Specials_Unit_Order_Retreat	Specials_inmelee	Specials_idle	Specials_enemy_approaching	Specials_charged	Specials_flanked	Specials_wavering	false	true	true	false	false	false	0.6000	1.2000	0.0000	0.0000	false
Art_European_Cannons_MP	40	0	4	officer_katana			euroline	shogun_inf_missile_ashigaru	shogun_man_katana	shogun_katana	1	leather	1				0	0				breech_cannon	true	shogun_european_cannon		25	20	0	none		10	cannon_crew	sword	2	5	0	0	1	0	one_handed	0	drill_set_artillery	trained	3	1	8.0000	12.0000	8.0000	12.0000	1.2000	2.0000	2.0000	3.0000	7.0000	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50.0000	75.0000	100.0000	false	false	false	false	false	0	false	false	false	false	false	false	false	false	false	false				false	false	Unit_type_selection_European Cannons	Specials_Unit_Order_Retreat	Specials_inmelee	Specials_idle	Specials_enemy_approaching	Specials_charged	Specials_flanked	Specials_wavering	false	true	true	false	false	false	0.6000	1.2000	0.0000	0.0000	false
Art_Fire_Projecting_Mangonels	40	0	4	officer_katana			euroline	shogun_inf_missile_ashigaru	shogun_man_katana	shogun_katana	1	leather	1				0	0				mangonel	true	shogun_mangonel		20	25	0	none		10	cannon_crew	sword	2	5	0	0	1	0	one_handed	0	drill_set_artillery	trained	3	1	16.0000	16.0000	16.0000	16.0000	1.2000	2.0000	2.0000	3.0000	7.0000	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50.0000	75.0000	100.0000	false	false	false	false	false	0	false	false	false	false	false	false	false	false	false	false				false	false	Unit_type_selection_Fire-Projecting Mangonel	Specials_Unit_Order_Retreat	Specials_inmelee	Specials_idle	Specials_enemy_approaching	Specials_charged	Specials_flanked	Specials_wavering	false	true	true	false	false	false	0.6000	1.2000	0.0000	0.0000	false
Art_Fire_Projecting_Mangonels_Hojo	40	0	4	officer_katana			euroline	shogun_inf_missile_ashigaru	shogun_man_katana	shogun_katana	1	leather	1				0	0				mangonel	true	shogun_mangonel		25	35	0	none		10	cannon_crew	sword	2	5	0	0	1	0	one_handed	0	drill_set_artillery	trained	3	1	16.0000	16.0000	16.0000	16.0000	1.2000	2.0000	2.0000	3.0000	7.0000	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50.0000	75.0000	100.0000	false	false	false	false	false	0	false	false	false	false	false	false	false	false	false	false				false	false	Unit_type_selection_Fire-Projecting Mangonel	Specials_Unit_Order_Retreat	Specials_inmelee	Specials_idle	Specials_enemy_approaching	Specials_charged	Specials_flanked	Specials_wavering	false	true	true	false	false	false	0.6000	1.2000	0.0000	0.0000	false
Art_Fire_Projecting_Mangonels_MP	40	0	4	officer_katana			euroline	shogun_inf_missile_ashigaru	shogun_man_katana	shogun_katana	1	leather	1				0	0				mangonel	true	shogun_mangonel		20	25	0	none		10	cannon_crew	sword	2	5	0	0	1	0	one_handed	0	drill_set_artillery	trained	3	1	16.0000	16.0000	16.0000	16.0000	1.2000	2.0000	2.0000	3.0000	7.0000	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50.0000	75.0000	100.0000	false	false	false	false	false	0	false	false	false	false	false	false	false	false	false	false				false	false	Unit_type_selection_Fire-Projecting Mangonel	Specials_Unit_Order_Retreat	Specials_inmelee	Specials_idle	Specials_enemy_approaching	Specials_charged	Specials_flanked	Specials_wavering	false	true	true	false	false	false	0.6000	1.2000	0.0000	0.0000	false
Art_Large_Shafted_Fire_Rockets	40	0	0	officer_rocket			euroline	shogun_inf_missile_ashigaru	shogun_man_rocket	shogun_rocket_teppo	1	leather	1				0	0					false		rocket	25	15	0	matchlock	shogun_rocket	5	foot_musket	sword	2	5	0	0	1	0	foot_sword	0	drill_set_artillery	poorly_trained	3	2	1.2000	2.0000	2.0000	3.0000	1.2000	2.0000	2.0000	3.0000	7.0000	0	false	false	false	false	false	false	false	true	false	false	false	false	false	false	50.0000	75.0000	100.0000	false	false	false	false	false	0	false	false	false	false	false	false	false	false	false	false				false	false	Unit_type_selection_Large Shafted Fire Rockets	Specials_Unit_Order_Retreat	Specials_inmelee	Specials_idle	Specials_enemy_approaching	Specials_charged	Specials_flanked	Specials_wavering	false	true	false	false	false	true	0.8000	1.6000	0.0000	0.0000	false
Art_Large_Shafted_Fire_Rockets_Hojo	40	0	0	officer_rocket			euroline	shogun_inf_missile_ashigaru	shogun_man_rocket	shogun_rocket_teppo	1	leather	1				0	0					false		rocket	35	20	0	matchlock	shogun_rocket	5	foot_musket	sword	2	5	0	0	1	0	foot_sword	0	drill_set_artillery	poorly_trained	3	2	1.2000	2.0000	2.0000	3.0000	1.2000	2.0000	2.0000	3.0000	7.0000	0	false	false	false	false	false	true	false	true	false	false	false	false	false	false	50.0000	75.0000	100.0000	false	false	false	false	false	0	false	false	false	false	false	false	false	false	false	false				false	false	Unit_type_selection_Large Shafted Fire Rockets	Specials_Unit_Order_Retreat	Specials_inmelee	Specials_idle	Specials_enemy_approaching	Specials_charged	Specials_flanked	Specials_wavering	false	true	false	false	false	true	0.8000	1.6000	0.0000	0.0000	false
Art_Large_Shafted_Fire_Rockets_MP	40	0	0	officer_rocket			euroline	shogun_inf_missile_ashigaru	shogun_man_rocket	shogun_rocket_teppo	1	leather	1				0	0					false		rocket	25	15	0	matchlock	shogun_rocket	5	foot_musket	sword	2	5	0	0	1	0	foot_sword	0	drill_set_artillery	poorly_trained	3	2	1.2000	2.0000	2.0000	3.0000	1.2000	2.0000	2.0000	3.0000	7.0000	0	false	false	false	false	false	true	false	true	false	false	false	false	false	false	50.0000	75.0000	100.0000	false	false	false	false	false	0	false	false	false	false	false	false	false	false	false	false				false	false	Unit_type_selection_Large Shafted Fire Rockets	Specials_Unit_Order_Retreat	Specials_inmelee	Specials_idle	Specials_enemy_approaching	Specials_charged	Specials_flanked	Specials_wavering	false	true	false	false	false	true	0.8000	1.6000	0.0000	0.0000	false
