version 1, schema technology_effects_junction_tables, guid 8fcc2eb7-98b4-4974-ac81-a0cf93d224d2
Tech_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"boshin_civil_abolition_of_land_restriction"	"bos_tech_building_farm_cost_mod"	-10
"boshin_civil_administrative_training"	"bos_tech_admin_cost_mod"	7
"boshin_civil_administrative_training"	"bos_tech_clan_income_farm_mod"	10
"boshin_civil_capitalist_production"	"bos_tech_regional_town_wealth_mod"	2
"boshin_civil_censorship"	"bos_tech_regional_repression_mod"	2
"boshin_civil_central_reforms"	"bos_tech_admin_cost_mod"	13
"boshin_civil_central_reforms"	"bos_tech_modernisation_positive"	1
"boshin_civil_charter_oath"	"bos_tech_admin_cost_mod"	15
"boshin_civil_charter_oath"	"bos_tech_building_cost_mod"	-5
"boshin_civil_charter_oath"	"bos_tech_clan_income_trade_mod"	20
"boshin_civil_consular_court"	"bos_event_diplomacy"	10
"boshin_civil_consular_court"	"bos_tech_modernisation_positive"	1
"boshin_civil_cordial_relations"	"bos_event_diplomacy"	10
"boshin_civil_cordial_relations"	"bos_tech_modernisation_positive"	1
"boshin_civil_domain_and_the_realm"	"bos_tech_clan_daimyo_honour_mod"	1
"boshin_civil_epic_architecture"	"bos_tech_building_settlement_cost_mod"	-10
"boshin_civil_epic_architecture"	"bos_tech_regional_happiness_mod"	1
"boshin_civil_foreign_affairs"	"bos_enable_military_mission"	1
"boshin_civil_foreign_affairs"	"bos_tech_agent_action_cost_mod_foreign_veteran"	-14
"boshin_civil_foreign_affairs"	"bos_tech_agent_foreign_veteran_success_mod"	7
"boshin_civil_foreign_affairs"	"bos_tech_modernisation_positive"	1
"boshin_civil_gold_standard"	"bos_tech_clan_income_trade_mod"	10
"boshin_civil_kokutai"	"bos_tech_clan_daimyo_honour_mod"	1
"boshin_civil_kokutai"	"bos_tech_conversion_state_religion"	2
"boshin_civil_kokutai"	"bos_tech_general_loyalty_bonus"	1
"boshin_civil_merchant_house_selection"	"bos_tech_unit_upkeep_mod"	-10
"boshin_civil_merchant_houses"	"bos_tech_clan_income_tax_mod"	5
"boshin_civil_merchant_houses"	"bos_tech_modernisation_positive"	1
"boshin_civil_merchant_houses"	"bos_tech_regional_town_wealth_mod"	2
"boshin_civil_private_academies"	"bos_tech_conversion_state_religion"	2
"boshin_civil_private_academies"	"bos_tech_general_loyalty_bonus"	1
"boshin_civil_restoration_of_the_domain"	"bos_tech_regional_happiness_mod"	1
"boshin_civil_revised_land_tax"	"bos_tech_clan_income_tax_mod"	10
"boshin_civil_revised_land_tax"	"bos_tech_modernisation_positive"	1
"boshin_civil_seclusion"	"bos_tech_regional_happiness_mod"	2
"boshin_civil_surveillance"	"bos_tech_agent_action_cost_mod_ishin_shishi"	-14
"boshin_civil_surveillance"	"bos_tech_agent_action_cost_mod_shinsengumi"	-14
"boshin_civil_surveillance"	"bos_tech_agent_ishin_shishi_success_mod"	7
"boshin_civil_surveillance"	"bos_tech_agent_shinsengumi_success_mod"	7
"boshin_civil_surveillance"	"bos_tech_unit_guerrilla_unit_cap_mod"	2
"boshin_civil_tea_ceremony"	"bos_tech_agent_action_cost_mod_geisha"	-14
"boshin_civil_tea_ceremony"	"bos_tech_agent_geisha_success_mod"	7
"boshin_civil_western_agenda"	"bos_event_diplomacy"	10
"boshin_civil_western_agenda"	"bos_tech_unit_modern_cost_mod"	-5
"boshin_military_advanced_segment_shell"	"bos_tech_ability_enable_advanced_segment_shell"	1
"boshin_military_arms_deals"	"bos_tech_modernisation_positive"	1
"boshin_military_arms_deals"	"bos_tech_unit_modern_cost_mod"	-5
"boshin_military_carbine_cavalry"	"bos_tech_modernisation_positive"	1
"boshin_military_carbine_cavalry"	"bos_tech_unit_cavalry_cost_mod"	-10
"boshin_military_common_shell"	"bos_naval_support_enable_projectile_3"	1
"boshin_military_common_shell"	"bos_tech_ability_enable_common_shell"	1
"boshin_military_copper_plating"	"bos_tech_unit_naval_movement_mod"	10
"boshin_military_gatling_gun"	"tech_building_castle_constr_mod"	-10
"boshin_military_imported_guns"	"bos_tech_modernisation_positive"	1
"boshin_military_imported_guns"	"bos_tech_unit_cannon_accuracy_mod"	3
"boshin_military_improved_defences"	"tech_building_castle_cost_mod"	-20
"boshin_military_iron_plating"	"bos_tech_unit_ship_upkeep_cost_mod"	-10
"boshin_military_kneel_fire"	"bos_tech_ability_enable_kneel_fire"	1
"boshin_military_kneel_fire"	"bos_tech_modernisation_positive"	1
"boshin_military_late_line_infantry"	"bos_tech_unit_land_morale_mod"	2
"boshin_military_late_line_infantry"	"bos_tech_unit_land_movement_mod"	10
"boshin_military_modern_army"	"bos_tech_unit_modern_morale_mod"	1
"boshin_military_modern_rifles"	"bos_tech_modernisation_positive"	1
"boshin_military_modern_rifles"	"bos_tech_unit_modern_accuracy_mod"	3
"boshin_military_ramming"	"bos_tech_ability_enable_ramming"	1
"boshin_military_ramming"	"bos_tech_unit_ship_battle_speed_mod"	10
"boshin_military_sabre_cavalry"	"bos_tech_modernisation_positive"	1
"boshin_military_sabre_cavalry"	"bos_tech_unit_land_charge_bonus_mod"	8
"boshin_military_school_of_shinobi"	"bos_tech_ability_blinding_grenades"	1
"boshin_military_school_of_shinobi"	"bos_tech_agent_action_cost_mod_shinobi"	-20
"boshin_military_school_of_shinobi"	"bos_tech_agent_shinobi_success_mod"	10
"boshin_military_school_of_shinobi"	"bos_tech_unit_kisho_unit_cap_mod"	2
"boshin_military_segment_shell"	"bos_tech_ability_enable_segment_shell"	1
"boshin_military_shih"	"bos_tech_ability_banzai"	1
"boshin_military_shih"	"bos_tech_ability_fire_arrows"	1
"boshin_military_shih"	"bos_tech_unit_replenish_mod"	5
"boshin_military_shipyard_research"	"bos_tech_building_port_cost_mod"	-10
"boshin_military_shipyard_research"	"bos_tech_naval_accuracy_mod"	5
"boshin_military_shipyard_research"	"bos_tech_unit_ship_cost_mod"	-10
"boshin_military_shipyard_research"	"bos_tech_unit_ship_recruitment_time_mod"	-1
"boshin_military_suppression_fire"	"bos_tech_ability_enable_suppression_fire"	1
"gempei_civil_admin_direct_land_tax"	"gem_tech_admin_cost_mod"	20
"gempei_civil_admin_police_office"	"gem_tech_admin_cost_mod"	20
"gempei_civil_admin_provincial_officials"	"gem_tech_agent_inspector_success"	10
"gempei_civil_core_chinese_learning"	"diplomacy_bonus_enlightenment"	4
"gempei_civil_core_chinese_learning"	"tech_clan_income_trade_mod"	10
"gempei_civil_core_poetry_and_literature"	"diplomacy_bonus_enlightenment"	8
"gempei_civil_core_rice_loans"	"tech_clan_income_trade_mod"	25
"gempei_civil_core_tang_military"	"tech_unit_upkeep_mod"	-10
"gempei_civil_core_taoist_thinking"	"diplomacy_bonus_enlightenment"	10
"gempei_civil_core_tax_quota"	"tech_regional_town_wealth_mod"	5
"gempei_civil_core_todofuken"	"tech_clan_income_tax_mod"	6
"gempei_civil_core_way_of_chi"	"diplomacy_bonus_enlightenment"	12
"gempei_civil_core_way_of_chi"	"tech_building_castle_constr_mod"	-25
"gempei_civil_core_way_of_chi"	"tech_clan_income_trade_mod"	25
"gempei_civil_development_clan_identity"	"gem_tech_conversion_state_religion"	2
"gempei_civil_development_court_of_pleasure"	"gem_tech_agent_dancer_success"	10
